underwriting_sk,policy_sk,customer_sk,vehicle_sk,underwriting_date_sk,risk_score,risk_band,fraud_probability,underwriting_decision,recommendation,manual_review_flag,review_time_minutes,premium_adjustment_pct,rules_triggered,ai_confidence,processing_mode,underwriter,sla_status,explanation_generated,model_version
57,57,57,57,20251206,80,Very High,0.8,Rejected,Reject,False,2,26,1,95.34,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
58,58,58,58,20251028,29,Low,0.29,Approved,Auto Approve,False,2,-5,7,91.35,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
59,59,59,59,20251101,47,Medium,0.47,Approved,Refer Underwriter,True,73,5,1,81.45,Manual,Alice,SLA Breached,True,UW_AI_v2.0
60,60,60,60,20250321,37,Medium,0.37,Approved,Refer Underwriter,True,26,1,5,96.28,Manual,John,Within SLA,True,UW_AI_v2.0
61,61,61,61,20250612,85,Very High,0.85,Rejected,Reject,False,7,28,6,93.36,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
62,62,62,62,20250914,14,Low,0.14,Approved,Auto Approve,False,2,0,5,80.82,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
63,63,63,63,20251024,25,Low,0.25,Approved,Auto Approve,False,7,3,4,95.89,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
64,64,64,64,20250616,62,High,0.62,Rejected,Refer Underwriter,True,76,8,4,95.44,Manual,Priya,SLA Breached,True,UW_AI_v1.0
65,65,65,65,20250821,99,Very High,0.99,Rejected,Reject,False,5,29,6,80.5,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
66,66,66,66,20250814,75,High,0.75,Rejected,Reject,False,5,20,1,77.13,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
67,67,67,67,20251005,46,Medium,0.46,Approved,Refer Underwriter,True,71,13,7,93.12,Manual,Rahul,SLA Breached,True,UW_AI_v1.0
68,68,68,68,20251017,34,Medium,0.34,Approved,Auto Approve,False,4,-5,3,92.14,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
69,69,69,69,20251102,19,Low,0.19,Approved,Auto Approve,False,4,-6,6,76.57,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
70,70,70,70,20251224,22,Low,0.22,Approved,Auto Approve,False,2,1,6,77.18,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
71,71,71,71,20250603,50,Medium,0.5,Approved,Refer Underwriter,True,63,1,7,76.29,Manual,Alice,SLA Breached,True,UW_AI_v1.1
72,72,72,72,20250214,71,High,0.71,Rejected,Reject,False,4,19,7,76.51,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
73,73,73,73,20250228,75,High,0.75,Rejected,Reject,False,7,21,7,87.0,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
74,74,74,74,20251024,37,Medium,0.37,Approved,Refer Underwriter,True,67,8,6,84.49,Manual,Alice,SLA Breached,True,UW_AI_v1.1
75,75,75,75,20250616,44,Medium,0.44,Approved,Refer Underwriter,True,38,1,2,94.81,Manual,David,SLA Breached,True,UW_AI_v1.0
76,76,76,76,20250818,84,Very High,0.84,Rejected,Reject,False,5,16,3,85.61,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
77,77,77,77,20250819,29,Low,0.29,Approved,Auto Approve,False,2,-10,2,81.64,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
78,78,78,78,20250214,82,Very High,0.82,Rejected,Reject,False,3,25,2,94.42,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
79,79,79,79,20250124,95,Very High,0.95,Rejected,Reject,False,7,22,7,76.03,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
80,80,80,80,20250914,17,Low,0.17,Approved,Auto Approve,False,2,-2,1,80.36,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
81,81,81,81,20250301,97,Very High,0.97,Rejected,Reject,False,6,21,1,80.63,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
82,82,82,82,20250603,51,Medium,0.51,Approved,Refer Underwriter,True,48,7,3,93.15,Manual,John,SLA Breached,True,UW_AI_v2.0
83,83,83,83,20250624,50,Medium,0.5,Approved,Refer Underwriter,True,26,7,6,90.16,Manual,John,Within SLA,True,UW_AI_v1.0
84,84,84,84,20260101,7,Low,0.07,Approved,Auto Approve,False,6,-5,5,91.03,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
85,85,85,85,20251002,63,High,0.63,Rejected,Refer Underwriter,True,26,12,7,79.28,Manual,David,Within SLA,True,UW_AI_v1.1
86,86,86,86,20250928,50,Medium,0.5,Approved,Refer Underwriter,True,20,8,1,78.55,Manual,Alice,Within SLA,True,UW_AI_v1.1
87,87,87,87,20250707,93,Very High,0.93,Rejected,Reject,False,6,32,6,97.98,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
88,88,88,88,20250426,34,Medium,0.34,Approved,Auto Approve,False,5,2,4,97.96,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
89,89,89,89,20250228,45,Medium,0.45,Approved,Refer Underwriter,True,89,14,6,83.24,Manual,John,SLA Breached,True,UW_AI_v1.1
90,90,90,90,20250406,71,High,0.71,Rejected,Reject,False,6,23,7,93.69,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
91,91,91,91,20250721,92,Very High,0.92,Rejected,Reject,False,4,18,7,75.23,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
92,92,92,92,20251205,25,Low,0.25,Approved,Auto Approve,False,5,-9,2,87.33,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
93,93,93,93,20250822,51,Medium,0.51,Approved,Refer Underwriter,True,67,12,7,78.66,Manual,Rahul,SLA Breached,True,UW_AI_v1.0
94,94,94,94,20251230,38,Medium,0.38,Approved,Refer Underwriter,True,84,8,4,83.02,Manual,Alice,SLA Breached,True,UW_AI_v1.0
95,95,95,95,20250729,65,High,0.65,Rejected,Refer Underwriter,True,78,5,7,95.45,Manual,Rahul,SLA Breached,True,UW_AI_v1.0
96,96,96,96,20250725,73,High,0.73,Rejected,Reject,False,4,25,1,91.52,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
97,97,97,97,20250928,41,Medium,0.41,Approved,Refer Underwriter,True,69,3,6,96.4,Manual,Rahul,SLA Breached,True,UW_AI_v1.1
98,98,98,98,20251019,26,Low,0.26,Approved,Auto Approve,False,7,1,7,75.3,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
99,99,99,99,20250903,19,Low,0.19,Approved,Auto Approve,False,4,-6,3,75.84,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
100,100,100,100,20251029,27,Low,0.27,Approved,Auto Approve,False,4,-10,1,78.59,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
101,101,101,101,20250415,87,Very High,0.87,Rejected,Reject,False,4,23,3,86.3,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
102,102,102,102,20250211,32,Medium,0.32,Approved,Auto Approve,False,6,3,6,76.54,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
103,103,103,103,20251217,51,Medium,0.51,Approved,Refer Underwriter,True,57,1,5,77.66,Manual,David,SLA Breached,True,UW_AI_v2.0
104,104,104,104,20250710,81,Very High,0.81,Rejected,Reject,False,6,18,4,79.19,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
105,105,105,105,20250825,83,Very High,0.83,Rejected,Reject,False,7,25,3,98.01,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
106,106,106,106,20250311,74,High,0.74,Rejected,Reject,False,7,32,4,95.24,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
107,107,107,107,20251124,12,Low,0.12,Approved,Auto Approve,False,4,0,4,98.02,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
108,108,108,108,20250223,39,Medium,0.39,Rejected,Refer Underwriter,True,37,3,2,95.69,Manual,Priya,SLA Breached,True,UW_AI_v1.1
109,109,109,109,20251012,31,Medium,0.31,Approved,Auto Approve,False,6,-7,5,76.27,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
110,110,110,110,20250117,54,Medium,0.54,Approved,Refer Underwriter,True,48,14,6,79.84,Manual,Rahul,SLA Breached,True,UW_AI_v1.1
111,111,111,111,20251204,89,Very High,0.89,Rejected,Reject,False,7,15,7,91.44,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
112,112,112,112,20250726,10,Low,0.1,Approved,Auto Approve,False,3,-9,2,80.04,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
113,113,113,113,20251001,83,Very High,0.83,Rejected,Reject,False,5,33,7,78.44,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
114,114,114,114,20250719,76,High,0.76,Rejected,Reject,False,4,34,7,76.02,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
115,115,115,115,20250721,50,Medium,0.5,Approved,Refer Underwriter,True,68,8,3,87.98,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
116,116,116,116,20251123,81,Very High,0.81,Rejected,Reject,False,7,23,5,94.38,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
117,117,117,117,20250315,34,Medium,0.34,Approved,Auto Approve,False,4,1,3,90.48,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
118,118,118,118,20250907,81,Very High,0.81,Rejected,Reject,False,3,26,6,88.62,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
119,119,119,119,20250924,37,Medium,0.37,Approved,Refer Underwriter,True,85,7,5,99.1,Manual,Rahul,SLA Breached,True,UW_AI_v1.1
120,120,120,120,20251207,79,High,0.79,Rejected,Reject,False,2,33,5,99.58,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
121,121,121,121,20250328,19,Low,0.19,Approved,Auto Approve,False,4,0,1,78.33,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
122,122,122,122,20250210,48,Medium,0.48,Approved,Refer Underwriter,True,24,2,1,95.12,Manual,David,Within SLA,True,UW_AI_v1.1
123,123,123,123,20250318,12,Low,0.12,Approved,Auto Approve,False,7,-1,3,81.61,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
124,124,124,124,20250425,52,Medium,0.52,Approved,Refer Underwriter,True,45,10,6,87.41,Manual,Alice,SLA Breached,True,UW_AI_v2.0
125,125,125,125,20250118,15,Low,0.15,Approved,Auto Approve,False,7,-1,4,99.51,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
126,126,126,126,20250117,7,Low,0.07,Approved,Auto Approve,False,6,4,1,75.18,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
127,127,127,127,20250606,62,High,0.62,Approved,Refer Underwriter,True,88,10,4,80.69,Manual,John,SLA Breached,True,UW_AI_v1.1
128,128,128,128,20250529,44,Medium,0.44,Approved,Refer Underwriter,True,47,2,1,91.65,Manual,Alice,SLA Breached,True,UW_AI_v1.0
129,129,129,129,20251005,15,Low,0.15,Approved,Auto Approve,False,6,1,3,96.95,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
130,130,130,130,20251118,55,Medium,0.55,Rejected,Refer Underwriter,True,27,2,1,84.57,Manual,Alice,Within SLA,True,UW_AI_v2.0
131,131,131,131,20251024,96,Very High,0.96,Rejected,Reject,False,2,19,4,94.59,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
132,132,132,132,20250508,41,Medium,0.41,Approved,Refer Underwriter,True,34,5,4,75.11,Manual,John,SLA Breached,True,UW_AI_v1.1
133,133,133,133,20250306,71,High,0.71,Rejected,Reject,False,4,34,3,88.88,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
134,134,134,134,20250429,27,Low,0.27,Approved,Auto Approve,False,3,4,3,94.21,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
135,135,135,135,20250302,91,Very High,0.91,Rejected,Reject,False,6,34,6,79.8,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
136,136,136,136,20250629,94,Very High,0.94,Rejected,Reject,False,6,32,4,83.62,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
137,137,137,137,20250330,58,Medium,0.58,Rejected,Refer Underwriter,True,23,5,5,92.81,Manual,David,Within SLA,True,UW_AI_v1.1
138,138,138,138,20250515,11,Low,0.11,Approved,Auto Approve,False,7,3,5,87.86,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
139,139,139,139,20250812,28,Low,0.28,Approved,Auto Approve,False,5,1,4,90.17,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
140,140,140,140,20250330,75,High,0.75,Rejected,Reject,False,2,28,3,98.22,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
141,141,141,141,20251222,61,High,0.61,Rejected,Refer Underwriter,True,37,13,4,96.08,Manual,David,SLA Breached,True,UW_AI_v1.1
142,142,142,142,20250926,38,Medium,0.38,Approved,Refer Underwriter,True,31,13,6,96.97,Manual,John,SLA Breached,True,UW_AI_v1.0
143,143,143,143,20250910,92,Very High,0.92,Rejected,Reject,False,4,17,5,87.2,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
144,144,144,144,20250803,6,Low,0.06,Approved,Auto Approve,False,4,-5,6,87.31,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
145,145,145,145,20250722,97,Very High,0.97,Rejected,Reject,False,7,28,1,91.23,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
146,146,146,146,20250308,58,Medium,0.58,Rejected,Refer Underwriter,True,42,8,6,84.11,Manual,Priya,SLA Breached,True,UW_AI_v2.0
147,147,147,147,20250705,18,Low,0.18,Approved,Auto Approve,False,5,-2,3,75.55,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
148,148,148,148,20250409,69,High,0.69,Approved,Refer Underwriter,True,67,12,3,83.9,Manual,Rahul,SLA Breached,True,UW_AI_v1.0
149,149,149,149,20251217,97,Very High,0.97,Rejected,Reject,False,2,28,1,93.59,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
150,150,150,150,20250920,73,High,0.73,Rejected,Reject,False,6,17,7,99.24,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
151,151,151,151,20250614,99,Very High,0.99,Rejected,Reject,False,4,15,7,91.97,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
152,152,152,152,20250817,37,Medium,0.37,Rejected,Refer Underwriter,True,39,12,3,93.75,Manual,Alice,SLA Breached,True,UW_AI_v1.1
153,153,153,153,20250922,95,Very High,0.95,Rejected,Reject,False,3,29,7,84.86,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
154,154,154,154,20250424,67,High,0.67,Rejected,Refer Underwriter,True,24,4,5,78.85,Manual,Alice,Within SLA,True,UW_AI_v2.0
155,155,155,155,20250703,30,Medium,0.3,Approved,Auto Approve,False,7,-3,4,81.15,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
156,156,156,156,20250820,88,Very High,0.88,Rejected,Reject,False,4,31,6,86.01,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
157,157,157,157,20250601,82,Very High,0.82,Rejected,Reject,False,5,32,4,82.71,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
158,158,158,158,20250415,62,High,0.62,Rejected,Refer Underwriter,True,36,6,5,81.72,Manual,David,SLA Breached,True,UW_AI_v1.0
159,159,159,159,20250321,97,Very High,0.97,Rejected,Reject,False,3,22,6,96.35,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
160,160,160,160,20250808,13,Low,0.13,Approved,Auto Approve,False,5,-9,4,82.33,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
161,161,161,161,20250505,47,Medium,0.47,Rejected,Refer Underwriter,True,75,9,2,79.83,Manual,Rahul,SLA Breached,True,UW_AI_v1.0
162,162,162,162,20250223,94,Very High,0.94,Rejected,Reject,False,2,28,6,80.61,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
163,163,163,163,20250608,24,Low,0.24,Approved,Auto Approve,False,2,-6,5,90.06,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
164,164,164,164,20250406,8,Low,0.08,Approved,Auto Approve,False,6,0,1,93.61,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
165,165,165,165,20250703,96,Very High,0.96,Rejected,Reject,False,6,27,3,76.59,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
166,166,166,166,20250709,62,High,0.62,Approved,Refer Underwriter,True,44,9,3,95.58,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
167,167,167,167,20251106,32,Medium,0.32,Approved,Auto Approve,False,7,3,3,89.25,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
168,168,168,168,20250704,86,Very High,0.86,Rejected,Reject,False,7,32,6,98.42,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
169,169,169,169,20251115,81,Very High,0.81,Rejected,Reject,False,5,25,3,81.11,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
170,170,170,170,20250107,38,Medium,0.38,Approved,Refer Underwriter,True,83,7,1,81.69,Manual,David,SLA Breached,True,UW_AI_v1.0
171,171,171,171,20250122,72,High,0.72,Rejected,Reject,False,4,34,4,75.24,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
172,172,172,172,20250831,80,Very High,0.8,Rejected,Reject,False,7,33,2,79.39,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
173,173,173,173,20251214,10,Low,0.1,Approved,Auto Approve,False,5,0,6,91.9,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
174,174,174,174,20251208,30,Medium,0.3,Approved,Auto Approve,False,3,-1,3,97.67,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
175,175,175,175,20250724,31,Medium,0.31,Approved,Auto Approve,False,6,-9,7,96.63,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
176,176,176,176,20251204,10,Low,0.1,Approved,Auto Approve,False,4,-2,7,91.04,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
177,177,177,177,20250403,64,High,0.64,Rejected,Refer Underwriter,True,42,11,4,92.97,Manual,Alice,SLA Breached,True,UW_AI_v1.1
178,178,178,178,20251026,55,Medium,0.55,Rejected,Refer Underwriter,True,85,10,3,91.31,Manual,Priya,SLA Breached,True,UW_AI_v1.1
179,179,179,179,20251229,41,Medium,0.41,Approved,Refer Underwriter,True,87,5,2,83.15,Manual,Alice,SLA Breached,True,UW_AI_v2.0
