claim_sk,claim_id,policy_sk,date_sk,claim_amount,claim_amount_band,claim_flag,claim_approved,claim_severity,fraud_risk,settlement_days,settlement_band
116,CLM100115,116,20230718,0,,0.0,0.0,Low,Low,0,Fast
117,CLM100116,117,20241017,0,,0.0,0.0,Low,Low,0,Fast
118,CLM100117,118,20220406,0,,0.0,0.0,Low,Low,0,Fast
119,CLM100118,119,20230430,0,,0.0,0.0,Low,Low,0,Fast
120,CLM100119,120,20220819,0,,0.0,0.0,Low,Low,0,Fast
121,CLM100120,121,20240119,0,,0.0,0.0,Low,Low,0,Fast
122,CLM100121,122,20230625,0,,0.0,0.0,Low,Low,0,Fast
123,CLM100122,123,20241125,0,,0.0,0.0,Low,Low,0,Fast
124,CLM100123,124,20230609,0,,0.0,0.0,Low,Low,0,Fast
125,CLM100124,125,20230801,0,,0.0,0.0,Low,Low,0,Fast
126,CLM100125,126,20231113,114225,Very High,1.0,1.0,High,High,24,Delayed
127,CLM100126,127,20230711,0,,0.0,0.0,Low,Low,0,Fast
128,CLM100127,128,20241009,0,,0.0,0.0,Low,Low,0,Fast
129,CLM100128,129,20231008,0,,0.0,0.0,Low,Low,0,Fast
130,CLM100129,130,20240306,0,,0.0,0.0,Low,Low,0,Fast
131,CLM100130,131,20241117,0,,0.0,0.0,Low,Low,0,Fast
132,CLM100131,132,20220709,0,,0.0,0.0,Low,Low,0,Fast
133,CLM100132,133,20230925,0,,0.0,0.0,Low,Low,0,Fast
134,CLM100133,134,20230920,0,,0.0,0.0,Low,Low,0,Fast
135,CLM100134,135,20240830,0,,0.0,0.0,Low,Low,0,Fast
136,CLM100135,136,20231211,130117,Very High,1.0,1.0,High,High,16,Delayed
137,CLM100136,137,20231011,0,,0.0,0.0,Low,Low,0,Fast
138,CLM100137,138,20221114,0,,0.0,0.0,Low,Low,0,Fast
139,CLM100138,139,20231115,0,,0.0,0.0,Low,Low,0,Fast
140,CLM100139,140,20231026,0,,0.0,0.0,Low,Low,0,Fast
141,CLM100140,141,20230318,0,,0.0,0.0,Low,Low,0,Fast
142,CLM100141,142,20230718,0,,0.0,0.0,Low,Low,0,Fast
143,CLM100142,143,20240809,0,,0.0,0.0,Low,Low,0,Fast
144,CLM100143,144,20231130,0,,0.0,0.0,Low,Low,0,Fast
145,CLM100144,145,20220423,0,,0.0,0.0,Low,Low,0,Fast
146,CLM100145,146,20220102,0,,0.0,0.0,Low,Low,0,Fast
147,CLM100146,147,20231004,0,,0.0,0.0,Low,Low,0,Fast
148,CLM100147,148,20220808,0,,0.0,0.0,Low,Low,0,Fast
149,CLM100148,149,20240504,0,,0.0,0.0,Low,Low,0,Fast
150,CLM100149,150,20230120,0,,0.0,0.0,Low,Low,0,Fast
151,CLM100150,151,20241212,0,,0.0,0.0,Low,Low,0,Fast
152,CLM100151,152,20231231,0,,0.0,0.0,Low,Low,0,Fast
153,CLM100152,153,20220904,73840,High,1.0,1.0,High,Low,13,Delayed
154,CLM100153,154,20240415,0,,0.0,0.0,Low,Low,0,Fast
155,CLM100154,155,20220722,0,,0.0,0.0,Low,Low,0,Fast
156,CLM100155,156,20220503,0,,0.0,0.0,Low,Low,0,Fast
157,CLM100156,157,20230205,0,,0.0,0.0,Low,Low,0,Fast
158,CLM100157,158,20240206,0,,0.0,0.0,Low,Low,0,Fast
159,CLM100158,159,20221021,0,,0.0,0.0,Low,Low,0,Fast
160,CLM100159,160,20221007,0,,0.0,0.0,Low,Low,0,Fast
161,CLM100160,161,20240602,0,,0.0,0.0,Low,Low,0,Fast
162,CLM100161,162,20220717,0,,0.0,0.0,Low,Low,0,Fast
163,CLM100162,163,20240908,0,,0.0,0.0,Low,Low,0,Fast
164,CLM100163,164,20240122,0,,0.0,0.0,Low,Low,0,Fast
165,CLM100164,165,20220524,0,,0.0,0.0,Low,Low,0,Fast
166,CLM100165,166,20230901,0,,0.0,0.0,Low,Low,0,Fast
167,CLM100166,167,20220706,0,,0.0,0.0,Low,Low,0,Fast
168,CLM100167,168,20230409,0,,0.0,0.0,Low,Low,0,Fast
169,CLM100168,169,20231022,0,,0.0,0.0,Low,Low,0,Fast
170,CLM100169,170,20240203,0,,0.0,0.0,Low,Low,0,Fast
171,CLM100170,171,20240812,0,,0.0,0.0,Low,Low,0,Fast
172,CLM100171,172,20230207,0,,0.0,0.0,Low,Low,0,Fast
173,CLM100172,173,20220527,0,,0.0,0.0,Low,Low,0,Fast
174,CLM100173,174,20240513,0,,0.0,0.0,Low,Low,0,Fast
175,CLM100174,175,20230504,0,,0.0,0.0,Low,Low,0,Fast
176,CLM100175,176,20240717,0,,0.0,0.0,Low,Low,0,Fast
177,CLM100176,177,20230705,0,,0.0,0.0,Low,Low,0,Fast
178,CLM100177,178,20221204,0,,0.0,0.0,Low,Low,0,Fast
179,CLM100178,179,20240521,0,,0.0,0.0,Low,Low,0,Fast
180,CLM100179,180,20231003,0,,0.0,0.0,Low,Low,0,Fast
181,CLM100180,181,20230418,0,,0.0,0.0,Low,Low,0,Fast
182,CLM100181,182,20220531,0,,0.0,0.0,Low,Low,0,Fast
183,CLM100182,183,20220920,0,,0.0,0.0,Low,Low,0,Fast
184,CLM100183,184,20220524,0,,0.0,0.0,Low,Low,0,Fast
185,CLM100184,185,20221212,0,,0.0,0.0,Low,Low,0,Fast
186,CLM100185,186,20230916,20708,Low,1.0,1.0,Medium,Low,13,Delayed
187,CLM100186,187,20241013,0,,0.0,0.0,Low,Low,0,Fast
188,CLM100187,188,20240530,0,,0.0,0.0,Low,Low,0,Fast
189,CLM100188,189,20220102,0,,0.0,0.0,Low,Low,0,Fast
190,CLM100189,190,20240615,0,,0.0,0.0,Low,Low,0,Fast
191,CLM100190,191,20220911,0,,0.0,0.0,Low,Low,0,Fast
192,CLM100191,192,20230329,0,,0.0,0.0,Low,Low,0,Fast
193,CLM100192,193,20241126,39754,Medium,1.0,1.0,Medium,Low,15,Delayed
194,CLM100193,194,20241011,0,,0.0,0.0,Low,Low,0,Fast
195,CLM100194,195,20220109,0,,0.0,0.0,Low,Low,0,Fast
196,CLM100195,196,20240326,0,,0.0,0.0,Low,Low,0,Fast
197,CLM100196,197,20220727,89896,High,1.0,1.0,High,Low,18,Delayed
198,CLM100197,198,20230208,0,,0.0,0.0,Low,Low,0,Fast
199,CLM100198,199,20220601,0,,0.0,0.0,Low,Low,0,Fast
200,CLM100199,200,20220223,0,,0.0,0.0,Low,Low,0,Fast
201,CLM100200,201,20230920,0,,0.0,0.0,Low,Low,0,Fast
202,CLM100201,202,20230810,0,,0.0,0.0,Low,Low,0,Fast
203,CLM100202,203,20220414,0,,0.0,0.0,Low,Low,0,Fast
204,CLM100203,204,20220911,0,,0.0,0.0,Low,Low,0,Fast
205,CLM100204,205,20230525,0,,0.0,0.0,Low,Low,0,Fast
206,CLM100205,206,20220409,0,,0.0,0.0,Low,Low,0,Fast
207,CLM100206,207,20220602,0,,0.0,0.0,Low,Low,0,Fast
208,CLM100207,208,20240702,0,,0.0,0.0,Low,Low,0,Fast
209,CLM100208,209,20240527,0,,0.0,0.0,Low,Low,0,Fast
210,CLM100209,210,20221204,0,,0.0,0.0,Low,Low,0,Fast
211,CLM100210,211,20240401,0,,0.0,0.0,Low,Low,0,Fast
212,CLM100211,212,20240814,0,,0.0,0.0,Low,Low,0,Fast
213,CLM100212,213,20220610,0,,0.0,0.0,Low,Low,0,Fast
214,CLM100213,214,20240311,0,,0.0,0.0,Low,Low,0,Fast
215,CLM100214,215,20230202,0,,0.0,0.0,Low,Low,0,Fast
216,CLM100215,216,20240326,0,,0.0,0.0,Low,Low,0,Fast
217,CLM100216,217,20230205,0,,0.0,0.0,Low,Low,0,Fast
218,CLM100217,218,20231002,0,,0.0,0.0,Low,Low,0,Fast
219,CLM100218,219,20241122,0,,0.0,0.0,Low,Low,0,Fast
220,CLM100219,220,20231119,0,,0.0,0.0,Low,Low,0,Fast
221,CLM100220,221,20230405,0,,0.0,0.0,Low,Low,0,Fast
222,CLM100221,222,20240812,0,,0.0,0.0,Low,Low,0,Fast
223,CLM100222,223,20230415,0,,0.0,0.0,Low,Low,0,Fast
224,CLM100223,224,20241111,0,,0.0,0.0,Low,Low,0,Fast
225,CLM100224,225,20240120,0,,0.0,0.0,Low,Low,0,Fast
226,CLM100225,226,20220207,0,,0.0,0.0,Low,Low,0,Fast
227,CLM100226,227,20220818,0,,0.0,0.0,Low,Low,0,Fast
228,CLM100227,228,20230717,0,,0.0,0.0,Low,Low,0,Fast
229,CLM100228,229,20230314,0,,0.0,0.0,Low,Low,0,Fast
230,CLM100229,230,20220127,0,,0.0,0.0,Low,Low,0,Fast
231,CLM100230,231,20220814,0,,0.0,0.0,Low,Low,0,Fast
232,CLM100231,232,20240308,0,,0.0,0.0,Low,Low,0,Fast
233,CLM100232,233,20221011,0,,0.0,0.0,Low,Low,0,Fast
234,CLM100233,234,20240528,0,,0.0,0.0,Low,Low,0,Fast
235,CLM100234,235,20240817,0,,0.0,0.0,Low,Low,0,Fast
236,CLM100235,236,20230329,0,,0.0,0.0,Low,Low,0,Fast
237,CLM100236,237,20241016,0,,0.0,0.0,Low,Low,0,Fast
238,CLM100237,238,20240326,0,,0.0,0.0,Low,Low,0,Fast
239,CLM100238,239,20231021,0,,0.0,0.0,Low,Low,0,Fast
240,CLM100239,240,20230701,0,,0.0,0.0,Low,Low,0,Fast
241,CLM100240,241,20241208,0,,0.0,0.0,Low,Low,0,Fast
242,CLM100241,242,20220117,0,,0.0,0.0,Low,Low,0,Fast
243,CLM100242,243,20220607,0,,0.0,0.0,Low,Low,0,Fast
244,CLM100243,244,20230422,0,,0.0,0.0,Low,Low,0,Fast
245,CLM100244,245,20241205,0,,0.0,0.0,Low,Low,0,Fast
246,CLM100245,246,20230602,0,,0.0,0.0,Low,Low,0,Fast
247,CLM100246,247,20220409,0,,0.0,0.0,Low,Low,0,Fast
248,CLM100247,248,20241126,0,,0.0,0.0,Low,Low,0,Fast
249,CLM100248,249,20221007,0,,0.0,0.0,Low,Low,0,Fast
250,CLM100249,250,20230512,0,,0.0,0.0,Low,Low,0,Fast
251,CLM100250,251,20221029,0,,0.0,0.0,Low,Low,0,Fast
252,CLM100251,252,20220630,0,,0.0,0.0,Low,Low,0,Fast
253,CLM100252,253,20230830,0,,0.0,0.0,Low,Low,0,Fast
254,CLM100253,254,20231201,0,,0.0,0.0,Low,Low,0,Fast
255,CLM100254,255,20240919,0,,0.0,0.0,Low,Low,0,Fast
256,CLM100255,256,20220710,0,,0.0,0.0,Low,Low,0,Fast
257,CLM100256,257,20220910,0,,0.0,0.0,Low,Low,0,Fast
258,CLM100257,258,20240907,0,,0.0,0.0,Low,Low,0,Fast
259,CLM100258,259,20240716,0,,0.0,0.0,Low,Low,0,Fast
260,CLM100259,260,20220508,0,,0.0,0.0,Low,Low,0,Fast
261,CLM100260,261,20220118,0,,0.0,0.0,Low,Low,0,Fast
262,CLM100261,262,20230720,0,,0.0,0.0,Low,Low,0,Fast
263,CLM100262,263,20230724,0,,0.0,0.0,Low,Low,0,Fast
264,CLM100263,264,20231117,0,,0.0,0.0,Low,Low,0,Fast
265,CLM100264,265,20230918,0,,0.0,0.0,Low,Low,0,Fast
266,CLM100265,266,20240503,0,,0.0,0.0,Low,Low,0,Fast
267,CLM100266,267,20240819,0,,0.0,0.0,Low,Low,0,Fast
268,CLM100267,268,20220604,0,,0.0,0.0,Low,Low,0,Fast
269,CLM100268,269,20230505,0,,0.0,0.0,Low,Low,0,Fast
270,CLM100269,270,20240224,0,,0.0,0.0,Low,Low,0,Fast
271,CLM100270,271,20220903,0,,0.0,0.0,Low,Low,0,Fast
272,CLM100271,272,20241128,0,,0.0,0.0,Low,Low,0,Fast
273,CLM100272,273,20240129,0,,0.0,0.0,Low,Low,0,Fast
274,CLM100273,274,20230622,0,,0.0,0.0,Low,Low,0,Fast
275,CLM100274,275,20240709,0,,0.0,0.0,Low,Low,0,Fast
276,CLM100275,276,20230212,0,,0.0,0.0,Low,Low,0,Fast
277,CLM100276,277,20230609,0,,0.0,0.0,Low,Low,0,Fast
278,CLM100277,278,20240407,0,,0.0,0.0,Low,Low,0,Fast
279,CLM100278,279,20240621,0,,0.0,0.0,Low,Low,0,Fast
280,CLM100279,280,20220205,0,,0.0,0.0,Low,Low,0,Fast
281,CLM100280,281,20231116,0,,0.0,0.0,Low,Low,0,Fast
282,CLM100281,282,20220120,0,,0.0,0.0,Low,Low,0,Fast
283,CLM100282,283,20221117,0,,0.0,0.0,Low,Low,0,Fast
284,CLM100283,284,20230527,0,,0.0,0.0,Low,Low,0,Fast
285,CLM100284,285,20230204,0,,0.0,0.0,Low,Low,0,Fast
286,CLM100285,286,20231016,0,,0.0,0.0,Low,Low,0,Fast
287,CLM100286,287,20240829,0,,0.0,0.0,Low,Low,0,Fast
288,CLM100287,288,20230416,0,,0.0,0.0,Low,Low,0,Fast
289,CLM100288,289,20240413,120668,Very High,1.0,1.0,High,High,21,Delayed
290,CLM100289,290,20231228,0,,0.0,0.0,Low,Low,0,Fast
291,CLM100290,291,20240503,0,,0.0,0.0,Low,Low,0,Fast
292,CLM100291,292,20220220,0,,0.0,0.0,Low,Low,0,Fast
293,CLM100292,293,20230729,0,,0.0,0.0,Low,Low,0,Fast
294,CLM100293,294,20220530,0,,0.0,0.0,Low,Low,0,Fast
295,CLM100294,295,20221110,0,,0.0,0.0,Low,Low,0,Fast
296,CLM100295,296,20230724,0,,0.0,0.0,Low,Low,0,Fast
297,CLM100296,297,20221101,16093,Low,1.0,1.0,Medium,Low,26,Delayed
298,CLM100297,298,20231113,0,,0.0,0.0,Low,Low,0,Fast
299,CLM100298,299,20240417,0,,0.0,0.0,Low,Low,0,Fast
300,CLM100299,300,20241213,0,,0.0,0.0,Low,Low,0,Fast
301,CLM100300,301,20240929,0,,0.0,0.0,Low,Low,0,Fast
302,CLM100301,302,20230320,0,,0.0,0.0,Low,Low,0,Fast
303,CLM100302,303,20230905,0,,0.0,0.0,Low,Low,0,Fast
304,CLM100303,304,20240919,0,,0.0,0.0,Low,Low,0,Fast
305,CLM100304,305,20220921,0,,0.0,0.0,Low,Low,0,Fast
306,CLM100305,306,20241212,0,,0.0,0.0,Low,Low,0,Fast
307,CLM100306,307,20240930,0,,0.0,0.0,Low,Low,0,Fast
308,CLM100307,308,20220105,0,,0.0,0.0,Low,Low,0,Fast
309,CLM100308,309,20240213,0,,0.0,0.0,Low,Low,0,Fast
310,CLM100309,310,20240526,0,,0.0,0.0,Low,Low,0,Fast
311,CLM100310,311,20240918,0,,0.0,0.0,Low,Low,0,Fast
312,CLM100311,312,20240602,0,,0.0,0.0,Low,Low,0,Fast
313,CLM100312,313,20220216,0,,0.0,0.0,Low,Low,0,Fast
314,CLM100313,314,20240516,0,,0.0,0.0,Low,Low,0,Fast
315,CLM100314,315,20240402,0,,0.0,0.0,Low,Low,0,Fast
316,CLM100315,316,20240724,0,,0.0,0.0,Low,Low,0,Fast
317,CLM100316,317,20231018,0,,0.0,0.0,Low,Low,0,Fast
318,CLM100317,318,20220926,0,,0.0,0.0,Low,Low,0,Fast
319,CLM100318,319,20230105,0,,0.0,0.0,Low,Low,0,Fast
320,CLM100319,320,20230928,0,,0.0,0.0,Low,Low,0,Fast
321,CLM100320,321,20231019,0,,0.0,0.0,Low,Low,0,Fast
322,CLM100321,322,20220430,0,,0.0,0.0,Low,Low,0,Fast
323,CLM100322,323,20240410,0,,0.0,0.0,Low,Low,0,Fast
324,CLM100323,324,20241217,0,,0.0,0.0,Low,Low,0,Fast
325,CLM100324,325,20240111,0,,0.0,0.0,Low,Low,0,Fast
326,CLM100325,326,20220427,0,,0.0,0.0,Low,Low,0,Fast
327,CLM100326,327,20240301,0,,0.0,0.0,Low,Low,0,Fast
328,CLM100327,328,20241009,0,,0.0,0.0,Low,Low,0,Fast
329,CLM100328,329,20241217,0,,0.0,0.0,Low,Low,0,Fast
330,CLM100329,330,20230926,0,,0.0,0.0,Low,Low,0,Fast
331,CLM100330,331,20230528,0,,0.0,0.0,Low,Low,0,Fast
332,CLM100331,332,20240312,0,,0.0,0.0,Low,Low,0,Fast
333,CLM100332,333,20230714,0,,0.0,0.0,Low,Low,0,Fast
334,CLM100333,334,20230503,0,,0.0,0.0,Low,Low,0,Fast
335,CLM100334,335,20240615,119692,Very High,1.0,1.0,High,High,19,Delayed
336,CLM100335,336,20231205,0,,0.0,0.0,Low,Low,0,Fast
337,CLM100336,337,20230804,0,,0.0,0.0,Low,Low,0,Fast
338,CLM100337,338,20240229,0,,0.0,0.0,Low,Low,0,Fast
339,CLM100338,339,20240510,0,,0.0,0.0,Low,Low,0,Fast
340,CLM100339,340,20220904,0,,0.0,0.0,Low,Low,0,Fast
341,CLM100340,341,20220603,0,,0.0,0.0,Low,Low,0,Fast
342,CLM100341,342,20240923,0,,0.0,0.0,Low,Low,0,Fast
343,CLM100342,343,20231128,0,,0.0,0.0,Low,Low,0,Fast
344,CLM100343,344,20241228,0,,0.0,0.0,Low,Low,0,Fast
345,CLM100344,345,20241206,0,,0.0,0.0,Low,Low,0,Fast
346,CLM100345,346,20241005,0,,0.0,0.0,Low,Low,0,Fast
347,CLM100346,347,20220404,0,,0.0,0.0,Low,Low,0,Fast
348,CLM100347,348,20240815,0,,0.0,0.0,Low,Low,0,Fast
349,CLM100348,349,20241008,0,,0.0,0.0,Low,Low,0,Fast
350,CLM100349,350,20230329,0,,0.0,0.0,Low,Low,0,Fast
351,CLM100350,351,20240630,0,,0.0,0.0,Low,Low,0,Fast
352,CLM100351,352,20220806,0,,0.0,0.0,Low,Low,0,Fast
353,CLM100352,353,20230419,0,,0.0,0.0,Low,Low,0,Fast
354,CLM100353,354,20230308,0,,0.0,0.0,Low,Low,0,Fast
355,CLM100354,355,20221207,0,,0.0,0.0,Low,Low,0,Fast
356,CLM100355,356,20230705,0,,0.0,0.0,Low,Low,0,Fast
357,CLM100356,357,20221223,0,,0.0,0.0,Low,Low,0,Fast
358,CLM100357,358,20220123,0,,0.0,0.0,Low,Low,0,Fast
359,CLM100358,359,20230606,0,,0.0,0.0,Low,Low,0,Fast
360,CLM100359,360,20240312,0,,0.0,0.0,Low,Low,0,Fast
361,CLM100360,361,20240201,0,,0.0,0.0,Low,Low,0,Fast
362,CLM100361,362,20230318,0,,0.0,0.0,Low,Low,0,Fast
363,CLM100362,363,20240208,0,,0.0,0.0,Low,Low,0,Fast
364,CLM100363,364,20241012,0,,0.0,0.0,Low,Low,0,Fast
365,CLM100364,365,20230531,0,,0.0,0.0,Low,Low,0,Fast
366,CLM100365,366,20241105,0,,0.0,0.0,Low,Low,0,Fast
367,CLM100366,367,20240302,0,,0.0,0.0,Low,Low,0,Fast
368,CLM100367,368,20221202,0,,0.0,0.0,Low,Low,0,Fast
369,CLM100368,369,20220915,0,,0.0,0.0,Low,Low,0,Fast
370,CLM100369,370,20230512,0,,0.0,0.0,Low,Low,0,Fast
371,CLM100370,371,20240614,74042,High,1.0,1.0,High,Low,9,Delayed
372,CLM100371,372,20220609,0,,0.0,0.0,Low,Low,0,Fast
