quote_sk,quote_id,customer_sk,vehicle_sk,policy_sk,channel_sk,date_sk,quoted_premium,accepted_offer,conversion_flag,quote_status,quote_stage,device_type,quote_source,days_since_last_contact,quote_value_band
45,Q100044,45,45,45,138,20250306,4349.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,102,Low
46,Q100045,46,46,46,138,20250413,4625.0,0,0,Abandoned,Document Upload,Tablet,Website,115,Medium
47,Q100046,47,47,47,138,20251008,4432.0,0,0,Abandoned,Document Upload,Mobile,Agent,128,Low
48,Q100047,48,48,48,105,20250216,3839.0,0,0,Abandoned,Premium Calculation,Mobile,Website,60,Low
49,Q100048,49,49,49,134,20250303,5107.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,168,Medium
50,Q100049,50,50,50,138,20250131,4336.0,1,0,Abandoned,Payment,Desktop,Agent,205,Low
51,Q100050,51,51,51,138,20251106,4607.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,206,Medium
52,Q100051,52,52,52,138,20251117,4212.0,0,0,Abandoned,Document Upload,Mobile,Website,56,Low
53,Q100052,53,53,53,138,20251226,4525.0,0,0,Abandoned,Document Upload,Mobile,Website,142,Medium
54,Q100053,54,54,54,138,20250323,4216.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,103,Low
55,Q100054,55,55,55,24,20250516,4393.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,219,Low
56,Q100055,56,56,56,138,20250327,4481.0,0,0,Abandoned,Document Upload,Desktop,Aggregator,35,Low
57,Q100056,57,57,57,138,20251204,4154.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,161,Low
58,Q100057,58,58,58,134,20251026,3780.0,0,0,Abandoned,Premium Calculation,Desktop,Website,41,Low
59,Q100058,59,59,59,138,20251029,4134.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,100,Low
60,Q100059,60,60,60,139,20250320,4968.0,0,0,Abandoned,Document Upload,Mobile,Agent,113,Medium
61,Q100060,61,61,61,138,20250612,4296.0,0,0,Abandoned,Document Upload,Tablet,Agent,148,Low
62,Q100061,62,62,62,134,20250910,4170.0,0,0,Abandoned,Document Upload,Mobile,Website,142,Low
63,Q100062,63,63,63,135,20251022,4490.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,298,Low
64,Q100063,64,64,64,138,20250616,3816.0,0,0,Abandoned,Premium Calculation,Mobile,Website,255,Low
65,Q100064,65,65,65,138,20250819,3923.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,49,Low
66,Q100065,66,66,66,138,20250811,4037.0,0,0,Abandoned,Document Upload,Tablet,Mobile App,20,Low
67,Q100066,67,67,67,138,20251001,4250.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,28,Low
68,Q100067,68,68,68,138,20251013,3965.0,0,0,Abandoned,Document Upload,Desktop,Website,121,Low
69,Q100068,69,69,69,138,20251101,3663.0,0,0,Abandoned,Document Upload,Mobile,Website,258,Low
70,Q100069,70,70,70,138,20251224,3891.0,0,0,Abandoned,Premium Calculation,Mobile,Website,287,Low
71,Q100070,71,71,71,138,20250603,4426.0,0,0,Abandoned,Document Upload,Mobile,Agent,51,Low
72,Q100071,72,72,72,138,20250211,3995.0,0,0,Abandoned,Document Upload,Desktop,Mobile App,201,Low
73,Q100072,73,73,73,135,20250224,4714.0,0,0,Abandoned,Premium Calculation,Mobile,Website,272,Medium
74,Q100073,74,74,74,138,20251022,4547.0,0,0,Abandoned,Premium Calculation,Mobile,Website,247,Medium
75,Q100074,75,75,75,138,20250614,3989.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,118,Low
76,Q100075,76,76,76,139,20250818,4241.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,226,Low
77,Q100076,77,77,77,138,20250816,4016.0,0,0,Abandoned,Document Upload,Desktop,Agent,67,Low
78,Q100077,78,78,78,138,20250214,4605.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,31,Medium
79,Q100078,79,79,79,138,20250124,4104.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,209,Low
80,Q100079,80,80,80,138,20250914,4077.0,0,0,Abandoned,Document Upload,Desktop,Aggregator,20,Low
81,Q100080,81,81,81,138,20250228,4158.0,0,0,Abandoned,Document Upload,Mobile,Website,139,Low
82,Q100081,82,82,82,138,20250601,4425.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,108,Low
83,Q100082,83,83,83,138,20250622,4592.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,223,Medium
84,Q100083,84,84,84,138,20251231,3684.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,98,Low
85,Q100084,85,85,85,138,20251002,3855.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,60,Low
86,Q100085,86,86,86,24,20250924,4230.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,105,Low
87,Q100086,87,87,87,138,20250707,4581.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,197,Medium
88,Q100087,88,88,88,138,20250425,4211.0,0,0,Abandoned,Premium Calculation,Mobile,Website,111,Low
89,Q100088,89,89,89,138,20250228,4521.0,0,0,Abandoned,Document Upload,Mobile,Website,134,Medium
90,Q100089,90,90,90,138,20250403,4037.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,133,Low
91,Q100090,91,91,91,138,20250719,3651.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,169,Low
92,Q100091,92,92,92,138,20251201,4039.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,215,Low
93,Q100092,93,93,93,138,20250818,4215.0,0,0,Abandoned,Premium Calculation,Mobile,Website,251,Low
94,Q100093,94,94,94,138,20251230,3755.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,292,Low
95,Q100094,95,95,95,138,20250727,4421.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,265,Low
96,Q100095,96,96,96,138,20250725,4471.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,252,Low
97,Q100096,97,97,97,138,20250925,4126.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,79,Low
98,Q100097,98,98,98,138,20251017,4352.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,257,Low
99,Q100098,99,99,99,138,20250831,4051.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,88,Low
100,Q100099,100,100,100,138,20251029,4379.0,0,0,Abandoned,Document Upload,Desktop,Agent,130,Low
101,Q100100,101,101,101,138,20250414,4205.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,88,Low
102,Q100101,102,102,102,134,20250210,4311.0,0,0,Abandoned,Premium Calculation,Desktop,Website,188,Low
103,Q100102,103,103,103,134,20251214,3851.0,0,0,Abandoned,Document Upload,Tablet,Mobile App,272,Low
104,Q100103,104,104,104,138,20250706,4607.0,1,1,Converted,Policy Issued,Desktop,Agent,145,Medium
105,Q100104,105,105,105,138,20250823,4645.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,99,Medium
106,Q100105,106,106,106,138,20250308,3919.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,292,Low
107,Q100106,107,107,107,138,20251123,4512.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,94,Medium
108,Q100107,108,108,108,138,20250221,4465.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,35,Low
109,Q100108,109,109,109,138,20251011,3920.0,0,0,Abandoned,Premium Calculation,Mobile,Website,57,Low
110,Q100109,110,110,110,130,20250117,4105.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,13,Low
111,Q100110,111,111,111,138,20251130,4111.0,0,0,Abandoned,Premium Calculation,Desktop,Agent,137,Low
112,Q100111,112,112,112,105,20250722,4876.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,127,Medium
113,Q100112,113,113,113,138,20250928,3901.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,39,Low
114,Q100113,114,114,114,138,20250716,4351.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,153,Low
115,Q100114,115,115,115,134,20250721,4445.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,77,Low
116,Q100115,116,116,116,138,20251122,4374.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,241,Low
117,Q100116,117,117,117,138,20250313,4369.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,103,Low
118,Q100117,118,118,118,138,20250904,4398.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,193,Low
119,Q100118,119,119,119,138,20250923,3987.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,68,Low
120,Q100119,120,120,120,138,20251205,4528.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,47,Medium
121,Q100120,121,121,121,138,20250325,3702.0,0,0,Abandoned,Document Upload,Desktop,Agent,71,Low
122,Q100121,122,122,122,138,20250209,4441.0,0,0,Abandoned,Premium Calculation,Mobile,Website,122,Low
123,Q100122,123,123,123,138,20250315,4571.0,0,0,Abandoned,Document Upload,Desktop,Website,285,Medium
124,Q100123,124,124,124,138,20250422,3866.0,0,0,Abandoned,Document Upload,Desktop,Website,134,Low
125,Q100124,125,125,125,138,20250117,4413.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,46,Low
126,Q100125,126,126,126,138,20250113,3837.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,265,Low
127,Q100126,127,127,127,138,20250606,4029.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,184,Low
128,Q100127,128,128,128,138,20250529,4142.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,107,Low
129,Q100128,129,129,129,138,20251003,3690.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,104,Low
130,Q100129,130,130,130,138,20251115,3806.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,92,Low
131,Q100130,131,131,131,138,20251021,3664.0,0,0,Abandoned,Document Upload,Desktop,Mobile App,277,Low
132,Q100131,132,132,132,138,20250508,4462.0,0,0,Abandoned,Document Upload,Mobile,Website,292,Low
133,Q100132,133,133,133,138,20250303,3714.0,0,0,Abandoned,Document Upload,Desktop,Aggregator,259,Low
134,Q100133,134,134,134,138,20250428,4506.0,0,0,Abandoned,Premium Calculation,Tablet,Agent,43,Medium
135,Q100134,135,135,135,138,20250226,4488.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,247,Low
136,Q100135,136,136,136,138,20250625,4170.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,291,Low
137,Q100136,137,137,137,139,20250327,3993.0,0,0,Abandoned,Premium Calculation,Tablet,Agent,32,Low
138,Q100137,138,138,138,134,20250515,4278.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,143,Low
139,Q100138,139,139,139,138,20250810,4297.0,0,0,Abandoned,Document Upload,Mobile,Website,100,Low
140,Q100139,140,140,140,138,20250327,4121.0,0,0,Abandoned,Document Upload,Mobile,Website,206,Low
141,Q100140,141,141,141,138,20251221,3712.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,53,Low
142,Q100141,142,142,142,138,20250923,3788.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,290,Low
143,Q100142,143,143,143,138,20250906,4148.0,0,0,Abandoned,Document Upload,Mobile,Agent,215,Low
144,Q100143,144,144,144,134,20250802,4242.0,0,0,Abandoned,Premium Calculation,Tablet,Mobile App,19,Low
145,Q100144,145,145,145,138,20250722,4041.0,0,0,Abandoned,Document Upload,Desktop,Website,208,Low
146,Q100145,146,146,146,138,20250308,4324.0,0,0,Abandoned,Premium Calculation,Desktop,Website,44,Low
147,Q100146,147,147,147,138,20250705,4068.0,0,0,Abandoned,Document Upload,Desktop,Agent,137,Low
148,Q100147,148,148,148,138,20250408,3938.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,205,Low
149,Q100148,149,149,149,138,20251217,4028.0,0,0,Abandoned,Document Upload,Desktop,Agent,145,Low
150,Q100149,150,150,150,138,20250917,4422.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,17,Low
151,Q100150,151,151,151,138,20250610,4139.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,262,Low
152,Q100151,152,152,152,138,20250814,3880.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,74,Low
153,Q100152,153,153,153,105,20250918,4190.0,0,0,Abandoned,Document Upload,Desktop,Agent,149,Low
154,Q100153,154,154,154,138,20250420,3677.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,43,Low
155,Q100154,155,155,155,138,20250701,3784.0,0,0,Abandoned,Document Upload,Desktop,Aggregator,156,Low
156,Q100155,156,156,156,138,20250816,3850.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,159,Low
157,Q100156,157,157,157,138,20250601,4989.0,0,0,Abandoned,Premium Calculation,Desktop,Agent,167,Medium
158,Q100157,158,158,158,138,20250411,4429.0,0,0,Abandoned,Document Upload,Mobile,Agent,207,Low
159,Q100158,159,159,159,138,20250321,4579.0,0,0,Abandoned,Premium Calculation,Tablet,Mobile App,115,Medium
160,Q100159,160,160,160,138,20250808,3682.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,281,Low
161,Q100160,161,161,161,138,20250503,3697.0,0,0,Abandoned,Premium Calculation,Tablet,Website,262,Low
162,Q100161,162,162,162,138,20250223,4152.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,55,Low
163,Q100162,163,163,163,138,20250605,4056.0,0,0,Abandoned,Document Upload,Desktop,Aggregator,234,Low
164,Q100163,164,164,164,138,20250406,4223.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,239,Low
165,Q100164,165,165,165,138,20250701,4377.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,256,Low
166,Q100165,166,166,166,105,20250705,4454.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,103,Low
167,Q100166,167,167,167,138,20251103,3748.0,0,0,Abandoned,Document Upload,Mobile,Website,158,Low
168,Q100167,168,168,168,138,20250704,4333.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,125,Low
169,Q100168,169,169,169,138,20251111,4521.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,143,Medium
170,Q100169,170,170,170,138,20250105,4375.0,0,0,Abandoned,Premium Calculation,Mobile,Website,297,Low
171,Q100170,171,171,171,138,20250118,4636.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,88,Medium
172,Q100171,172,172,172,135,20250829,4196.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,26,Low
173,Q100172,173,173,173,138,20251212,4610.0,0,0,Abandoned,Document Upload,Mobile,Agent,206,Medium
174,Q100173,174,174,174,138,20251205,4388.0,0,0,Abandoned,Document Upload,Desktop,Aggregator,221,Low
175,Q100174,175,175,175,138,20250722,4262.0,0,0,Abandoned,Premium Calculation,Tablet,Agent,46,Low
176,Q100175,176,176,176,138,20251130,4592.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,244,Medium
177,Q100176,177,177,177,138,20250401,4111.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,74,Low
178,Q100177,178,178,178,138,20251023,4292.0,0,0,Abandoned,Document Upload,Mobile,Agent,183,Low
179,Q100178,179,179,179,138,20251226,4418.0,0,0,Abandoned,Document Upload,Desktop,Mobile App,85,Low
180,Q100179,180,180,180,138,20250721,3654.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,207,Low
181,Q100180,181,181,181,138,20250201,3867.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,136,Low
182,Q100181,182,182,182,138,20250702,4152.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,241,Low
183,Q100182,183,183,183,134,20250905,4416.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,160,Low
184,Q100183,184,184,184,138,20250119,4047.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,171,Low
185,Q100184,185,185,185,138,20250825,4520.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,28,Medium
186,Q100185,186,186,186,134,20250418,4944.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,252,Medium
187,Q100186,187,187,187,138,20250216,4042.0,0,0,Abandoned,Premium Calculation,Desktop,Website,173,Low
188,Q100187,188,188,188,138,20250124,3856.0,0,0,Abandoned,Document Upload,Mobile,Agent,201,Low
189,Q100188,189,189,189,138,20250806,3664.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,164,Low
190,Q100189,190,190,190,138,20251004,4507.0,0,0,Abandoned,Premium Calculation,Mobile,Website,248,Medium
191,Q100190,191,191,191,138,20250825,4203.0,0,0,Abandoned,Document Upload,Desktop,Website,293,Low
192,Q100191,192,192,192,138,20251114,4541.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,221,Medium
193,Q100192,193,193,193,138,20250828,4110.0,0,0,Abandoned,Premium Calculation,Desktop,Agent,291,Low
194,Q100193,194,194,194,138,20250828,4340.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,292,Low
195,Q100194,195,195,195,138,20250509,4224.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,51,Low
196,Q100195,196,196,196,138,20250811,4513.0,0,0,Abandoned,Premium Calculation,Desktop,Agent,246,Medium
197,Q100196,197,197,197,138,20250908,4392.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,159,Low
198,Q100197,198,198,198,134,20250110,4390.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,123,Low
199,Q100198,199,199,199,138,20250902,4213.0,0,0,Abandoned,Premium Calculation,Mobile,Website,94,Low
200,Q100199,200,200,200,138,20250223,3745.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,200,Low
201,Q100200,201,201,201,134,20250409,5049.0,0,0,Abandoned,Document Upload,Desktop,Agent,66,Medium
202,Q100201,202,202,202,138,20251025,4383.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,14,Low
203,Q100202,203,203,203,138,20250924,4134.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,84,Low
204,Q100203,204,204,204,138,20250204,4056.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,269,Low
205,Q100204,205,205,205,138,20250721,3880.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,217,Low
206,Q100205,206,206,206,138,20250612,4398.0,1,1,Converted,Policy Issued,Desktop,Agent,90,Low
207,Q100206,207,207,207,138,20250118,4304.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,197,Low
208,Q100207,208,208,208,138,20250623,3820.0,0,0,Abandoned,Document Upload,Desktop,Mobile App,80,Low
209,Q100208,209,209,209,138,20250206,4190.0,0,0,Abandoned,Premium Calculation,Mobile,Website,29,Low
210,Q100209,210,210,210,138,20250517,3685.0,0,0,Abandoned,Document Upload,Desktop,Aggregator,79,Low
211,Q100210,211,211,211,138,20250113,4174.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,109,Low
212,Q100211,212,212,212,138,20251028,3809.0,0,0,Abandoned,Premium Calculation,Mobile,Website,295,Low
213,Q100212,213,213,213,138,20250806,4488.0,0,0,Abandoned,Premium Calculation,Mobile,Website,38,Low
214,Q100213,214,214,214,138,20251217,4348.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,223,Low
215,Q100214,215,215,215,138,20250308,3892.0,0,0,Abandoned,Premium Calculation,Mobile,Website,143,Low
216,Q100215,216,216,216,138,20250818,3735.0,0,0,Abandoned,Premium Calculation,Mobile,Website,236,Low
217,Q100216,217,217,217,138,20250621,4445.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,44,Low
218,Q100217,218,218,218,138,20250928,4227.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,86,Low
219,Q100218,219,219,219,138,20250330,4331.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,272,Low
220,Q100219,220,220,220,138,20250522,4206.0,0,0,Abandoned,Document Upload,Desktop,Mobile App,183,Low
221,Q100220,221,221,221,138,20250208,4223.0,0,0,Abandoned,Document Upload,Desktop,Website,197,Low
222,Q100221,222,222,222,138,20250907,4602.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,41,Medium
223,Q100222,223,223,223,138,20250208,4295.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,279,Low
224,Q100223,224,224,224,138,20250409,4445.0,0,0,Abandoned,Premium Calculation,Desktop,Agent,103,Low
225,Q100224,225,225,225,138,20250519,3677.0,0,0,Abandoned,Document Upload,Tablet,Agent,187,Low
226,Q100225,226,226,226,138,20251113,4269.0,0,0,Abandoned,Premium Calculation,Mobile,Website,164,Low
227,Q100226,227,227,227,134,20250730,4705.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,202,Medium
228,Q100227,228,228,228,138,20251123,3989.0,0,0,Abandoned,Document Upload,Desktop,Agent,236,Low
229,Q100228,229,229,229,105,20251223,4947.0,0,0,Abandoned,Document Upload,Tablet,Agent,167,Medium
230,Q100229,230,230,230,134,20251204,5107.0,0,0,Abandoned,Document Upload,Mobile,Agent,109,Medium
231,Q100230,231,231,231,138,20251105,3980.0,0,0,Abandoned,Premium Calculation,Mobile,Website,169,Low
232,Q100231,232,232,232,138,20250920,4289.0,0,0,Abandoned,Premium Calculation,Desktop,Website,64,Low
233,Q100232,233,233,233,134,20250401,5405.0,0,0,Abandoned,Document Upload,Mobile,Website,206,Medium
234,Q100233,234,234,234,138,20250619,3997.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,140,Low
235,Q100234,235,235,235,138,20250906,4122.0,0,0,Abandoned,Premium Calculation,Desktop,Website,31,Low
236,Q100235,236,236,236,134,20250114,4380.0,1,0,Abandoned,Document Upload,Mobile,Aggregator,47,Low
237,Q100236,237,237,237,138,20251004,3839.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,235,Low
238,Q100237,238,238,238,138,20250526,3874.0,0,0,Abandoned,Premium Calculation,Desktop,Agent,121,Low
239,Q100238,239,239,239,138,20251117,4034.0,0,0,Abandoned,Document Upload,Tablet,Mobile App,246,Low
240,Q100239,240,240,240,138,20250704,4026.0,0,0,Abandoned,Document Upload,Mobile,Website,161,Low
241,Q100240,241,241,241,138,20250824,3932.0,0,0,Abandoned,Document Upload,Mobile,Website,234,Low
242,Q100241,242,242,242,138,20250328,4607.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,126,Medium
243,Q100242,243,243,243,134,20250706,4782.0,0,0,Abandoned,Premium Calculation,Mobile,Website,109,Medium
244,Q100243,244,244,244,138,20250823,4277.0,0,0,Abandoned,Premium Calculation,Desktop,Website,146,Low
245,Q100244,245,245,245,138,20250801,4622.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,288,Medium
