underwriting_sk,policy_sk,customer_sk,vehicle_sk,underwriting_date_sk,risk_score,risk_band,fraud_probability,underwriting_decision,recommendation,manual_review_flag,review_time_minutes,premium_adjustment_pct,rules_triggered,ai_confidence,processing_mode,underwriter,sla_status,explanation_generated,model_version
25,25,25,25,20260224,39,Medium,0.39,Manual Review,Refer Underwriter,True,80,7,4,99.8,Manual,Alice,SLA Breached,True,UW_AI_v1.0
26,26,26,26,20251208,55,Medium,0.55,Manual Review,Refer Underwriter,True,24,13,5,94.33,Manual,David,Within SLA,True,UW_AI_v1.0
27,27,27,27,20240316,72,High,0.72,Rejected,Reject,False,12,22,3,94.36,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
28,28,28,28,20230121,39,Medium,0.39,Manual Review,Refer Underwriter,True,35,4,2,88.2,Manual,Alice,SLA Breached,True,UW_AI_v1.0
29,29,29,29,20250430,76,High,0.76,Rejected,Reject,False,15,23,3,83.58,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
30,30,30,30,20240813,48,Medium,0.48,Manual Review,Refer Underwriter,True,86,5,3,78.52,Manual,Alice,SLA Breached,True,UW_AI_v1.0
31,31,31,31,20221004,33,Medium,0.33,Approved,Auto Approve,False,7,-10,5,79.54,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
32,32,32,32,20250330,40,Medium,0.4,Manual Review,Refer Underwriter,True,75,3,4,86.04,Manual,Alice,SLA Breached,True,UW_AI_v2.0
33,33,33,33,20230405,82,Very High,0.82,Rejected,Reject,False,18,27,5,98.99,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
34,34,34,34,20250830,46,Medium,0.46,Manual Review,Refer Underwriter,True,48,6,4,90.12,Manual,Alice,SLA Breached,True,UW_AI_v2.0
35,35,35,35,20220122,98,Very High,0.98,Rejected,Reject,False,24,33,5,96.57,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
36,36,36,36,20220910,11,Low,0.11,Approved,Auto Approve,False,2,-6,6,81.09,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
37,37,37,37,20240118,17,Low,0.17,Approved,Auto Approve,False,7,-9,1,84.78,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
38,38,38,38,20240506,26,Low,0.26,Approved,Auto Approve,False,4,-4,2,93.21,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
39,39,39,39,20260504,61,High,0.61,Manual Review,Refer Underwriter,True,73,13,6,76.7,Manual,John,SLA Breached,True,UW_AI_v1.1
40,40,40,40,20230420,49,Medium,0.49,Manual Review,Refer Underwriter,True,51,14,2,81.86,Manual,Priya,SLA Breached,True,UW_AI_v1.1
41,41,41,41,20241218,58,Medium,0.58,Manual Review,Refer Underwriter,True,63,10,6,89.05,Manual,John,SLA Breached,True,UW_AI_v2.0
42,42,42,42,20230526,6,Low,0.06,Approved,Auto Approve,False,5,-4,3,92.42,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
43,43,43,43,20260902,76,High,0.76,Rejected,Reject,False,5,20,2,85.85,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
44,44,44,44,20260208,61,High,0.61,Manual Review,Refer Underwriter,True,45,12,6,96.58,Manual,Alice,SLA Breached,True,UW_AI_v1.1
45,45,45,45,20231201,89,Very High,0.89,Rejected,Reject,False,22,25,3,89.55,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
46,46,46,46,20240902,88,Very High,0.88,Rejected,Reject,False,7,15,4,91.22,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
47,47,47,47,20261212,79,High,0.79,Rejected,Reject,False,14,34,6,81.74,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
48,48,48,48,20220709,38,Medium,0.38,Manual Review,Refer Underwriter,True,25,12,1,83.16,Manual,Rahul,Within SLA,True,UW_AI_v1.1
49,49,49,49,20240815,48,Medium,0.48,Manual Review,Refer Underwriter,True,84,10,7,76.01,Manual,John,SLA Breached,True,UW_AI_v1.1
50,50,50,50,20231118,73,High,0.73,Rejected,Reject,False,18,19,6,76.87,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
51,51,51,51,20240815,57,Medium,0.57,Manual Review,Refer Underwriter,True,22,11,6,99.0,Manual,Rahul,Within SLA,True,UW_AI_v2.0
52,52,52,52,20230717,66,High,0.66,Manual Review,Refer Underwriter,True,70,2,2,88.71,Manual,David,SLA Breached,True,UW_AI_v2.0
53,53,53,53,20260510,98,Very High,0.98,Rejected,Reject,False,23,25,1,78.03,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
54,54,54,54,20250621,37,Medium,0.37,Manual Review,Refer Underwriter,True,51,9,1,82.75,Manual,John,SLA Breached,True,UW_AI_v2.0
55,55,55,55,20240411,80,Very High,0.8,Rejected,Reject,False,11,20,1,90.79,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
56,56,56,56,20260309,73,High,0.73,Rejected,Reject,False,14,24,2,96.37,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
57,57,57,57,20250228,5,Low,0.05,Approved,Auto Approve,False,3,-8,4,76.64,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
58,58,58,58,20260217,39,Medium,0.39,Manual Review,Refer Underwriter,True,37,10,4,86.3,Manual,Rahul,SLA Breached,True,UW_AI_v1.0
59,59,59,59,20231009,29,Low,0.29,Approved,Auto Approve,False,6,-3,3,76.71,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
60,60,60,60,20220121,8,Low,0.08,Approved,Auto Approve,False,7,-9,2,86.51,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
61,61,61,61,20240420,77,High,0.77,Rejected,Reject,False,7,25,3,92.98,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
62,62,62,62,20220616,71,High,0.71,Rejected,Reject,False,13,19,2,94.26,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
63,63,63,63,20250721,98,Very High,0.98,Rejected,Reject,False,23,27,3,81.83,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
64,64,64,64,20230123,88,Very High,0.88,Rejected,Reject,False,6,17,2,81.66,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
65,65,65,65,20230824,14,Low,0.14,Approved,Auto Approve,False,2,-1,2,99.6,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
66,66,66,66,20221112,24,Low,0.24,Approved,Auto Approve,False,4,4,3,77.9,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
67,67,67,67,20220114,44,Medium,0.44,Manual Review,Refer Underwriter,True,83,6,2,91.07,Manual,Rahul,SLA Breached,True,UW_AI_v1.1
68,68,68,68,20220830,71,High,0.71,Rejected,Reject,False,20,28,3,93.34,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
69,69,69,69,20240216,79,High,0.79,Rejected,Reject,False,17,18,3,94.26,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
70,70,70,70,20251001,19,Low,0.19,Approved,Auto Approve,False,4,-6,1,91.59,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
71,71,71,71,20230719,32,Medium,0.32,Approved,Auto Approve,False,6,2,4,85.34,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
72,72,72,72,20240616,39,Medium,0.39,Manual Review,Refer Underwriter,True,46,12,5,77.95,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
73,73,73,73,20250925,11,Low,0.11,Approved,Auto Approve,False,2,-5,5,89.23,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
74,74,74,74,20220402,58,Medium,0.58,Manual Review,Refer Underwriter,True,47,14,3,89.67,Manual,Priya,SLA Breached,True,UW_AI_v1.1
75,75,75,75,20251022,46,Medium,0.46,Manual Review,Refer Underwriter,True,78,11,3,91.25,Manual,Priya,SLA Breached,True,UW_AI_v1.1
76,76,76,76,20240813,42,Medium,0.42,Manual Review,Refer Underwriter,True,53,14,2,98.09,Manual,Alice,SLA Breached,True,UW_AI_v2.0
77,77,77,77,20260118,87,Very High,0.87,Rejected,Reject,False,24,20,1,85.93,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
78,78,78,78,20251222,68,High,0.68,Manual Review,Refer Underwriter,True,38,4,2,98.87,Manual,Alice,SLA Breached,True,UW_AI_v1.1
79,79,79,79,20230524,61,High,0.61,Manual Review,Refer Underwriter,True,86,5,4,80.35,Manual,David,SLA Breached,True,UW_AI_v2.0
80,80,80,80,20240215,33,Medium,0.33,Approved,Auto Approve,False,2,-10,7,81.34,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
81,81,81,81,20220204,70,High,0.7,Rejected,Reject,False,7,20,3,78.14,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
82,82,82,82,20220725,87,Very High,0.87,Rejected,Reject,False,11,16,3,76.87,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
83,83,83,83,20250109,77,High,0.77,Rejected,Reject,False,5,33,4,86.55,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
84,84,84,84,20260505,10,Low,0.1,Approved,Auto Approve,False,2,-3,7,90.8,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
85,85,85,85,20251112,85,Very High,0.85,Rejected,Reject,False,23,23,6,84.78,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
86,86,86,86,20241022,6,Low,0.06,Approved,Auto Approve,False,2,0,2,88.75,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
87,87,87,87,20241018,43,Medium,0.43,Manual Review,Refer Underwriter,True,73,4,7,85.0,Manual,John,SLA Breached,True,UW_AI_v1.0
88,88,88,88,20251114,10,Low,0.1,Approved,Auto Approve,False,6,-3,5,76.12,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
89,89,89,89,20230720,18,Low,0.18,Approved,Auto Approve,False,2,-10,6,79.34,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
90,90,90,90,20250203,94,Very High,0.94,Rejected,Reject,False,20,18,6,81.67,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
91,91,91,91,20261201,22,Low,0.22,Approved,Auto Approve,False,2,-3,5,90.81,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
92,92,92,92,20260209,74,High,0.74,Rejected,Reject,False,8,30,4,96.54,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
93,93,93,93,20231204,80,Very High,0.8,Rejected,Reject,False,17,20,4,79.53,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
94,94,94,94,20230206,26,Low,0.26,Approved,Auto Approve,False,4,-8,5,80.63,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
95,95,95,95,20231231,82,Very High,0.82,Rejected,Reject,False,7,30,6,92.81,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
96,96,96,96,20260429,17,Low,0.17,Approved,Auto Approve,False,2,-7,4,98.81,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
97,97,97,97,20220611,77,High,0.77,Rejected,Reject,False,18,28,7,83.79,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
98,98,98,98,20220721,14,Low,0.14,Approved,Auto Approve,False,3,-6,5,82.97,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
99,99,99,99,20240922,31,Medium,0.31,Approved,Auto Approve,False,7,-3,4,84.0,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
100,100,100,100,20220927,18,Low,0.18,Approved,Auto Approve,False,2,-7,5,79.23,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
101,101,101,101,20240326,13,Low,0.13,Approved,Auto Approve,False,7,-8,3,87.26,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
102,102,102,102,20250718,13,Low,0.13,Approved,Auto Approve,False,3,-10,7,88.53,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
103,103,103,103,20230401,94,Very High,0.94,Rejected,Reject,False,20,18,7,78.92,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
104,104,104,104,20260125,61,High,0.61,Manual Review,Refer Underwriter,True,50,8,4,80.57,Manual,John,SLA Breached,True,UW_AI_v1.1
105,105,105,105,20261017,39,Medium,0.39,Manual Review,Refer Underwriter,True,86,5,1,80.03,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
106,106,106,106,20250629,30,Medium,0.3,Approved,Auto Approve,False,3,4,5,90.08,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
107,107,107,107,20241013,45,Medium,0.45,Manual Review,Refer Underwriter,True,86,0,3,92.72,Manual,Alice,SLA Breached,True,UW_AI_v1.0
108,108,108,108,20260922,71,High,0.71,Rejected,Reject,False,5,26,7,82.61,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
109,109,109,109,20221023,34,Medium,0.34,Approved,Auto Approve,False,2,4,4,94.06,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
110,110,110,110,20261015,33,Medium,0.33,Approved,Auto Approve,False,5,-5,4,97.64,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
111,111,111,111,20231221,88,Very High,0.88,Rejected,Reject,False,19,18,3,87.91,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
112,112,112,112,20261108,72,High,0.72,Rejected,Reject,False,9,16,5,97.65,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
113,113,113,113,20221204,18,Low,0.18,Approved,Auto Approve,False,3,-8,6,90.6,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
114,114,114,114,20240528,56,Medium,0.56,Manual Review,Refer Underwriter,True,62,13,3,79.87,Manual,Alice,SLA Breached,True,UW_AI_v1.1
115,115,115,115,20241212,43,Medium,0.43,Manual Review,Refer Underwriter,True,56,9,7,81.4,Manual,John,SLA Breached,True,UW_AI_v1.1
116,116,116,116,20240302,25,Low,0.25,Approved,Auto Approve,False,4,3,4,89.7,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
117,117,117,117,20220805,75,High,0.75,Rejected,Reject,False,15,19,2,80.61,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
118,118,118,118,20240203,10,Low,0.1,Approved,Auto Approve,False,4,-3,5,75.09,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
119,119,119,119,20220707,59,Medium,0.59,Manual Review,Refer Underwriter,True,73,1,7,81.47,Manual,John,SLA Breached,True,UW_AI_v2.0
120,120,120,120,20230115,44,Medium,0.44,Manual Review,Refer Underwriter,True,86,13,4,76.28,Manual,Priya,SLA Breached,True,UW_AI_v2.0
121,121,121,121,20230508,74,High,0.74,Rejected,Reject,False,7,27,2,97.35,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
122,122,122,122,20241130,29,Low,0.29,Approved,Auto Approve,False,3,-5,7,92.1,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
123,123,123,123,20250326,8,Low,0.08,Approved,Auto Approve,False,2,4,5,75.73,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
124,124,124,124,20220115,93,Very High,0.93,Rejected,Reject,False,19,31,7,76.2,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
125,125,125,125,20220306,86,Very High,0.86,Rejected,Reject,False,23,28,7,75.72,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
126,126,126,126,20230605,38,Medium,0.38,Manual Review,Refer Underwriter,True,72,3,2,94.84,Manual,Rahul,SLA Breached,True,UW_AI_v1.1
127,127,127,127,20250929,93,Very High,0.93,Rejected,Reject,False,13,32,2,94.57,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
128,128,128,128,20250226,26,Low,0.26,Approved,Auto Approve,False,7,3,7,93.37,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
129,129,129,129,20231010,60,High,0.6,Manual Review,Refer Underwriter,True,79,2,6,78.74,Manual,John,SLA Breached,True,UW_AI_v2.0
130,130,130,130,20260204,50,Medium,0.5,Manual Review,Refer Underwriter,True,51,3,4,99.57,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
131,131,131,131,20241222,60,High,0.6,Manual Review,Refer Underwriter,True,26,5,4,96.05,Manual,John,Within SLA,True,UW_AI_v2.0
132,132,132,132,20250308,82,Very High,0.82,Rejected,Reject,False,18,19,6,91.01,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
133,133,133,133,20260303,79,High,0.79,Rejected,Reject,False,8,20,2,91.93,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
134,134,134,134,20230816,31,Medium,0.31,Approved,Auto Approve,False,7,4,5,84.56,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
135,135,135,135,20230127,94,Very High,0.94,Rejected,Reject,False,8,24,5,89.21,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
136,136,136,136,20260826,39,Medium,0.39,Manual Review,Refer Underwriter,True,60,10,1,83.58,Manual,Priya,SLA Breached,True,UW_AI_v1.0
137,137,137,137,20230223,20,Low,0.2,Approved,Auto Approve,False,2,-2,2,92.79,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
138,138,138,138,20221016,24,Low,0.24,Approved,Auto Approve,False,5,-2,6,83.36,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
139,139,139,139,20230114,19,Low,0.19,Approved,Auto Approve,False,7,3,2,98.67,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
140,140,140,140,20261202,82,Very High,0.82,Rejected,Reject,False,8,20,5,99.1,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
141,141,141,141,20260222,76,High,0.76,Rejected,Reject,False,12,22,6,81.3,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
142,142,142,142,20220819,28,Low,0.28,Approved,Auto Approve,False,6,-2,2,95.5,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
143,143,143,143,20241014,66,High,0.66,Manual Review,Refer Underwriter,True,72,14,1,77.52,Manual,John,SLA Breached,True,UW_AI_v1.0
144,144,144,144,20220210,84,Very High,0.84,Rejected,Reject,False,15,15,1,81.39,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
145,145,145,145,20241117,95,Very High,0.95,Rejected,Reject,False,10,34,3,81.56,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
146,146,146,146,20220515,96,Very High,0.96,Rejected,Reject,False,18,27,3,90.51,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
147,147,147,147,20220720,48,Medium,0.48,Manual Review,Refer Underwriter,True,44,12,7,97.87,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
148,148,148,148,20240219,18,Low,0.18,Approved,Auto Approve,False,7,-10,7,82.39,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
149,149,149,149,20240718,77,High,0.77,Rejected,Reject,False,7,20,6,85.59,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
150,150,150,150,20241122,81,Very High,0.81,Rejected,Reject,False,16,28,5,84.71,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
151,151,151,151,20241207,55,Medium,0.55,Manual Review,Refer Underwriter,True,45,9,5,84.47,Manual,David,SLA Breached,True,UW_AI_v1.1
152,152,152,152,20230518,26,Low,0.26,Approved,Auto Approve,False,4,-10,3,89.35,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
153,153,153,153,20230211,98,Very High,0.98,Rejected,Reject,False,19,32,1,91.76,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
154,154,154,154,20260517,36,Medium,0.36,Manual Review,Refer Underwriter,True,23,4,7,84.91,Manual,David,Within SLA,True,UW_AI_v2.0
155,155,155,155,20261018,84,Very High,0.84,Rejected,Reject,False,17,20,1,95.08,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
156,156,156,156,20240315,29,Low,0.29,Approved,Auto Approve,False,3,-10,3,89.64,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
157,157,157,157,20220409,53,Medium,0.53,Manual Review,Refer Underwriter,True,48,7,2,81.77,Manual,Priya,SLA Breached,True,UW_AI_v1.1
158,158,158,158,20231115,27,Low,0.27,Approved,Auto Approve,False,6,-3,5,84.25,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
159,159,159,159,20231227,41,Medium,0.41,Manual Review,Refer Underwriter,True,48,11,1,99.0,Manual,John,SLA Breached,True,UW_AI_v1.0
160,160,160,160,20260420,96,Very High,0.96,Rejected,Reject,False,6,16,4,90.0,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
161,161,161,161,20240818,7,Low,0.07,Approved,Auto Approve,False,5,-6,1,87.47,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
162,162,162,162,20261029,64,High,0.64,Manual Review,Refer Underwriter,True,74,3,3,81.15,Manual,David,SLA Breached,True,UW_AI_v2.0
163,163,163,163,20230905,63,High,0.63,Manual Review,Refer Underwriter,True,62,12,5,88.27,Manual,John,SLA Breached,True,UW_AI_v1.1
164,164,164,164,20260125,27,Low,0.27,Approved,Auto Approve,False,3,-1,3,77.03,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
165,165,165,165,20231005,37,Medium,0.37,Manual Review,Refer Underwriter,True,52,0,5,84.96,Manual,Priya,SLA Breached,True,UW_AI_v1.0
166,166,166,166,20261128,58,Medium,0.58,Manual Review,Refer Underwriter,True,48,5,3,96.57,Manual,David,SLA Breached,True,UW_AI_v2.0
167,167,167,167,20241025,43,Medium,0.43,Manual Review,Refer Underwriter,True,82,11,6,85.75,Manual,David,SLA Breached,True,UW_AI_v1.1
168,168,168,168,20250526,29,Low,0.29,Approved,Auto Approve,False,2,-3,4,95.96,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
169,169,169,169,20230518,67,High,0.67,Manual Review,Refer Underwriter,True,29,9,1,76.0,Manual,John,Within SLA,True,UW_AI_v1.1
170,170,170,170,20240206,93,Very High,0.93,Rejected,Reject,False,19,20,7,78.45,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
171,171,171,171,20230202,89,Very High,0.89,Rejected,Reject,False,13,15,7,93.27,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
172,172,172,172,20240520,63,High,0.63,Manual Review,Refer Underwriter,True,70,2,3,93.54,Manual,David,SLA Breached,True,UW_AI_v2.0
173,173,173,173,20240305,35,Medium,0.35,Manual Review,Refer Underwriter,True,53,1,2,91.08,Manual,David,SLA Breached,True,UW_AI_v1.1
174,174,174,174,20230128,53,Medium,0.53,Manual Review,Refer Underwriter,True,89,6,3,97.94,Manual,Alice,SLA Breached,True,UW_AI_v2.0
175,175,175,175,20220726,98,Very High,0.98,Rejected,Reject,False,13,31,1,88.14,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
176,176,176,176,20241104,64,High,0.64,Manual Review,Refer Underwriter,True,88,1,1,93.09,Manual,John,SLA Breached,True,UW_AI_v2.0
177,177,177,177,20260427,68,High,0.68,Manual Review,Refer Underwriter,True,23,14,4,81.76,Manual,Priya,Within SLA,True,UW_AI_v1.0
178,178,178,178,20240610,42,Medium,0.42,Manual Review,Refer Underwriter,True,89,9,3,90.29,Manual,John,SLA Breached,True,UW_AI_v1.0
