quote_sk,quote_id,customer_sk,channel_sk,date_sk,date,year,quarter,month,month_name,week,day_name,channel_name,gender,customer_age,region,quote_source,device_type,quoted_premium,quote_value_band,days_since_last_contact,quote_status,quote_stage,accepted_offer,conversion_flag,quote_count,policy_issued_flag,conversion_rate,mobile_quote_flag,desktop_quote_flag,high_value_quote,medium_value_quote,low_value_quote
53,Q100052,53,154,20251226,2025-12-26,2025,4,12,December,52,Friday,,Female,20,47.0,Website,Mobile,4525.0,Medium,142,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
54,Q100053,54,154,20250323,2025-03-23,2025,1,3,March,12,Sunday,,Female,20,35.0,Aggregator,Mobile,4216.0,Low,103,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
55,Q100054,55,25,20250516,2025-05-16,2025,2,5,May,20,Friday,Website,Male,20,28.0,Mobile App,Mobile,4393.0,Low,219,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
56,Q100055,56,154,20250327,2025-03-27,2025,1,3,March,13,Thursday,,Male,20,30.0,Aggregator,Desktop,4481.0,Low,35,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
57,Q100056,57,154,20251204,2025-12-04,2025,4,12,December,49,Thursday,,Female,20,46.0,Mobile App,Desktop,4154.0,Low,161,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
58,Q100057,58,150,20251026,2025-10-26,2025,4,10,October,43,Sunday,,Male,20,46.0,Website,Desktop,3780.0,Low,41,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
59,Q100058,59,154,20251029,2025-10-29,2025,4,10,October,44,Wednesday,,Female,20,34.0,Agent,Mobile,4134.0,Low,100,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
60,Q100059,60,155,20250320,2025-03-20,2025,1,3,March,12,Thursday,,Female,20,36.0,Agent,Mobile,4968.0,Medium,113,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
61,Q100060,61,154,20250612,2025-06-12,2025,2,6,June,24,Thursday,,Female,20,5.0,Agent,Tablet,4296.0,Low,148,Abandoned,Document Upload,0,0,1,0,0,0,0,0,0,1
62,Q100061,62,150,20250910,2025-09-10,2025,3,9,September,37,Wednesday,,Female,20,28.0,Website,Mobile,4170.0,Low,142,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
63,Q100062,63,151,20251022,2025-10-22,2025,4,10,October,43,Wednesday,,Female,20,46.0,Mobile App,Mobile,4490.0,Low,298,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
64,Q100063,64,154,20250616,2025-06-16,2025,2,6,June,25,Monday,,Male,20,28.0,Website,Mobile,3816.0,Low,255,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
65,Q100064,65,154,20250819,2025-08-19,2025,3,8,August,34,Tuesday,,Male,20,12.0,Agent,Mobile,3923.0,Low,49,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
66,Q100065,66,154,20250811,2025-08-11,2025,3,8,August,33,Monday,,Male,20,15.0,Mobile App,Tablet,4037.0,Low,20,Abandoned,Document Upload,0,0,1,0,0,0,0,0,0,1
67,Q100066,67,154,20251001,2025-10-01,2025,4,10,October,40,Wednesday,,Female,20,7.0,Mobile App,Mobile,4250.0,Low,28,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
68,Q100067,68,154,20251013,2025-10-13,2025,4,10,October,42,Monday,,Male,20,28.0,Website,Desktop,3965.0,Low,121,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
69,Q100068,69,154,20251101,2025-11-01,2025,4,11,November,44,Saturday,,Male,20,13.0,Website,Mobile,3663.0,Low,258,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
70,Q100069,70,154,20251224,2025-12-24,2025,4,12,December,52,Wednesday,,Male,20,36.0,Website,Mobile,3891.0,Low,287,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
71,Q100070,71,154,20250603,2025-06-03,2025,2,6,June,23,Tuesday,,Male,20,29.0,Agent,Mobile,4426.0,Low,51,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
72,Q100071,72,154,20250211,2025-02-11,2025,1,2,February,7,Tuesday,,Male,20,39.0,Mobile App,Desktop,3995.0,Low,201,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
73,Q100072,73,151,20250224,2025-02-24,2025,1,2,February,9,Monday,,Male,20,37.0,Website,Mobile,4714.0,Medium,272,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
74,Q100073,74,154,20251022,2025-10-22,2025,4,10,October,43,Wednesday,,Female,20,46.0,Website,Mobile,4547.0,Medium,247,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
75,Q100074,75,154,20250614,2025-06-14,2025,2,6,June,24,Saturday,,Male,20,10.0,Aggregator,Desktop,3989.0,Low,118,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
76,Q100075,76,155,20250818,2025-08-18,2025,3,8,August,34,Monday,,Male,20,37.0,Mobile App,Desktop,4241.0,Low,226,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
77,Q100076,77,154,20250816,2025-08-16,2025,3,8,August,33,Saturday,,Male,20,35.0,Agent,Desktop,4016.0,Low,67,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
78,Q100077,78,154,20250214,2025-02-14,2025,1,2,February,7,Friday,,Female,20,36.0,Agent,Mobile,4605.0,Medium,31,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
79,Q100078,79,154,20250124,2025-01-24,2025,1,1,January,4,Friday,,Female,20,8.0,Aggregator,Mobile,4104.0,Low,209,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
80,Q100079,80,154,20250914,2025-09-14,2025,3,9,September,37,Sunday,,Male,20,2.0,Aggregator,Desktop,4077.0,Low,20,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
81,Q100080,81,154,20250228,2025-02-28,2025,1,2,February,9,Friday,,Female,20,36.0,Website,Mobile,4158.0,Low,139,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
82,Q100081,82,154,20250601,2025-06-01,2025,2,6,June,22,Sunday,,Female,20,30.0,Mobile App,Mobile,4425.0,Low,108,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
83,Q100082,83,154,20250622,2025-06-22,2025,2,6,June,25,Sunday,,Female,20,2.0,Aggregator,Desktop,4592.0,Medium,223,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
84,Q100083,84,154,20251231,2025-12-31,2025,4,12,December,1,Wednesday,,Female,20,42.0,Mobile App,Mobile,3684.0,Low,98,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
85,Q100084,85,154,20251002,2025-10-02,2025,4,10,October,40,Thursday,,Male,20,15.0,Aggregator,Desktop,3855.0,Low,60,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
86,Q100085,86,25,20250924,2025-09-24,2025,3,9,September,39,Wednesday,Website,Female,20,28.0,Mobile App,Mobile,4230.0,Low,105,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
87,Q100086,87,154,20250707,2025-07-07,2025,3,7,July,28,Monday,,Female,20,46.0,Agent,Mobile,4581.0,Medium,197,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
88,Q100087,88,154,20250425,2025-04-25,2025,2,4,April,17,Friday,,Male,20,28.0,Website,Mobile,4211.0,Low,111,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
89,Q100088,89,154,20250228,2025-02-28,2025,1,2,February,9,Friday,,Male,20,41.0,Website,Mobile,4521.0,Medium,134,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
90,Q100089,90,154,20250403,2025-04-03,2025,2,4,April,14,Thursday,,Female,20,2.0,Agent,Mobile,4037.0,Low,133,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
91,Q100090,91,154,20250719,2025-07-19,2025,3,7,July,29,Saturday,,Female,20,3.0,Agent,Mobile,3651.0,Low,169,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
92,Q100091,92,154,20251201,2025-12-01,2025,4,12,December,49,Monday,,Female,20,46.0,Aggregator,Desktop,4039.0,Low,215,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
93,Q100092,93,154,20250818,2025-08-18,2025,3,8,August,34,Monday,,Male,20,24.0,Website,Mobile,4215.0,Low,251,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
94,Q100093,94,154,20251230,2025-12-30,2025,4,12,December,1,Tuesday,,Male,20,8.0,Aggregator,Mobile,3755.0,Low,292,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
95,Q100094,95,154,20250727,2025-07-27,2025,3,7,July,30,Sunday,,Male,20,13.0,Agent,Mobile,4421.0,Low,265,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
96,Q100095,96,154,20250725,2025-07-25,2025,3,7,July,30,Friday,,Male,20,37.0,Aggregator,Mobile,4471.0,Low,252,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
97,Q100096,97,154,20250925,2025-09-25,2025,3,9,September,39,Thursday,,Male,20,32.0,Aggregator,Desktop,4126.0,Low,79,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
98,Q100097,98,154,20251017,2025-10-17,2025,4,10,October,42,Friday,,Female,20,8.0,Mobile App,Mobile,4352.0,Low,257,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
99,Q100098,99,154,20250831,2025-08-31,2025,3,8,August,35,Sunday,,Female,20,10.0,Mobile App,Mobile,4051.0,Low,88,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
100,Q100099,100,154,20251029,2025-10-29,2025,4,10,October,44,Wednesday,,Male,20,28.0,Agent,Desktop,4379.0,Low,130,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
101,Q100100,101,154,20250414,2025-04-14,2025,2,4,April,16,Monday,,Male,20,8.0,Aggregator,Mobile,4205.0,Low,88,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
102,Q100101,102,150,20250210,2025-02-10,2025,1,2,February,7,Monday,,Male,20,46.0,Website,Desktop,4311.0,Low,188,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
103,Q100102,103,150,20251214,2025-12-14,2025,4,12,December,50,Sunday,,Male,20,9.0,Mobile App,Tablet,3851.0,Low,272,Abandoned,Document Upload,0,0,1,0,0,0,0,0,0,1
104,Q100103,104,154,20250706,2025-07-06,2025,3,7,July,27,Sunday,,Male,20,30.0,Agent,Desktop,4607.0,Medium,145,Converted,Policy Issued,1,1,1,1,100,0,1,0,0,1
105,Q100104,105,154,20250823,2025-08-23,2025,3,8,August,34,Saturday,,Male,20,10.0,Agent,Mobile,4645.0,Medium,99,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
106,Q100105,106,154,20250308,2025-03-08,2025,1,3,March,10,Saturday,,Male,20,8.0,Agent,Mobile,3919.0,Low,292,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
107,Q100106,107,154,20251123,2025-11-23,2025,4,11,November,47,Sunday,,Male,20,38.0,Mobile App,Desktop,4512.0,Medium,94,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
108,Q100107,108,154,20250221,2025-02-21,2025,1,2,February,8,Friday,,Female,20,36.0,Aggregator,Desktop,4465.0,Low,35,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
109,Q100108,109,154,20251011,2025-10-11,2025,4,10,October,41,Saturday,,Female,20,49.0,Website,Mobile,3920.0,Low,57,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
110,Q100109,110,146,20250117,2025-01-17,2025,1,1,January,3,Friday,,Male,20,36.0,Mobile App,Mobile,4105.0,Low,13,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
111,Q100110,111,154,20251130,2025-11-30,2025,4,11,November,48,Sunday,,Female,20,15.0,Agent,Desktop,4111.0,Low,137,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
112,Q100111,112,120,20250722,2025-07-22,2025,3,7,July,30,Tuesday,Partner,Female,20,11.0,Agent,Mobile,4876.0,Medium,127,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
113,Q100112,113,154,20250928,2025-09-28,2025,3,9,September,39,Sunday,,Male,20,15.0,Aggregator,Desktop,3901.0,Low,39,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
114,Q100113,114,154,20250716,2025-07-16,2025,3,7,July,29,Wednesday,,Female,20,32.0,Mobile App,Mobile,4351.0,Low,153,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
115,Q100114,115,150,20250721,2025-07-21,2025,3,7,July,30,Monday,,Male,20,33.0,Aggregator,Mobile,4445.0,Low,77,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
116,Q100115,116,154,20251122,2025-11-22,2025,4,11,November,47,Saturday,,Female,20,10.0,Mobile App,Mobile,4374.0,Low,241,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
117,Q100116,117,154,20250313,2025-03-13,2025,1,3,March,11,Thursday,,Male,20,8.0,Mobile App,Mobile,4369.0,Low,103,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
118,Q100117,118,154,20250904,2025-09-04,2025,3,9,September,36,Thursday,,Male,20,36.0,Mobile App,Mobile,4398.0,Low,193,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
119,Q100118,119,154,20250923,2025-09-23,2025,3,9,September,39,Tuesday,,Male,20,46.0,Aggregator,Mobile,3987.0,Low,68,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
120,Q100119,120,154,20251205,2025-12-05,2025,4,12,December,49,Friday,,Female,20,46.0,Mobile App,Desktop,4528.0,Medium,47,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
121,Q100120,121,154,20250325,2025-03-25,2025,1,3,March,13,Tuesday,,Male,20,8.0,Agent,Desktop,3702.0,Low,71,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
122,Q100121,122,154,20250209,2025-02-09,2025,1,2,February,6,Sunday,,Male,20,40.0,Website,Mobile,4441.0,Low,122,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
123,Q100122,123,154,20250315,2025-03-15,2025,1,3,March,11,Saturday,,Female,20,46.0,Website,Desktop,4571.0,Medium,285,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
124,Q100123,124,154,20250422,2025-04-22,2025,2,4,April,17,Tuesday,,Female,20,45.0,Website,Desktop,3866.0,Low,134,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
125,Q100124,125,154,20250117,2025-01-17,2025,1,1,January,3,Friday,,Male,20,50.0,Mobile App,Mobile,4413.0,Low,46,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
126,Q100125,126,154,20250113,2025-01-13,2025,1,1,January,3,Monday,,Female,20,12.0,Mobile App,Mobile,3837.0,Low,265,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
127,Q100126,127,154,20250606,2025-06-06,2025,2,6,June,23,Friday,,Male,20,8.0,Aggregator,Mobile,4029.0,Low,184,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
128,Q100127,128,154,20250529,2025-05-29,2025,2,5,May,22,Thursday,,Male,20,36.0,Mobile App,Mobile,4142.0,Low,107,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
129,Q100128,129,154,20251003,2025-10-03,2025,4,10,October,40,Friday,,Female,20,8.0,Mobile App,Mobile,3690.0,Low,104,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
130,Q100129,130,154,20251115,2025-11-15,2025,4,11,November,46,Saturday,,Female,20,50.0,Aggregator,Mobile,3806.0,Low,92,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
131,Q100130,131,154,20251021,2025-10-21,2025,4,10,October,43,Tuesday,,Male,20,8.0,Mobile App,Desktop,3664.0,Low,277,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
132,Q100131,132,154,20250508,2025-05-08,2025,2,5,May,19,Thursday,,Male,20,44.0,Website,Mobile,4462.0,Low,292,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
133,Q100132,133,154,20250303,2025-03-03,2025,1,3,March,10,Monday,,Male,20,46.0,Aggregator,Desktop,3714.0,Low,259,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
134,Q100133,134,154,20250428,2025-04-28,2025,2,4,April,18,Monday,,Male,20,8.0,Agent,Tablet,4506.0,Medium,43,Abandoned,Premium Calculation,0,0,1,0,0,0,0,0,0,1
