claim_sk,claim_id,policy_sk,vehicle_sk,date_sk,date,year,quarter,month,month_name,week,financial_year,policy_type,coverage_type,policy_status,policy_tenure_band,make,model,segment,fuel_type,vehicle_age_band,premium_vehicle,safety_rating,claim_amount,claim_amount_band,claim_flag,claim_approved,claim_severity,fraud_risk,settlement_days,settlement_band,claim_count,paid_claim,high_fraud,high_severity,fast_settlement,delayed_settlement
11,CLM100010,11,11,20260428,2026-04-28,2026,2,4,April,18,2026-2027,Comprehensive,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
12,CLM100011,12,12,20260515,2026-05-15,2026,2,5,May,20,2026-2027,Third Party,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
13,CLM100012,13,13,20251007,2025-10-07,2025,4,10,October,41,2025-2026,Third Party,Gold,Active,6-12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
14,CLM100013,14,14,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,> 12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
15,CLM100014,15,15,20250910,2025-09-10,2025,3,9,September,37,2025-2026,Comprehensive,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
16,CLM100015,16,16,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
17,CLM100016,17,17,20251018,2025-10-18,2025,4,10,October,42,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
18,CLM100017,18,18,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,6-12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
19,CLM100018,19,19,20260208,2026-02-08,2026,1,2,February,6,2025-2026,Comprehensive,Gold,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
20,CLM100019,20,20,20260129,2026-01-29,2026,1,1,January,5,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
21,CLM100020,21,21,20260825,2026-08-25,2026,3,8,August,35,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
22,CLM100021,22,22,20260927,2026-09-27,2026,3,9,September,39,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M2,C1,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
23,CLM100022,23,23,20261014,2026-10-14,2026,4,10,October,42,2026-2027,Third Party,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
24,CLM100023,24,24,20260120,2026-01-20,2026,1,1,January,4,2025-2026,Third Party,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
25,CLM100024,25,25,20261031,2026-10-31,2026,4,10,October,44,2026-2027,Third Party,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
26,CLM100025,26,26,20250912,2025-09-12,2025,3,9,September,37,2025-2026,Comprehensive,Basic,Active,6-12 Months,4,M5,B2,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
27,CLM100026,27,27,20260612,2026-06-12,2026,2,6,June,24,2026-2027,Comprehensive,Silver,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
28,CLM100027,28,28,20260127,2026-01-27,2026,1,1,January,5,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
29,CLM100028,29,29,20250310,2025-03-10,2025,1,3,March,11,2024-2025,Comprehensive,Basic,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
30,CLM100029,30,30,20260630,2026-06-30,2026,2,6,June,27,2026-2027,Comprehensive,Silver,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,65768,High,1.0,True,High,Low,2,Fast,1,True,0,1,1,0
31,CLM100030,31,31,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
32,CLM100031,32,32,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
33,CLM100032,33,33,20260315,2026-03-15,2026,1,3,March,11,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,112950,Very High,1.0,True,High,Low,20,Delayed,1,True,0,1,0,1
34,CLM100033,34,34,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
35,CLM100034,35,35,20260729,2026-07-29,2026,3,7,July,31,2026-2027,Comprehensive,Silver,Expired,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
36,CLM100035,36,36,20260129,2026-01-29,2026,1,1,January,5,2025-2026,Third Party,Silver,Active,< 6 Months,1,M10,Utility,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
37,CLM100036,37,37,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
38,CLM100037,38,38,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Expired,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
39,CLM100038,39,39,20260108,2026-01-08,2026,1,1,January,2,2025-2026,Comprehensive,Silver,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
40,CLM100039,40,40,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,6-12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
41,CLM100040,41,41,20251208,2025-12-08,2025,4,12,December,50,2025-2026,Third Party,Silver,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
42,CLM100041,42,42,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
43,CLM100042,43,43,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
44,CLM100043,44,44,20250831,2025-08-31,2025,3,8,August,35,2025-2026,Third Party,Basic,Active,6-12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
45,CLM100044,45,45,20250918,2025-09-18,2025,3,9,September,38,2025-2026,Comprehensive,Silver,Expired,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
46,CLM100045,46,46,20260210,2026-02-10,2026,1,2,February,7,2025-2026,Comprehensive,Silver,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
47,CLM100046,47,47,20261129,2026-11-29,2026,4,11,November,48,2026-2027,Comprehensive,Gold,Active,> 12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
48,CLM100047,48,48,20261108,2026-11-08,2026,4,11,November,45,2026-2027,Comprehensive,Basic,Active,6-12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
49,CLM100048,49,49,20260211,2026-02-11,2026,1,2,February,7,2025-2026,Third Party,Silver,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
50,CLM100049,50,50,20250315,2025-03-15,2025,1,3,March,11,2024-2025,Comprehensive,Silver,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
51,CLM100050,51,51,20260804,2026-08-04,2026,3,8,August,32,2026-2027,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
52,CLM100051,52,52,20261127,2026-11-27,2026,4,11,November,48,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
53,CLM100052,53,53,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
54,CLM100053,54,54,20260327,2026-03-27,2026,1,3,March,13,2025-2026,Comprehensive,Gold,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
55,CLM100054,55,55,20250914,2025-09-14,2025,3,9,September,37,2025-2026,Third Party,Basic,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
56,CLM100055,56,56,20260427,2026-04-27,2026,2,4,April,18,2026-2027,Third Party,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
57,CLM100056,57,57,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Cancelled,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
58,CLM100057,58,58,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
59,CLM100058,59,59,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
60,CLM100059,60,60,20250523,2025-05-23,2025,2,5,May,21,2025-2026,Third Party,Gold,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
61,CLM100060,61,61,20260202,2026-02-02,2026,1,2,February,6,2025-2026,Comprehensive,Gold,Expired,6-12 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
62,CLM100061,62,62,20251229,2025-12-29,2025,4,12,December,1,2025-2026,Comprehensive,Silver,Expired,> 12 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
63,CLM100062,63,63,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,> 12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
64,CLM100063,64,64,20260807,2026-08-07,2026,3,8,August,32,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
65,CLM100064,65,65,20250919,2025-09-19,2025,3,9,September,38,2025-2026,Comprehensive,Silver,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
66,CLM100065,66,66,20261004,2026-10-04,2026,4,10,October,40,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
67,CLM100066,67,67,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
68,CLM100067,68,68,20260225,2026-02-25,2026,1,2,February,9,2025-2026,Comprehensive,Silver,Active,< 6 Months,4,M5,B2,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
69,CLM100068,69,69,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Expired,< 6 Months,1,M8,B1,CNG,New,False,Poor,14284,Low,1.0,True,Medium,Low,15,Delayed,1,True,0,0,0,1
70,CLM100069,70,70,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,6-12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
71,CLM100070,71,71,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
72,CLM100071,72,72,20250821,2025-08-21,2025,3,8,August,34,2025-2026,Third Party,Silver,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
73,CLM100072,73,73,20251013,2025-10-13,2025,4,10,October,42,2025-2026,Comprehensive,Gold,Active,> 12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
74,CLM100073,74,74,20260817,2026-08-17,2026,3,8,August,34,2026-2027,Comprehensive,Gold,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
75,CLM100074,75,75,20260410,2026-04-10,2026,2,4,April,15,2026-2027,Comprehensive,Silver,Active,< 6 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
76,CLM100075,76,76,20261216,2026-12-16,2026,4,12,December,51,2026-2027,Third Party,Silver,Active,> 12 Months,1,M2,C1,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
77,CLM100076,77,77,20261220,2026-12-20,2026,4,12,December,51,2026-2027,Third Party,Gold,Active,6-12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
78,CLM100077,78,78,20251122,2025-11-22,2025,4,11,November,47,2025-2026,Comprehensive,Gold,Active,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
79,CLM100078,79,79,20251215,2025-12-15,2025,4,12,December,51,2025-2026,Comprehensive,Gold,Expired,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
80,CLM100079,80,80,20260916,2026-09-16,2026,3,9,September,38,2026-2027,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
81,CLM100080,81,81,20250521,2025-05-21,2025,2,5,May,21,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
82,CLM100081,82,82,20260202,2026-02-02,2026,1,2,February,6,2025-2026,Third Party,Basic,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
83,CLM100082,83,83,20260125,2026-01-25,2026,1,1,January,4,2025-2026,Third Party,Silver,Active,> 12 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
84,CLM100083,84,84,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Silver,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
85,CLM100084,85,85,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,< 6 Months,1,M7,B2,Petrol,New,False,Average,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
86,CLM100085,86,86,20251203,2025-12-03,2025,4,12,December,49,2025-2026,Comprehensive,Silver,Active,> 12 Months,2,M3,A,Petrol,New,False,Poor,120921,Very High,1.0,True,High,Low,10,Delayed,1,True,0,1,0,1
87,CLM100086,87,87,20260109,2026-01-09,2026,1,1,January,2,2025-2026,Third Party,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
88,CLM100087,88,88,20250608,2025-06-08,2025,2,6,June,23,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
89,CLM100088,89,89,20250602,2025-06-02,2025,2,6,June,23,2025-2026,Third Party,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
90,CLM100089,90,90,20261005,2026-10-05,2026,4,10,October,41,2026-2027,Comprehensive,Silver,Active,> 12 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
91,CLM100090,91,91,20260727,2026-07-27,2026,3,7,July,31,2026-2027,Comprehensive,Basic,Active,> 12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
92,CLM100091,92,92,20260508,2026-05-08,2026,2,5,May,19,2026-2027,Comprehensive,Silver,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
93,CLM100092,93,93,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Gold,Active,6-12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
94,CLM100093,94,94,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Basic,Active,> 12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
95,CLM100094,95,95,20251027,2025-10-27,2025,4,10,October,44,2025-2026,Comprehensive,Gold,Active,6-12 Months,1,M10,Utility,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
96,CLM100095,96,96,20260109,2026-01-09,2026,1,1,January,2,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
97,CLM100096,97,97,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,6-12 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
98,CLM100097,98,98,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
99,CLM100098,99,99,20261026,2026-10-26,2026,4,10,October,44,2026-2027,Comprehensive,Silver,Active,6-12 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
100,CLM100099,100,100,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Cancelled,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
101,CLM100100,101,101,20260226,2026-02-26,2026,1,2,February,9,2025-2026,Comprehensive,Basic,Active,< 6 Months,1,M10,Utility,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
102,CLM100101,102,102,20260325,2026-03-25,2026,1,3,March,13,2025-2026,Comprehensive,Silver,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
103,CLM100102,103,103,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Silver,Active,> 12 Months,1,M10,Utility,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
104,CLM100103,104,104,20260323,2026-03-23,2026,1,3,March,13,2025-2026,Comprehensive,Silver,Active,< 6 Months,2,M3,A,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
105,CLM100104,105,105,20251101,2025-11-01,2025,4,11,November,44,2025-2026,Third Party,Silver,Active,> 12 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
106,CLM100105,106,106,20250504,2025-05-04,2025,2,5,May,18,2025-2026,Third Party,Silver,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
107,CLM100106,107,107,20260506,2026-05-06,2026,2,5,May,19,2026-2027,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
108,CLM100107,108,108,20251009,2025-10-09,2025,4,10,October,41,2025-2026,Comprehensive,Gold,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
109,CLM100108,109,109,20251212,2025-12-12,2025,4,12,December,50,2025-2026,Comprehensive,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
110,CLM100109,110,110,20250404,2025-04-04,2025,2,4,April,14,2025-2026,Comprehensive,Gold,Expired,6-12 Months,1,M1,A,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
111,CLM100110,111,111,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
112,CLM100111,112,112,20261001,2026-10-01,2026,4,10,October,40,2026-2027,Comprehensive,Silver,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
113,CLM100112,113,113,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
114,CLM100113,114,114,20251121,2025-11-21,2025,4,11,November,47,2025-2026,Comprehensive,Basic,Active,6-12 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
115,CLM100114,115,115,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Third Party,Gold,Active,< 6 Months,1,M6,B2,Petrol,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
116,CLM100115,116,116,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,1,M8,B1,CNG,New,False,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
117,CLM100116,117,117,20260717,2026-07-17,2026,3,7,July,29,2026-2027,Comprehensive,Basic,Expired,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
118,CLM100117,118,118,20261231,2026-12-31,2026,4,12,December,53,2026-2027,Comprehensive,Basic,Active,< 6 Months,3,M4,C2,Diesel,New,True,Good,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
119,CLM100118,119,119,20251027,2025-10-27,2025,4,10,October,44,2025-2026,Comprehensive,Basic,Expired,< 6 Months,5,M9,C1,Diesel,New,True,Poor,0,,0.0,False,Low,Low,0,Fast,1,False,0,0,1,0
