policy_sk,policy_id,customer_sk,policy_tenure,policy_tenure_band,policy_type,policy_status,coverage_type,load_date,source_system
44,ID00105,44,0.543271734064491,6-12 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
45,ID00087,45,0.046563507875534,< 6 Months,Comprehensive,Expired,Silver,2026-08-01 17:22:07.750552,Insurance Claims
46,ID88517,46,1.24537927606878,> 12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
47,ID88529,47,1.12075280898939,> 12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
48,ID88521,48,0.655797733095814,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
49,ID18852,49,0.501741831254825,6-12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
50,ID18212,50,0.666369370967389,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
51,ID18225,51,0.269100823983022,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
52,ID88458,52,0.101821771525035,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
53,ID50559,53,0.788077746180695,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
54,ID50557,54,1.19855900873762,> 12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
55,ID50555,55,0.024560614860251,< 6 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
56,ID18239,56,0.121031069907368,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
57,ID82507,57,0.091569584171607,< 6 Months,Comprehensive,Cancelled,Gold,2026-08-01 17:22:07.750552,Insurance Claims
58,ID82529,58,0.081410792672678,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
59,ID82519,59,0.17692405263118,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
60,ID30142,60,1.2024127095852,> 12 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
61,ID49529,61,0.678613827969553,6-12 Months,Comprehensive,Expired,Gold,2026-08-01 17:22:07.750552,Insurance Claims
62,ID18811,62,1.03277260444206,> 12 Months,Comprehensive,Expired,Silver,2026-08-01 17:22:07.750552,Insurance Claims
63,ID50463,63,1.21171736998478,> 12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
64,ID18784,64,0.362233500550605,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
65,ID50929,65,0.645222436171708,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
66,ID18985,66,0.4016254069548,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
67,ID50873,67,0.493270794478122,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
68,ID50822,68,0.011170156872153,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
69,ID49238,69,0.486928333910047,< 6 Months,Comprehensive,Expired,Gold,2026-08-01 17:22:07.750552,Insurance Claims
70,ID49260,70,0.541125843216539,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
71,ID49251,71,0.067075644664545,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
72,ID50774,72,0.832273938513544,6-12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
73,ID50772,73,1.15446153572976,> 12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
74,ID49269,74,0.002786938225836,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
75,ID18916,75,0.358202105449803,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
76,ID18123,76,1.18395086587118,> 12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
77,ID88435,77,0.58345495440173,6-12 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
78,ID18115,78,0.548995868427689,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
79,ID50627,79,0.246285691799066,< 6 Months,Comprehensive,Expired,Gold,2026-08-01 17:22:07.750552,Insurance Claims
80,ID50585,80,0.034891321976419,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
81,ID51075,81,0.049028016016469,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
82,ID17905,82,0.040312770663975,< 6 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
83,ID49070,83,1.18104887348755,> 12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
84,ID49094,84,0.444718857105923,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
85,ID19050,85,0.261913836761373,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
86,ID51056,86,1.12040073898882,> 12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
87,ID19020,87,0.044673671796534,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
88,ID51044,88,0.08453530891657,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
89,ID82451,89,0.033977494248471,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
90,ID82703,90,1.13604958094296,> 12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
91,ID82472,91,1.12293558102854,> 12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
92,ID50993,92,0.408696379421142,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
93,ID17967,93,0.792200507748446,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
94,ID88383,94,1.20716510654512,> 12 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
95,ID51023,95,0.708665111075232,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
96,ID50940,96,0.10801612883953,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
97,ID19149,97,0.65891949385929,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
98,ID51401,98,0.097976689818416,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
99,ID51423,99,0.880366200969797,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
100,ID51359,100,0.085683332693801,< 6 Months,Comprehensive,Cancelled,Silver,2026-08-01 17:22:07.750552,Insurance Claims
101,ID51308,101,0.093717029997297,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
102,ID88319,102,0.213499816594854,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
103,ID88329,103,1.07000714051013,> 12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
104,ID88750,104,0.25123679073527,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
105,ID51225,105,1.16528537136275,> 12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
106,ID51179,106,0.072926351931013,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
107,ID17872,107,0.334662500117312,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
108,ID17853,108,0.129015602990825,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
109,ID82410,109,0.247393980828494,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
110,ID00170,110,0.859511573066764,6-12 Months,Comprehensive,Expired,Gold,2026-08-01 17:22:07.750552,Insurance Claims
111,ID49055,111,0.796311868262311,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
112,ID17895,112,0.360108871081213,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
113,ID19209,113,0.03543340960556,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
114,ID17700,114,0.540549712268602,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
115,ID17697,115,0.14502350594721,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
116,ID51567,116,0.153610119369548,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
117,ID51555,117,0.03246446967816,< 6 Months,Comprehensive,Expired,Basic,2026-08-01 17:22:07.750552,Insurance Claims
118,ID17723,118,0.073882098543205,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
119,ID48888,119,0.00339980929112,< 6 Months,Comprehensive,Expired,Basic,2026-08-01 17:22:07.750552,Insurance Claims
120,ID94102,120,0.103520071495806,< 6 Months,Comprehensive,Expired,Basic,2026-08-01 17:22:07.750552,Insurance Claims
121,ID51441,121,0.576577286189974,6-12 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
122,ID51464,122,1.08297879235654,> 12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
123,ID48934,123,0.080179627578032,< 6 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
124,ID82386,124,0.088953056022673,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
125,ID30201,125,0.679205348608602,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
126,ID88303,126,0.089731652489031,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
127,ID17745,127,0.340880202541757,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
128,ID88757,128,0.090429194148549,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
129,ID88796,129,0.59448289525158,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
130,ID17597,130,0.991213947977052,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
131,ID48788,131,0.139573252290157,< 6 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
132,ID48817,132,1.24336245694257,> 12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
133,ID48836,133,0.772145933295728,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
134,ID19225,134,0.629695110969083,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
135,ID17609,135,0.226675652083041,< 6 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
136,ID17604,136,0.07823527966505,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
137,ID51681,137,0.691729236864241,6-12 Months,Comprehensive,Expired,Gold,2026-08-01 17:22:07.750552,Insurance Claims
138,ID51677,138,0.503995492942497,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
139,ID30226,139,0.009316602269395,< 6 Months,Comprehensive,Cancelled,Silver,2026-08-01 17:22:07.750552,Insurance Claims
140,ID82380,140,0.636335732830023,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
141,ID51635,141,0.317322577680197,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
142,ID17644,142,0.775823358445638,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
143,ID88258,143,1.04494571554082,> 12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
144,ID17635,144,0.247191382545614,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
145,ID94396,145,1.12185942283232,> 12 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
146,ID19344,146,0.117032903536971,< 6 Months,Third Party,Cancelled,Basic,2026-08-01 17:22:07.750552,Insurance Claims
147,ID19341,147,0.314736668038703,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
148,ID51905,148,1.11448484627568,> 12 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
149,ID51916,149,0.813588030928167,6-12 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
150,ID19307,150,0.963128915846536,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
151,ID51819,151,0.124068342445965,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
152,ID17503,152,0.579848900854913,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
153,ID51806,153,0.648844431956178,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
154,ID51799,154,0.257012529347251,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
155,ID82296,155,0.058176735596298,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
156,ID82344,156,0.011793006423421,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
157,ID00209,157,1.22738835068068,> 12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
158,ID51775,158,0.169218961934907,< 6 Months,Comprehensive,Expired,Basic,2026-08-01 17:22:07.750552,Insurance Claims
159,ID51785,159,0.392247160779299,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
160,ID51726,160,0.931511795040035,6-12 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
161,ID19423,161,0.277259349526516,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
162,ID19418,162,1.22897109296006,> 12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
163,ID52085,163,0.091596257870707,< 6 Months,Comprehensive,Expired,Basic,2026-08-01 17:22:07.750552,Insurance Claims
164,ID94411,164,0.79357559145335,6-12 Months,Third Party,Expired,Silver,2026-08-01 17:22:07.750552,Insurance Claims
165,ID48491,165,0.481964438821683,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
166,ID52052,166,0.188159508327278,< 6 Months,Comprehensive,Expired,Silver,2026-08-01 17:22:07.750552,Insurance Claims
167,ID51992,167,0.052137497239593,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
168,ID17415,168,0.14120197009229,< 6 Months,Comprehensive,Expired,Gold,2026-08-01 17:22:07.750552,Insurance Claims
169,ID52049,169,0.409173609040174,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
170,ID88836,170,0.58273750920832,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
171,ID17432,171,0.192183689596263,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
172,ID30270,172,0.04438341684448,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
173,ID30267,173,0.445266294058438,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
174,ID94082,174,0.132409886706699,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
175,ID48600,175,0.066126443354836,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
176,ID51943,176,0.400280140752538,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
177,ID17266,177,0.680183553059805,6-12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
178,ID19460,178,0.37436032813702,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
179,ID48419,179,0.14903197265975,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
180,ID48414,180,1.13726765150265,> 12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
181,ID52284,181,0.08533187964022,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
182,ID88122,182,0.083570596256519,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
183,ID52204,183,0.216221223030358,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
184,ID48468,184,0.331380728137428,< 6 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
185,ID52196,185,0.087481310361589,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
186,ID52167,186,0.584168296201638,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
187,ID52159,187,0.890683937711717,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
188,ID48504,188,0.676488146360458,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
189,ID88146,189,0.05814752668807,< 6 Months,Comprehensive,Cancelled,Basic,2026-08-01 17:22:07.750552,Insurance Claims
190,ID88140,190,0.092012390464996,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
191,ID88138,191,1.09766960541252,> 12 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
192,ID52126,192,0.588238135578721,6-12 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
193,ID52430,193,1.15292168865559,> 12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
194,ID48352,194,1.14385757495883,> 12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
195,ID52381,195,0.404661026386484,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
196,ID52380,196,0.003152437484395,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
197,ID88111,197,0.175490410056817,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
198,ID17194,198,0.399317325062317,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
199,ID17189,199,0.481577938754963,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
200,ID19524,200,0.317618969550968,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
201,ID19513,201,0.123589841690772,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
202,ID48364,202,1.13438641498489,> 12 Months,Third Party,Expired,Gold,2026-08-01 17:22:07.750552,Insurance Claims
203,ID48394,203,0.092757744297026,< 6 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
204,ID00257,204,0.032256715749499,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
205,ID30335,205,0.717488408033635,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
206,ID52311,206,1.02180543287021,> 12 Months,Comprehensive,Cancelled,Silver,2026-08-01 17:22:07.750552,Insurance Claims
207,ID52329,207,0.002918758585957,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
208,ID19484,208,0.744692135508173,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
209,ID88043,209,0.608454456989278,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
210,ID52597,210,0.750682541913971,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
211,ID17079,211,0.461891212797142,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
212,ID17077,212,0.127601287498076,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
213,ID52583,213,1.07264617555282,> 12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
214,ID48304,214,0.508128773826461,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
215,ID19546,215,0.092722172198379,< 6 Months,Comprehensive,Expired,Basic,2026-08-01 17:22:07.750552,Insurance Claims
216,ID94044,216,0.073791717862208,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
217,ID17120,217,1.24988129083787,> 12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
218,ID94039,218,0.205096655393776,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
219,ID82178,219,0.967444775504188,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
220,ID82176,220,0.088221469386196,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
221,ID82175,221,0.698359057858679,6-12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
222,ID82232,222,1.03913878600598,> 12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
223,ID94449,223,0.669884849857413,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
224,ID52432,224,1.04841781880755,> 12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
225,ID52888,225,0.34472458619797,< 6 Months,Third Party,Expired,Basic,2026-08-01 17:22:07.750552,Insurance Claims
