vehicle_sk,policy_id,vehicle_age,make,model,fuel_type,segment,engine_type,displacement,cylinder,transmission,steering,length,width,height,gross_weight
34,ID00034,0.15,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
35,ID00035,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
36,ID00036,0.39,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
37,ID00037,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
38,ID00038,0.08,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
39,ID00039,0.12,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
40,ID00040,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
41,ID00041,0.08,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
42,ID00042,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
43,ID00043,0.04,4,M5,Diesel,B2,1.5 Turbocharged Revotorq,1497,4,Manual,Electric,3990,1755,1523,1490
44,ID00044,0.07,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
45,ID00045,0.1,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
46,ID00046,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
47,ID00047,0.15,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
48,ID00048,0.03,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
49,ID00049,0.11,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
50,ID00050,0.03,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
51,ID00051,0.0,4,M5,Diesel,B2,1.5 Turbocharged Revotorq,1497,4,Manual,Electric,3990,1755,1523,1490
52,ID00052,0.01,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
53,ID00053,0.17,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
54,ID00054,0.06,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
55,ID00055,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
56,ID00056,0.1,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
57,ID00057,0.12,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
58,ID00058,0.0,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
59,ID00059,0.04,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
60,ID00060,0.04,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
61,ID00061,0.1,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
62,ID00062,0.05,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
63,ID00063,0.12,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
64,ID00064,0.0,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
65,ID00065,0.04,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
66,ID00066,0.08,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
67,ID00067,0.06,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
68,ID00068,0.17,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
69,ID00069,0.04,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
70,ID00070,0.04,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
71,ID00071,0.08,4,M5,Diesel,B2,1.5 Turbocharged Revotorq,1497,4,Manual,Electric,3990,1755,1523,1490
72,ID00072,0.04,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
73,ID00073,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
74,ID00074,0.06,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
75,ID00075,0.06,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
76,ID00076,0.02,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
77,ID00077,0.08,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
78,ID00078,0.13,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
79,ID00079,0.13,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
80,ID00080,0.0,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
81,ID00081,0.06,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
82,ID00082,0.06,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
83,ID00083,0.13,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
84,ID00084,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
85,ID00085,0.06,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
86,ID00086,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
87,ID00087,0.01,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
88,ID00088,0.18,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
89,ID00089,0.1,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
90,ID00090,0.02,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
91,ID00091,0.08,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
92,ID00092,0.08,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
93,ID00093,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
94,ID00094,0.07,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
95,ID00095,0.14,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
96,ID00096,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
97,ID00097,0.03,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
98,ID00098,0.04,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
99,ID00099,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
100,ID00100,0.02,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
101,ID00101,0.14,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
102,ID00102,0.14,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
103,ID00103,0.06,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
104,ID00104,0.14,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
105,ID00105,0.01,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
106,ID00106,0.15,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
107,ID00107,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
108,ID00108,0.04,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
109,ID00109,0.14,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
110,ID00110,0.02,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
111,ID00111,0.08,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
112,ID00112,0.04,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
113,ID00113,0.11,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
114,ID00114,0.05,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
115,ID00115,0.05,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
116,ID00116,0.13,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
117,ID00117,0.16,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
118,ID00118,0.0,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
119,ID00119,0.15,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
120,ID00120,0.12,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
121,ID00121,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
122,ID00122,0.06,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
123,ID00123,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
124,ID00124,0.03,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
125,ID00125,0.2,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
126,ID00126,0.0,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
127,ID00127,0.17,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
128,ID00128,0.09,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
129,ID00129,0.1,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
130,ID00130,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
131,ID00131,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
132,ID00132,0.12,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
133,ID00133,0.09,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
134,ID00134,0.02,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
135,ID00135,0.11,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
136,ID00136,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
137,ID00137,0.13,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
138,ID00138,0.1,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
139,ID00139,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
140,ID00140,0.04,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
141,ID00141,0.03,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
142,ID00142,0.04,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
143,ID00143,0.13,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
144,ID00144,0.04,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
145,ID00145,0.1,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
146,ID00146,0.03,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
147,ID00147,0.13,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
148,ID00148,0.01,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
149,ID00149,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
150,ID00150,0.01,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
151,ID00151,0.1,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
152,ID00152,0.07,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
153,ID00153,0.12,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
154,ID00154,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
155,ID00155,0.04,4,M5,Diesel,B2,1.5 Turbocharged Revotorq,1497,4,Manual,Electric,3990,1755,1523,1490
156,ID00156,0.02,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
157,ID00157,0.0,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
158,ID00158,0.03,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
159,ID00159,0.18,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
160,ID00160,0.11,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
161,ID00161,0.11,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
162,ID00162,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
163,ID00163,0.07,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
164,ID00164,0.06,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
165,ID00165,0.05,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
166,ID00166,0.07,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
167,ID00167,0.05,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
168,ID00168,0.16,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
169,ID00169,0.02,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
170,ID00170,0.03,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
171,ID00171,0.03,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
172,ID00172,0.11,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
173,ID00173,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
174,ID00174,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
175,ID00175,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
176,ID00176,0.01,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
177,ID00177,0.01,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
178,ID00178,0.15,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
179,ID00179,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
180,ID00180,0.14,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
181,ID00181,0.04,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
182,ID00182,0.12,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
183,ID00183,0.06,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
184,ID00184,0.13,4,M5,Diesel,B2,1.5 Turbocharged Revotorq,1497,4,Manual,Electric,3990,1755,1523,1490
185,ID00185,0.05,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
186,ID00186,0.17,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
187,ID00187,0.16,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
188,ID00188,0.13,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
189,ID00189,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
190,ID00190,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
191,ID00191,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
192,ID00192,0.08,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
193,ID00193,0.12,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
194,ID00194,0.05,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
195,ID00195,0.16,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
196,ID00196,0.04,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
197,ID00197,0.03,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
198,ID00198,0.09,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
199,ID00199,0.05,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
200,ID00200,0.18,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
201,ID00201,0.13,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
202,ID00202,0.05,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
203,ID00203,0.17,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
204,ID00204,0.12,4,M11,Petrol,C1,1.5 Turbocharged Revotron,1199,3,Manual,Power,3993,1811,1606,1660
205,ID00205,0.0,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
206,ID00206,0.03,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
207,ID00207,0.03,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
208,ID00208,0.03,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
209,ID00209,0.04,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
210,ID00210,0.0,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
211,ID00211,0.14,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
212,ID00212,0.03,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
213,ID00213,0.2,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
214,ID00214,0.07,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
215,ID00215,0.29,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
216,ID00216,0.01,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
217,ID00217,0.05,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
218,ID00218,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
219,ID00219,0.08,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
220,ID00220,0.01,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
221,ID00221,0.15,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
222,ID00222,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
223,ID00223,0.02,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
224,ID00224,0.06,4,M5,Diesel,B2,1.5 Turbocharged Revotorq,1497,4,Manual,Electric,3990,1755,1523,1490
225,ID00225,0.15,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
226,ID00226,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
227,ID00227,0.07,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
228,ID00228,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
229,ID00229,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
230,ID00230,0.08,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
231,ID00231,0.08,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
232,ID00232,0.01,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
233,ID00233,0.15,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
234,ID00234,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
235,ID00235,0.14,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
236,ID00236,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
237,ID00237,0.01,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
