customer_sk,customer_id,gender,customer_age,age_band,has_driving_license,driving_license_status,previously_insured,insurance_history,customer_segment,region,risk_profile
26,CUST000026,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,39.0,High
27,CUST000027,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,37.0,High
28,CUST000028,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
29,CUST000029,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,3.0,High
30,CUST000030,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,41.0,High
31,CUST000031,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
32,CUST000032,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
33,CUST000033,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,26.0,High
34,CUST000034,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
35,CUST000035,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,47.0,High
36,CUST000036,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,23.0,High
37,CUST000037,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,3.0,High
38,CUST000038,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,13.0,High
39,CUST000039,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,13.0,High
40,CUST000040,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,47.0,High
41,CUST000041,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,35.0,High
42,CUST000042,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,14.0,High
43,CUST000043,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
44,CUST000044,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,37.0,High
45,CUST000045,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,45.0,High
46,CUST000046,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,24.0,High
47,CUST000047,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,50.0,High
48,CUST000048,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
49,CUST000049,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,46.0,High
50,CUST000050,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
51,CUST000051,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,25.0,High
52,CUST000052,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,39.0,High
53,CUST000053,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,47.0,High
54,CUST000054,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,35.0,High
55,CUST000055,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
56,CUST000056,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,30.0,High
57,CUST000057,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
58,CUST000058,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,46.0,High
59,CUST000059,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,34.0,High
60,CUST000060,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
61,CUST000061,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,5.0,High
62,CUST000062,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,28.0,High
63,CUST000063,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
64,CUST000064,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,28.0,High
65,CUST000065,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,12.0,High
66,CUST000066,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
67,CUST000067,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,7.0,High
68,CUST000068,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,28.0,High
69,CUST000069,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,13.0,High
70,CUST000070,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
71,CUST000071,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,29.0,High
72,CUST000072,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,39.0,High
73,CUST000073,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,37.0,High
74,CUST000074,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
75,CUST000075,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,10.0,High
76,CUST000076,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,37.0,High
77,CUST000077,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,35.0,High
78,CUST000078,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,36.0,High
79,CUST000079,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
80,CUST000080,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,2.0,High
81,CUST000081,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
82,CUST000082,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,30.0,High
83,CUST000083,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,2.0,High
84,CUST000084,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,42.0,High
85,CUST000085,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
86,CUST000086,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
87,CUST000087,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
88,CUST000088,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
89,CUST000089,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,41.0,High
90,CUST000090,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,2.0,High
91,CUST000091,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,3.0,High
92,CUST000092,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,46.0,High
93,CUST000093,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,24.0,High
94,CUST000094,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
95,CUST000095,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,13.0,High
96,CUST000096,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,37.0,High
97,CUST000097,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,32.0,High
98,CUST000098,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
99,CUST000099,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,10.0,High
100,CUST000100,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
101,CUST000101,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
102,CUST000102,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,46.0,High
103,CUST000103,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,9.0,High
104,CUST000104,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,30.0,High
105,CUST000105,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,10.0,High
106,CUST000106,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
107,CUST000107,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,38.0,High
108,CUST000108,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
109,CUST000109,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,49.0,High
110,CUST000110,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,36.0,High
111,CUST000111,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
112,CUST000112,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,11.0,High
113,CUST000113,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
114,CUST000114,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,32.0,High
115,CUST000115,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,33.0,High
116,CUST000116,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,10.0,High
117,CUST000117,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
118,CUST000118,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
119,CUST000119,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
120,CUST000120,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
121,CUST000121,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
122,CUST000122,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,40.0,High
123,CUST000123,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
124,CUST000124,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,45.0,High
125,CUST000125,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,50.0,High
126,CUST000126,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,12.0,High
127,CUST000127,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
128,CUST000128,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
129,CUST000129,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
130,CUST000130,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
131,CUST000131,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
132,CUST000132,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,44.0,High
133,CUST000133,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
134,CUST000134,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
135,CUST000135,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
136,CUST000136,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,9.0,High
137,CUST000137,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,14.0,High
138,CUST000138,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,33.0,High
139,CUST000139,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
140,CUST000140,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,13.0,High
141,CUST000141,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,24.0,High
142,CUST000142,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
143,CUST000143,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
144,CUST000144,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,41.0,High
145,CUST000145,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
146,CUST000146,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,45.0,High
147,CUST000147,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
148,CUST000148,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,21.0,High
149,CUST000149,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,20.0,High
150,CUST000150,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,31.0,High
151,CUST000151,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,29.0,High
152,CUST000152,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,9.0,High
153,CUST000153,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
154,CUST000154,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,2.0,High
155,CUST000155,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,17.0,High
156,CUST000156,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,47.0,High
157,CUST000157,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
158,CUST000158,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,14.0,High
159,CUST000159,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,41.0,High
160,CUST000160,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
161,CUST000161,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
162,CUST000162,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
163,CUST000163,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,26.0,High
164,CUST000164,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,6.0,High
165,CUST000165,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,3.0,High
166,CUST000166,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
167,CUST000167,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
168,CUST000168,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,36.0,High
169,CUST000169,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,15.0,High
170,CUST000170,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,43.0,High
171,CUST000171,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,36.0,High
172,CUST000172,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
173,CUST000173,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
174,CUST000174,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,27.0,High
175,CUST000175,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,11.0,High
176,CUST000176,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,27.0,High
177,CUST000177,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,30.0,High
178,CUST000178,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,3.0,High
179,CUST000179,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
180,CUST000180,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
181,CUST000181,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,6.0,High
182,CUST000182,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,44.0,High
183,CUST000183,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
184,CUST000184,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,9.0,High
185,CUST000185,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,22.0,High
186,CUST000186,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,28.0,High
187,CUST000187,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
188,CUST000188,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,9.0,High
189,CUST000189,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,26.0,High
190,CUST000190,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
191,CUST000191,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,27.0,High
192,CUST000192,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,21.0,High
193,CUST000193,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
194,CUST000194,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,42.0,High
195,CUST000195,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,6.0,High
196,CUST000196,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,42.0,High
197,CUST000197,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
198,CUST000198,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,39.0,High
199,CUST000199,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,2.0,High
200,CUST000200,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
201,CUST000201,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,17.0,High
202,CUST000202,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,30.0,High
203,CUST000203,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,15.0,High
204,CUST000204,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,45.0,High
205,CUST000205,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,42.0,High
206,CUST000206,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,25.0,High
207,CUST000207,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,43.0,High
208,CUST000208,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,36.0,High
209,CUST000209,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,2.0,High
210,CUST000210,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
211,CUST000211,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,13.0,High
212,CUST000212,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,26.0,High
213,CUST000213,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,32.0,High
214,CUST000214,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,30.0,High
215,CUST000215,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
216,CUST000216,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
217,CUST000217,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,13.0,High
218,CUST000218,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,24.0,High
219,CUST000219,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,47.0,High
220,CUST000220,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,3.0,High
221,CUST000221,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
222,CUST000222,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
223,CUST000223,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
224,CUST000224,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,22.0,High
225,CUST000225,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,11.0,High
226,CUST000226,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
227,CUST000227,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,31.0,High
228,CUST000228,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,3.0,High
229,CUST000229,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
230,CUST000230,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,12.0,High
231,CUST000231,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
232,CUST000232,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,32.0,High
233,CUST000233,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,12.0,High
234,CUST000234,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,37.0,High
235,CUST000235,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
236,CUST000236,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
237,CUST000237,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,22.0,High
238,CUST000238,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,47.0,High
239,CUST000239,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,37.0,High
240,CUST000240,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,15.0,High
241,CUST000241,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,38.0,High
242,CUST000242,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,35.0,High
243,CUST000243,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,28.0,High
244,CUST000244,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
245,CUST000245,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,37.0,High
246,CUST000246,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,36.0,High
247,CUST000247,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
248,CUST000248,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,5.0,High
249,CUST000249,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
250,CUST000250,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,30.0,High
251,CUST000251,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,47.0,High
252,CUST000252,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,46.0,High
253,CUST000253,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,6.0,High
254,CUST000254,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,39.0,High
255,CUST000255,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,28.0,High
256,CUST000256,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,36.0,High
257,CUST000257,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,29.0,High
258,CUST000258,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,32.0,High
259,CUST000259,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
260,CUST000260,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,6.0,High
261,CUST000261,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,45.0,High
262,CUST000262,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,43.0,High
263,CUST000263,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
264,CUST000264,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,30.0,High
265,CUST000265,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,45.0,High
266,CUST000266,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
267,CUST000267,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,25.0,High
268,CUST000268,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
269,CUST000269,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
270,CUST000270,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,43.0,High
271,CUST000271,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,12.0,High
272,CUST000272,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,30.0,High
273,CUST000273,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,35.0,High
274,CUST000274,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,47.0,High
275,CUST000275,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
276,CUST000276,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,45.0,High
277,CUST000277,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,2.0,High
278,CUST000278,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,35.0,High
279,CUST000279,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,28.0,High
280,CUST000280,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,22.0,High
281,CUST000281,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,41.0,High
282,CUST000282,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,16.0,High
283,CUST000283,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
284,CUST000284,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
285,CUST000285,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,47.0,High
286,CUST000286,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,45.0,High
287,CUST000287,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
288,CUST000288,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,37.0,High
289,CUST000289,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,46.0,High
290,CUST000290,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,15.0,High
291,CUST000291,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,50.0,High
292,CUST000292,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,30.0,High
293,CUST000293,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,17.0,High
294,CUST000294,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
295,CUST000295,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,34.0,High
296,CUST000296,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,8.0,High
297,CUST000297,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,2.0,High
298,CUST000298,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
299,CUST000299,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,13.0,High
300,CUST000300,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
301,CUST000301,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,6.0,High
302,CUST000302,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
303,CUST000303,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,27.0,High
304,CUST000304,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
305,CUST000305,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,37.0,High
