vehicle_sk,policy_id,customer_sk,make,model,segment,fuel_type,vehicle_age,vehicle_age_band,engine_type,displacement,engine_category,cylinder,transmission,transmission_category,steering,length,width,height,gross_weight,weight_class,vehicle_size,airbags,is_esc,is_tpms,is_parking_sensors,is_parking_camera,is_brake_assist,is_power_steering,is_speed_alert,ncap_rating,safety_score,safety_rating,premium_vehicle
44,ID00105,44,1,M7,B2,Petrol,0.01,New,1.2 L K Series Engine,1197,Medium,4,Automatic,Automatic,Electric,3990,1745,1500,1410,Medium,Large,6,1,0,1,1,1,1,1,0,64.3,Average,False
45,ID00087,45,3,M4,C2,Diesel,0.01,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
46,ID88517,46,1,M6,B2,Petrol,0.15,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
47,ID88529,47,1,M1,A,CNG,0.02,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
48,ID88521,48,1,M7,B2,Petrol,0.02,New,1.2 L K Series Engine,1197,Medium,4,Automatic,Automatic,Electric,3990,1745,1500,1410,Medium,Large,6,1,0,1,1,1,1,1,0,64.3,Average,False
49,ID18852,49,3,M4,C2,Diesel,0.04,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
50,ID18212,50,1,M6,B2,Petrol,0.04,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
51,ID18225,51,3,M4,C2,Diesel,0.13,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
52,ID88458,52,1,M1,A,CNG,0.0,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
53,ID50559,53,1,M6,B2,Petrol,0.09,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
54,ID50557,54,3,M4,C2,Diesel,0.06,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
55,ID50555,55,1,M8,B1,CNG,0.04,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
56,ID18239,56,1,M1,A,CNG,0.0,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
57,ID82507,57,1,M6,B2,Petrol,0.13,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
58,ID82529,58,1,M6,B2,Petrol,0.1,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
59,ID82519,59,5,M9,C1,Diesel,0.18,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
60,ID30142,60,3,M4,C2,Diesel,0.19,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
61,ID49529,61,1,M7,B2,Petrol,0.19,New,1.2 L K Series Engine,1197,Medium,4,Automatic,Automatic,Electric,3990,1745,1500,1410,Medium,Large,6,1,0,1,1,1,1,1,0,64.3,Average,False
62,ID18811,62,2,M3,A,Petrol,0.02,New,1.0 SCe,999,Small,3,Automatic,Automatic,Electric,3731,1579,1490,1155,Medium,Mid Size,2,0,0,0,1,0,1,1,2,39.1,Poor,False
63,ID50463,63,3,M4,C2,Diesel,0.14,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
64,ID18784,64,1,M6,B2,Petrol,0.13,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
65,ID50929,65,1,M6,B2,Petrol,0.15,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
66,ID18985,66,1,M7,B2,Petrol,0.09,New,1.2 L K Series Engine,1197,Medium,4,Automatic,Automatic,Electric,3990,1745,1500,1410,Medium,Large,6,1,0,1,1,1,1,1,0,64.3,Average,False
67,ID50873,67,3,M4,C2,Diesel,0.05,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
68,ID50822,68,4,M5,B2,Diesel,0.05,New,1.5 Turbocharged Revotorq,1497,Medium,4,Manual,Manual,Electric,3990,1755,1523,1490,Medium,Large,2,0,0,1,0,0,1,1,5,57.1,Poor,True
69,ID49238,69,1,M8,B1,CNG,0.02,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
70,ID49260,70,1,M8,B1,CNG,0.09,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
71,ID49251,71,1,M7,B2,Petrol,0.18,New,1.2 L K Series Engine,1197,Medium,4,Automatic,Automatic,Electric,3990,1745,1500,1410,Medium,Large,6,1,0,1,1,1,1,1,0,64.3,Average,False
72,ID50774,72,1,M1,A,CNG,0.0,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
73,ID50772,73,1,M8,B1,CNG,0.12,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
74,ID49269,74,5,M9,C1,Diesel,0.03,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
75,ID18916,75,1,M7,B2,Petrol,0.12,New,1.2 L K Series Engine,1197,Medium,4,Automatic,Automatic,Electric,3990,1745,1500,1410,Medium,Large,6,1,0,1,1,1,1,1,0,64.3,Average,False
76,ID18123,76,1,M2,C1,Petrol,0.07,New,1.2 L K12N Dualjet,1197,Medium,4,Automatic,Automatic,Electric,3995,1735,1515,1335,Medium,Large,2,1,0,1,1,1,1,1,2,56.3,Poor,False
77,ID88435,77,1,M8,B1,CNG,0.15,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
78,ID18115,78,1,M1,A,CNG,0.02,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
79,ID50627,79,1,M1,A,CNG,0.07,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
80,ID50585,80,1,M6,B2,Petrol,0.1,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
81,ID51075,81,1,M1,A,CNG,0.0,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
82,ID17905,82,1,M6,B2,Petrol,0.01,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
83,ID49070,83,5,M9,C1,Diesel,0.11,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
84,ID49094,84,1,M1,A,CNG,0.01,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
85,ID19050,85,1,M7,B2,Petrol,0.14,New,1.2 L K Series Engine,1197,Medium,4,Automatic,Automatic,Electric,3990,1745,1500,1410,Medium,Large,6,1,0,1,1,1,1,1,0,64.3,Average,False
86,ID51056,86,2,M3,A,Petrol,0.08,New,1.0 SCe,999,Small,3,Automatic,Automatic,Electric,3731,1579,1490,1155,Medium,Mid Size,2,0,0,0,1,0,1,1,2,39.1,Poor,False
87,ID19020,87,1,M1,A,CNG,0.02,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
88,ID51044,88,1,M6,B2,Petrol,0.15,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
89,ID82451,89,3,M4,C2,Diesel,0.04,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
90,ID82703,90,5,M9,C1,Diesel,0.1,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
91,ID82472,91,1,M1,A,CNG,0.02,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
92,ID50993,92,2,M3,A,Petrol,0.05,New,1.0 SCe,999,Small,3,Automatic,Automatic,Electric,3731,1579,1490,1155,Medium,Mid Size,2,0,0,0,1,0,1,1,2,39.1,Poor,False
93,ID17967,93,1,M6,B2,Petrol,0.02,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
94,ID88383,94,1,M8,B1,CNG,0.07,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
95,ID51023,95,1,M10,Utility,CNG,0.12,New,G12B,1196,Medium,4,Manual,Manual,Manual,3675,1475,1825,1510,Heavy,Mid Size,1,0,0,1,0,0,0,1,0,16.4,Poor,False
96,ID50940,96,1,M1,A,CNG,0.0,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
97,ID19149,97,5,M9,C1,Diesel,0.12,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
98,ID51401,98,3,M4,C2,Diesel,0.11,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
99,ID51423,99,1,M8,B1,CNG,0.03,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
100,ID51359,100,3,M4,C2,Diesel,0.1,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
101,ID51308,101,1,M10,Utility,CNG,0.17,New,G12B,1196,Medium,4,Manual,Manual,Manual,3675,1475,1825,1510,Heavy,Mid Size,1,0,0,1,0,0,0,1,0,16.4,Poor,False
102,ID88319,102,1,M8,B1,CNG,0.03,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
103,ID88329,103,1,M10,Utility,CNG,0.02,New,G12B,1196,Medium,4,Manual,Manual,Manual,3675,1475,1825,1510,Heavy,Mid Size,1,0,0,1,0,0,0,1,0,16.4,Poor,False
104,ID88750,104,2,M3,A,Petrol,0.13,New,1.0 SCe,999,Small,3,Automatic,Automatic,Electric,3731,1579,1490,1155,Medium,Mid Size,2,0,0,0,1,0,1,1,2,39.1,Poor,False
105,ID51225,105,1,M6,B2,Petrol,0.3,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
106,ID51179,106,1,M6,B2,Petrol,0.01,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
107,ID17872,107,3,M4,C2,Diesel,0.11,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
108,ID17853,108,3,M4,C2,Diesel,0.09,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
109,ID82410,109,1,M6,B2,Petrol,0.0,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
110,ID00170,110,1,M1,A,CNG,0.03,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
111,ID49055,111,3,M4,C2,Diesel,0.11,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
112,ID17895,112,5,M9,C1,Diesel,0.12,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
113,ID19209,113,5,M9,C1,Diesel,0.09,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
114,ID17700,114,3,M4,C2,Diesel,0.12,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
115,ID17697,115,1,M6,B2,Petrol,0.17,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
116,ID51567,116,1,M8,B1,CNG,0.05,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
117,ID51555,117,5,M9,C1,Diesel,0.12,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
118,ID17723,118,3,M4,C2,Diesel,0.07,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
119,ID48888,119,5,M9,C1,Diesel,0.03,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
120,ID94102,120,2,M3,A,Petrol,0.0,New,1.0 SCe,999,Small,3,Automatic,Automatic,Electric,3731,1579,1490,1155,Medium,Mid Size,2,0,0,0,1,0,1,1,2,39.1,Poor,False
121,ID51441,121,1,M8,B1,CNG,0.06,New,K10C,998,Small,3,Manual,Manual,Power,3655,1620,1675,1340,Medium,Mid Size,2,0,0,1,0,0,1,1,2,39.1,Poor,False
122,ID51464,122,1,M6,B2,Petrol,0.06,New,K Series Dual jet,1197,Medium,4,Manual,Manual,Electric,3845,1735,1530,1335,Medium,Large,2,0,0,1,0,1,1,1,2,44.9,Poor,False
123,ID48934,123,4,M5,B2,Diesel,0.09,New,1.5 Turbocharged Revotorq,1497,Medium,4,Manual,Manual,Electric,3990,1755,1523,1490,Medium,Large,2,0,0,1,0,0,1,1,5,57.1,Poor,True
124,ID82386,124,3,M4,C2,Diesel,0.0,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
125,ID30201,125,1,M10,Utility,CNG,0.07,New,G12B,1196,Medium,4,Manual,Manual,Manual,3675,1475,1825,1510,Heavy,Mid Size,1,0,0,1,0,0,0,1,0,16.4,Poor,False
126,ID88303,126,5,M9,C1,Diesel,0.1,New,i-DTEC,1498,Medium,4,Manual,Manual,Electric,3995,1695,1501,1051,Medium,Large,2,0,0,1,1,0,1,1,4,56.9,Poor,True
127,ID17745,127,1,M1,A,CNG,0.01,New,F8D Petrol Engine,796,Small,3,Manual,Manual,Power,3445,1515,1475,1185,Medium,Mid Size,2,0,0,1,0,0,1,1,0,27.1,Poor,False
128,ID88757,128,3,M4,C2,Diesel,0.05,New,1.5 L U2 CRDi,1493,Medium,4,Automatic,Automatic,Power,4300,1790,1635,1720,Heavy,Large,6,1,1,1,1,1,1,1,3,88.0,Good,True
