underwriting_sk,policy_sk,customer_sk,vehicle_sk,policy_type,coverage_type,policy_status,make,model,segment,fuel_type,vehicle_age_band,risk_score,risk_band,fraud_probability,underwriting_decision,manual_review_flag,auto_approved_flag,rejected_flag,stp_flag,review_time_minutes,premium_adjustment_pct,rules_triggered,ai_confidence,processing_mode,underwriter,sla_status,sla_breached_flag,high_risk_flag,fraud_flag,recommendation,model_version,underwriting_date_sk
13,13,13,13,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,39,Medium,0.39,Manual Review,1,0,0,0,51,9,5,97.59,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20251028
14,14,14,14,Third Party,Gold,Active,1,M6,B2,Petrol,New,99,Very High,0.99,Rejected,0,0,1,1,19,28,2,77.07,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250128
15,15,15,15,Third Party,Gold,Active,1,M1,A,CNG,New,63,High,0.63,Manual Review,1,0,0,0,41,6,7,86.32,Manual,David,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20240521
16,16,16,16,Third Party,Gold,Expired,3,M4,C2,Diesel,New,92,Very High,0.92,Rejected,0,0,1,1,6,27,5,75.46,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20220511
17,17,17,17,Third Party,Basic,Active,1,M1,A,CNG,New,45,Medium,0.45,Manual Review,1,0,0,0,37,13,5,90.59,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250825
18,18,18,18,Comprehensive,Gold,Active,5,M9,C1,Diesel,New,41,Medium,0.41,Manual Review,1,0,0,0,84,8,4,79.32,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20240209
19,19,19,19,Comprehensive,Basic,Expired,3,M4,C2,Diesel,New,34,Medium,0.34,Approved,0,1,0,1,6,-7,7,76.87,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20221210
20,20,20,20,Third Party,Silver,Active,1,M6,B2,Petrol,New,86,Very High,0.86,Rejected,0,0,1,1,24,18,2,88.52,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20251208
21,21,21,21,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,95,Very High,0.95,Rejected,0,0,1,1,13,17,7,78.36,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20240316
22,22,22,22,Third Party,Gold,Expired,1,M1,A,CNG,New,20,Low,0.2,Approved,0,1,0,1,3,-9,7,98.73,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230121
23,23,23,23,Third Party,Basic,Expired,1,M10,Utility,CNG,New,88,Very High,0.88,Rejected,0,0,1,1,12,15,2,95.85,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250430
24,24,24,24,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,51,Medium,0.51,Manual Review,1,0,0,0,85,14,4,96.75,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20240813
25,25,25,25,Comprehensive,Silver,Active,1,M1,A,CNG,New,32,Medium,0.32,Approved,0,1,0,1,3,-9,2,88.96,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20221004
26,26,26,26,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,25,Low,0.25,Approved,0,1,0,1,6,-4,5,93.99,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250330
27,27,27,27,Third Party,Gold,Expired,1,M1,A,CNG,New,45,Medium,0.45,Manual Review,1,0,0,0,38,6,4,96.66,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20230405
28,28,28,28,Comprehensive,Gold,Active,1,M7,B2,Petrol,New,49,Medium,0.49,Manual Review,1,0,0,0,85,14,4,81.84,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20250830
29,29,29,29,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,77,High,0.77,Rejected,0,0,1,1,19,30,3,75.86,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220122
30,30,30,30,Third Party,Silver,Active,1,M6,B2,Petrol,New,68,High,0.68,Manual Review,1,0,0,0,50,13,7,84.1,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20220910
31,31,31,31,Comprehensive,Gold,Active,1,M8,B1,CNG,New,92,Very High,0.92,Rejected,0,0,1,1,16,26,2,81.5,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240118
32,32,32,32,Third Party,Silver,Active,1,M7,B2,Petrol,New,17,Low,0.17,Approved,0,1,0,1,4,-1,4,96.61,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240506
33,33,33,33,Third Party,Gold,Active,1,M1,A,CNG,New,98,Very High,0.98,Rejected,0,0,1,1,16,20,2,79.6,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20230420
34,34,34,34,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,47,Medium,0.47,Manual Review,1,0,0,0,86,14,3,84.67,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20241218
35,35,35,35,Comprehensive,Gold,Active,1,M1,A,CNG,New,62,High,0.62,Manual Review,1,0,0,0,57,12,7,96.95,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20230526
36,36,36,36,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,92,Very High,0.92,Rejected,0,0,1,1,8,27,2,97.66,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20231201
37,37,37,37,Third Party,Gold,Active,1,M1,A,CNG,New,24,Low,0.24,Approved,0,1,0,1,3,0,5,77.54,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240902
38,38,38,38,Third Party,Gold,Active,1,M8,B1,CNG,New,67,High,0.67,Manual Review,1,0,0,0,85,5,2,96.57,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20220709
39,39,39,39,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,5,Low,0.05,Approved,0,1,0,1,5,1,4,78.62,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240815
40,40,40,40,Comprehensive,Gold,Active,1,M1,A,CNG,New,27,Low,0.27,Approved,0,1,0,1,4,-10,3,89.54,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20231118
41,41,41,41,Third Party,Basic,Active,3,M4,C2,Diesel,New,37,Medium,0.37,Manual Review,1,0,0,0,63,7,5,97.32,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20240815
42,42,42,42,Comprehensive,Basic,Active,1,M1,A,CNG,New,61,High,0.61,Manual Review,1,0,0,0,66,8,7,79.68,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20230717
43,43,43,43,Third Party,Silver,Active,4,M5,B2,Diesel,New,85,Very High,0.85,Rejected,0,0,1,1,20,26,6,90.08,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250621
44,44,44,44,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,58,Medium,0.58,Manual Review,1,0,0,0,38,12,7,95.7,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20240411
45,45,45,45,Third Party,Basic,Active,1,M6,B2,Petrol,New,70,High,0.7,Rejected,0,0,1,1,12,30,3,94.18,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250228
46,46,46,46,Comprehensive,Gold,Active,1,M1,A,CNG,New,99,Very High,0.99,Rejected,0,0,1,1,22,19,4,80.68,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20231009
47,47,47,47,Third Party,Silver,Active,3,M4,C2,Diesel,New,35,Medium,0.35,Manual Review,1,0,0,0,70,0,6,95.4,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20220121
48,48,48,48,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,58,Medium,0.58,Manual Review,1,0,0,0,86,5,1,88.99,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20240420
49,49,49,49,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,20,Low,0.2,Approved,0,1,0,1,3,-6,3,75.4,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20220616
50,50,50,50,Third Party,Gold,Active,1,M6,B2,Petrol,New,41,Medium,0.41,Manual Review,1,0,0,0,21,4,4,85.16,Manual,John,Within SLA,0,0,0,Refer Underwriter,UW_AI_v1.1,20250721
51,51,51,51,Comprehensive,Basic,Active,4,M5,B2,Diesel,New,11,Low,0.11,Approved,0,1,0,1,4,-8,2,77.09,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230123
52,52,52,52,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,5,Low,0.05,Approved,0,1,0,1,5,-9,5,89.29,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20230824
53,53,53,53,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,98,Very High,0.98,Rejected,0,0,1,1,13,25,3,95.26,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20221112
54,54,54,54,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,22,Low,0.22,Approved,0,1,0,1,7,4,7,79.12,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20220114
55,55,55,55,Comprehensive,Silver,Active,1,M1,A,CNG,New,46,Medium,0.46,Manual Review,1,0,0,0,51,6,6,77.07,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20220830
56,56,56,56,Comprehensive,Basic,Active,5,M9,C1,Diesel,New,43,Medium,0.43,Manual Review,1,0,0,0,72,14,5,93.05,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20240216
57,57,57,57,Third Party,Basic,Active,1,M6,B2,Petrol,New,30,Medium,0.3,Approved,0,1,0,1,3,-1,6,87.04,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20251001
58,58,58,58,Third Party,Silver,Active,3,M4,C2,Diesel,New,79,High,0.79,Rejected,0,0,1,1,21,25,6,94.41,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20230719
59,59,59,59,Third Party,Gold,Active,1,M1,A,CNG,New,69,High,0.69,Manual Review,1,0,0,0,27,11,2,83.03,Manual,Rahul,Within SLA,0,1,0,Refer Underwriter,UW_AI_v2.0,20240616
60,60,60,60,Third Party,Basic,Active,1,M6,B2,Petrol,New,61,High,0.61,Manual Review,1,0,0,0,45,13,7,99.35,Manual,Priya,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.1,20250925
61,61,61,61,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,73,High,0.73,Rejected,0,0,1,1,11,17,7,78.96,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20220402
62,62,62,62,Third Party,Silver,Active,3,M4,C2,Diesel,New,90,Very High,0.9,Rejected,0,0,1,1,17,24,4,88.55,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20251022
63,63,63,63,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,81,Very High,0.81,Rejected,0,0,1,1,21,32,4,76.07,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20240813
64,64,64,64,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,21,Low,0.21,Approved,0,1,0,1,6,-9,2,80.92,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20251222
65,65,65,65,Third Party,Silver,Active,1,M1,A,CNG,New,11,Low,0.11,Approved,0,1,0,1,2,1,5,94.02,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20230524
66,66,66,66,Comprehensive,Gold,Active,1,M8,B1,CNG,New,75,High,0.75,Rejected,0,0,1,1,19,34,6,97.52,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20240215
67,67,67,67,Third Party,Basic,Active,3,M4,C2,Diesel,New,16,Low,0.16,Approved,0,1,0,1,5,-4,3,96.83,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220204
68,68,68,68,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,42,Medium,0.42,Manual Review,1,0,0,0,30,4,5,87.72,Manual,Rahul,Within SLA,0,0,0,Refer Underwriter,UW_AI_v2.0,20220725
69,69,69,69,Third Party,Gold,Active,1,M6,B2,Petrol,New,91,Very High,0.91,Rejected,0,0,1,1,12,25,4,85.97,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250109
70,70,70,70,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,52,Medium,0.52,Manual Review,1,0,0,0,29,14,3,80.62,Manual,Alice,Within SLA,0,0,0,Refer Underwriter,UW_AI_v1.1,20251112
71,71,71,71,Comprehensive,Gold,Active,4,M5,B2,Diesel,New,59,Medium,0.59,Manual Review,1,0,0,0,37,8,7,89.43,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20241022
72,72,72,72,Third Party,Basic,Active,1,M6,B2,Petrol,New,58,Medium,0.58,Manual Review,1,0,0,0,78,10,4,93.04,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20241018
73,73,73,73,Third Party,Basic,Active,1,M1,A,CNG,New,76,High,0.76,Rejected,0,0,1,1,15,17,6,99.41,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20251114
74,74,74,74,Comprehensive,Silver,Active,1,M1,A,CNG,New,19,Low,0.19,Approved,0,1,0,1,2,-3,2,95.59,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20230720
75,75,75,75,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,34,Medium,0.34,Approved,0,1,0,1,4,-8,4,97.62,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20250203
76,76,76,76,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,59,Medium,0.59,Manual Review,1,0,0,0,22,5,3,94.99,Manual,Alice,Within SLA,0,0,0,Refer Underwriter,UW_AI_v2.0,20231204
77,77,77,77,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,77,High,0.77,Rejected,0,0,1,1,8,18,6,82.59,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20230206
78,78,78,78,Third Party,Silver,Active,3,M4,C2,Diesel,New,25,Low,0.25,Approved,0,1,0,1,4,1,2,87.26,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20231231
79,79,79,79,Comprehensive,Gold,Active,1,M6,B2,Petrol,New,64,High,0.64,Manual Review,1,0,0,0,70,9,1,81.29,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20220611
80,80,80,80,Third Party,Basic,Active,1,M6,B2,Petrol,New,82,Very High,0.82,Rejected,0,0,1,1,23,32,5,90.22,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220721
81,81,81,81,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,12,Low,0.12,Approved,0,1,0,1,7,-7,7,84.63,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20240922
82,82,82,82,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,51,Medium,0.51,Manual Review,1,0,0,0,78,14,4,81.78,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20220927
83,83,83,83,Third Party,Silver,Active,1,M8,B1,CNG,New,40,Medium,0.4,Manual Review,1,0,0,0,87,8,4,86.53,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20240326
84,84,84,84,Third Party,Basic,Active,1,M1,A,CNG,New,77,High,0.77,Rejected,0,0,1,1,22,25,1,91.63,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250718
85,85,85,85,Third Party,Silver,Active,5,M9,C1,Diesel,New,30,Medium,0.3,Approved,0,1,0,1,3,-7,2,89.43,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20230401
86,86,86,86,Third Party,Gold,Active,1,M1,A,CNG,New,88,Very High,0.88,Rejected,0,0,1,1,21,18,7,85.49,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250629
87,87,87,87,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,74,High,0.74,Rejected,0,0,1,1,12,22,5,89.74,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241013
88,88,88,88,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,38,Medium,0.38,Manual Review,1,0,0,0,61,7,2,77.7,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20221023
89,89,89,89,Comprehensive,Gold,Cancelled,1,M8,B1,CNG,New,64,High,0.64,Manual Review,1,0,0,0,41,9,3,98.27,Manual,John,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20231221
90,90,90,90,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,27,Low,0.27,Approved,0,1,0,1,7,-7,6,80.01,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20221204
91,91,91,91,Third Party,Gold,Active,3,M4,C2,Diesel,New,89,Very High,0.89,Rejected,0,0,1,1,7,33,2,99.23,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20240528
92,92,92,92,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,45,Medium,0.45,Manual Review,1,0,0,0,35,8,6,87.01,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20241212
93,93,93,93,Comprehensive,Basic,Expired,1,M1,A,CNG,New,94,Very High,0.94,Rejected,0,0,1,1,11,31,1,86.87,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20240302
94,94,94,94,Comprehensive,Silver,Active,1,M7,B2,Petrol,New,73,High,0.73,Rejected,0,0,1,1,19,33,4,98.97,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220805
95,95,95,95,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,59,Medium,0.59,Manual Review,1,0,0,0,74,8,3,86.3,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20240203
96,96,96,96,Comprehensive,Basic,Active,1,M1,A,CNG,New,77,High,0.77,Rejected,0,0,1,1,18,15,7,75.97,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20220707
97,97,97,97,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,49,Medium,0.49,Manual Review,1,0,0,0,67,1,7,82.26,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20230115
98,98,98,98,Comprehensive,Gold,Active,3,M4,C2,Diesel,New,65,High,0.65,Manual Review,1,0,0,0,22,6,2,89.31,Manual,David,Within SLA,0,1,0,Refer Underwriter,UW_AI_v1.1,20230508
99,99,99,99,Third Party,Gold,Active,1,M1,A,CNG,New,37,Medium,0.37,Manual Review,1,0,0,0,45,12,3,84.42,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20241130
100,100,100,100,Third Party,Basic,Active,1,M6,B2,Petrol,New,93,Very High,0.93,Rejected,0,0,1,1,12,25,7,82.81,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20250326
101,101,101,101,Third Party,Gold,Active,1,M2,C1,Petrol,New,56,Medium,0.56,Manual Review,1,0,0,0,39,13,5,77.6,Manual,John,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20220115
102,102,102,102,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,85,Very High,0.85,Rejected,0,0,1,1,18,34,7,96.4,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20220306
103,103,103,103,Third Party,Basic,Active,1,M6,B2,Petrol,New,23,Low,0.23,Approved,0,1,0,1,5,1,3,89.35,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20230605
104,104,104,104,Comprehensive,Silver,Active,1,M10,Utility,CNG,New,79,High,0.79,Rejected,0,0,1,1,18,21,6,98.42,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.0,20250929
105,105,105,105,Comprehensive,Gold,Active,1,M7,B2,Petrol,New,12,Low,0.12,Approved,0,1,0,1,6,2,1,89.38,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20250226
106,106,106,106,Third Party,Gold,Expired,3,M4,C2,Diesel,New,74,High,0.74,Rejected,0,0,1,1,9,26,6,89.33,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20231010
107,107,107,107,Comprehensive,Gold,Active,1,M1,A,CNG,New,10,Low,0.1,Approved,0,1,0,1,5,-9,2,82.35,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20241222
108,108,108,108,Comprehensive,Basic,Active,1,M1,A,CNG,New,76,High,0.76,Rejected,0,0,1,1,5,23,1,87.23,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250308
109,109,109,109,Third Party,Basic,Expired,1,M6,B2,Petrol,New,61,High,0.61,Manual Review,1,0,0,0,66,7,7,76.29,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20230816
110,110,110,110,Third Party,Silver,Active,1,M6,B2,Petrol,New,92,Very High,0.92,Rejected,0,0,1,1,24,21,3,83.45,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20230127
111,111,111,111,Third Party,Gold,Active,1,M6,B2,Petrol,New,64,High,0.64,Manual Review,1,0,0,0,55,7,7,81.58,Manual,Alice,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20230223
112,112,112,112,Third Party,Gold,Active,1,M6,B2,Petrol,New,23,Low,0.23,Approved,0,1,0,1,5,-7,2,86.49,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.0,20221016
113,113,113,113,Comprehensive,Silver,Active,3,M4,C2,Diesel,New,56,Medium,0.56,Manual Review,1,0,0,0,36,9,1,83.79,Manual,David,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.1,20230114
114,114,114,114,Comprehensive,Gold,Active,1,M8,B1,CNG,New,45,Medium,0.45,Manual Review,1,0,0,0,61,12,2,97.18,Manual,Rahul,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20220819
115,115,115,115,Comprehensive,Basic,Active,1,M6,B2,Petrol,New,95,Very High,0.95,Rejected,0,0,1,1,5,15,5,75.98,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20241014
116,116,116,116,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,88,Very High,0.88,Rejected,0,0,1,1,18,24,2,80.73,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20220210
117,117,117,117,Comprehensive,Basic,Active,1,M1,A,CNG,New,92,Very High,0.92,Rejected,0,0,1,1,12,27,2,76.86,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20241117
118,118,118,118,Third Party,Silver,Active,1,M8,B1,CNG,New,42,Medium,0.42,Manual Review,1,0,0,0,69,13,4,89.81,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v2.0,20220515
