date_sk,date,year,quarter,month,month_name,financial_year,quote_volume,policies_issued,conversion_rate,premium_collected,claims_paid,claim_amount,claim_ratio,ai_usage,manual_underwriting_pct,customer_satisfaction,average_journey_time
20250127,2025-01-27,2025,1,1,January,2024-2025,293.0,37.0,12.627986348122866,1440995.0,0.0,0.0,0.0,553.0,41.312741312741316,3.4014466546112114,549.5938566552901
20250128,2025-01-28,2025,1,1,January,2024-2025,275.0,17.0,6.181818181818182,1331991.0,0.0,0.0,0.0,535.0,38.68613138686132,3.250467289719626,532.6436363636363
20250129,2025-01-29,2025,1,1,January,2024-2025,292.0,25.0,8.561643835616438,1418859.0,0.0,0.0,0.0,565.0,38.75432525951557,3.231858407079646,517.054794520548
20250130,2025-01-30,2025,1,1,January,2024-2025,256.0,22.0,8.59375,1241812.0,0.0,0.0,0.0,552.0,39.38356164383562,3.364130434782609,546.6953125
20250131,2025-01-31,2025,1,1,January,2024-2025,268.0,27.0,10.074626865671641,1289725.0,0.0,0.0,0.0,516.0,33.07984790874524,3.37015503875969,552.1828358208955
20250201,2025-02-01,2025,1,2,February,2024-2025,269.0,35.0,13.011152416356877,1297729.0,0.0,0.0,0.0,507.0,37.03703703703704,3.31163708086785,550.0297397769517
20250202,2025-02-02,2025,1,2,February,2024-2025,267.0,25.0,9.363295880149813,1279103.0,0.0,0.0,0.0,522.0,35.97122302158273,3.3486590038314175,539.9176029962547
20250203,2025-02-03,2025,1,2,February,2024-2025,267.0,24.0,8.98876404494382,1272472.0,0.0,0.0,0.0,588.0,40.99616858237548,3.2993197278911564,564.4644194756554
20250204,2025-02-04,2025,1,2,February,2024-2025,251.0,29.0,11.553784860557768,1212988.0,0.0,0.0,0.0,510.0,44.230769230769226,3.2333333333333334,542.4860557768924
20250205,2025-02-05,2025,1,2,February,2024-2025,295.0,32.0,10.847457627118644,1432674.0,0.0,0.0,0.0,568.0,41.30434782608695,3.390845070422535,551.4474576271186
20250206,2025-02-06,2025,1,2,February,2024-2025,290.0,32.0,11.03448275862069,1406507.0,0.0,0.0,0.0,537.0,35.11450381679389,3.2104283054003724,549.0620689655173
20250207,2025-02-07,2025,1,2,February,2024-2025,267.0,29.0,10.861423220973784,1292473.0,0.0,0.0,0.0,574.0,38.43283582089552,3.341463414634146,547.0936329588015
20250208,2025-02-08,2025,1,2,February,2024-2025,259.0,27.0,10.424710424710424,1248843.0,0.0,0.0,0.0,498.0,38.54166666666667,3.3112449799196786,552.5984555984556
20250209,2025-02-09,2025,1,2,February,2024-2025,272.0,31.0,11.397058823529411,1347250.0,0.0,0.0,0.0,552.0,41.52823920265781,3.3568840579710146,549.1323529411765
20250210,2025-02-10,2025,1,2,February,2024-2025,269.0,26.0,9.66542750929368,1289730.0,0.0,0.0,0.0,519.0,36.059479553903344,3.279383429672447,559.9219330855019
20250211,2025-02-11,2025,1,2,February,2024-2025,269.0,27.0,10.037174721189592,1321508.0,0.0,0.0,0.0,530.0,31.6,3.292452830188679,540.7657992565056
20250212,2025-02-12,2025,1,2,February,2024-2025,295.0,39.0,13.220338983050848,1435159.0,0.0,0.0,0.0,553.0,37.7431906614786,3.383363471971067,585.0949152542373
20250213,2025-02-13,2025,1,2,February,2024-2025,272.0,24.0,8.823529411764707,1293693.0,0.0,0.0,0.0,571.0,36.55913978494624,3.320490367775832,527.4595588235294
20250214,2025-02-14,2025,1,2,February,2024-2025,262.0,24.0,9.16030534351145,1279343.0,0.0,0.0,0.0,526.0,33.33333333333333,3.296577946768061,537.6297709923664
20250215,2025-02-15,2025,1,2,February,2024-2025,279.0,45.0,16.129032258064516,1347481.0,0.0,0.0,0.0,587.0,42.96577946768061,3.3543441226575808,594.0394265232975
20250216,2025-02-16,2025,1,2,February,2024-2025,258.0,28.0,10.852713178294573,1239246.0,0.0,0.0,0.0,538.0,38.113207547169814,3.3141263940520447,531.1085271317829
20250217,2025-02-17,2025,1,2,February,2024-2025,294.0,28.0,9.523809523809524,1405112.0,0.0,0.0,0.0,543.0,32.69230769230769,3.3314917127071824,549.9387755102041
20250218,2025-02-18,2025,1,2,February,2024-2025,261.0,32.0,12.260536398467432,1245671.0,0.0,0.0,0.0,578.0,31.751824817518248,3.320069204152249,552.9386973180077
20250219,2025-02-19,2025,1,2,February,2024-2025,283.0,23.0,8.12720848056537,1386619.0,0.0,0.0,0.0,542.0,37.5,3.188191881918819,530.3427561837456
20250220,2025-02-20,2025,1,2,February,2024-2025,256.0,24.0,9.375,1247309.0,0.0,0.0,0.0,541.0,33.57664233576642,3.345656192236599,551.79296875
20250221,2025-02-21,2025,1,2,February,2024-2025,272.0,27.0,9.926470588235293,1303538.0,1.0,141721.0,10.872026745672162,550.0,37.82771535580524,3.370909090909091,548.8713235294117
20250222,2025-02-22,2025,1,2,February,2024-2025,263.0,20.0,7.604562737642586,1274449.0,0.0,0.0,0.0,526.0,35.08771929824561,3.2927756653992395,520.5703422053232
20250223,2025-02-23,2025,1,2,February,2024-2025,315.0,27.0,8.571428571428571,1538702.0,0.0,0.0,0.0,547.0,44.765342960288805,3.3583180987202925,542.4857142857143
20250224,2025-02-24,2025,1,2,February,2024-2025,262.0,22.0,8.396946564885496,1278688.0,0.0,0.0,0.0,553.0,37.142857142857146,3.1772151898734178,538.0190839694657
20250225,2025-02-25,2025,1,2,February,2024-2025,273.0,18.0,6.593406593406594,1316046.0,0.0,0.0,0.0,586.0,38.24561403508772,3.378839590443686,552.8388278388278
20250226,2025-02-26,2025,1,2,February,2024-2025,261.0,21.0,8.045977011494253,1249380.0,0.0,0.0,0.0,553.0,36.0,3.3707052441229655,525.5900383141762
20250227,2025-02-27,2025,1,2,February,2024-2025,266.0,35.0,13.157894736842104,1290544.0,0.0,0.0,0.0,548.0,39.73063973063973,3.397810218978102,571.3458646616541
20250228,2025-02-28,2025,1,2,February,2024-2025,245.0,25.0,10.204081632653061,1190529.0,0.0,0.0,0.0,535.0,37.2,3.2803738317757007,537.9224489795919
20250301,2025-03-01,2025,1,3,March,2024-2025,286.0,32.0,11.188811188811188,1402616.0,1.0,56138.0,4.002378412908452,534.0,33.096085409252666,3.3614232209737827,535.8041958041958
20250302,2025-03-02,2025,1,3,March,2024-2025,258.0,32.0,12.4031007751938,1248530.0,0.0,0.0,0.0,490.0,35.984848484848484,3.2857142857142856,572.4341085271318
20250303,2025-03-03,2025,1,3,March,2024-2025,256.0,34.0,13.28125,1247677.0,1.0,20684.0,1.6578008571128584,564.0,43.72623574144487,3.3031914893617023,567.234375
20250304,2025-03-04,2025,1,3,March,2024-2025,259.0,24.0,9.266409266409266,1259364.0,2.0,188278.0,14.950244726703321,533.0,36.75889328063241,3.24577861163227,552.8610038610038
20250305,2025-03-05,2025,1,3,March,2024-2025,286.0,38.0,13.286713286713287,1370740.0,1.0,98347.0,7.174737732903395,543.0,40.92526690391459,3.438305709023941,555.9265734265734
20250306,2025-03-06,2025,1,3,March,2024-2025,246.0,23.0,9.34959349593496,1197753.0,0.0,0.0,0.0,545.0,34.78260869565217,3.365137614678899,568.5040650406504
20250307,2025-03-07,2025,1,3,March,2024-2025,253.0,23.0,9.090909090909092,1223169.0,0.0,0.0,0.0,523.0,41.39344262295082,3.434034416826004,546.9525691699605
20250308,2025-03-08,2025,1,3,March,2024-2025,251.0,21.0,8.366533864541832,1204217.0,0.0,0.0,0.0,511.0,34.645669291338585,3.299412915851272,536.609561752988
20250309,2025-03-09,2025,1,3,March,2024-2025,268.0,27.0,10.074626865671641,1303075.0,0.0,0.0,0.0,506.0,39.91935483870967,3.377470355731225,561.2089552238806
20250310,2025-03-10,2025,1,3,March,2024-2025,240.0,27.0,11.25,1158259.0,0.0,0.0,0.0,501.0,43.93305439330544,3.2934131736526946,560.1708333333333
20250311,2025-03-11,2025,1,3,March,2024-2025,226.0,23.0,10.176991150442479,1074407.0,0.0,0.0,0.0,519.0,36.18677042801556,3.3198458574181116,549.8141592920354
20250312,2025-03-12,2025,1,3,March,2024-2025,256.0,24.0,9.375,1250621.0,1.0,142608.0,11.402975002018998,488.0,41.02564102564102,3.3668032786885247,557.46484375
20250313,2025-03-13,2025,1,3,March,2024-2025,263.0,27.0,10.26615969581749,1262748.0,0.0,0.0,0.0,476.0,32.0,3.319327731092437,522.6692015209126
20250314,2025-03-14,2025,1,3,March,2024-2025,274.0,33.0,12.043795620437956,1310240.0,0.0,0.0,0.0,546.0,33.05084745762712,3.3424908424908426,555.6934306569343
20250315,2025-03-15,2025,1,3,March,2024-2025,277.0,31.0,11.191335740072201,1316479.0,1.0,69380.0,5.27011824723372,574.0,40.54054054054054,3.4146341463414633,539.9602888086642
20250316,2025-03-16,2025,1,3,March,2024-2025,250.0,38.0,15.2,1228257.0,0.0,0.0,0.0,566.0,36.6412213740458,3.34982332155477,567.62
20250317,2025-03-17,2025,1,3,March,2024-2025,239.0,19.0,7.949790794979079,1155610.0,0.0,0.0,0.0,513.0,34.90196078431372,3.3157894736842106,530.2677824267782
20250318,2025-03-18,2025,1,3,March,2024-2025,266.0,15.0,5.639097744360902,1293294.0,0.0,0.0,0.0,505.0,35.842293906810035,3.259405940594059,529.2744360902255
20250319,2025-03-19,2025,1,3,March,2024-2025,257.0,20.0,7.782101167315175,1241868.0,0.0,0.0,0.0,498.0,39.163498098859314,3.246987951807229,536.035019455253
20250320,2025-03-20,2025,1,3,March,2024-2025,265.0,18.0,6.7924528301886795,1291835.0,1.0,66968.0,5.183943769908696,531.0,32.66129032258064,3.3258003766478343,529.8792452830189
20250321,2025-03-21,2025,1,3,March,2024-2025,301.0,33.0,10.96345514950166,1443341.0,2.0,191048.0,13.236511676727813,539.0,34.8936170212766,3.4025974025974026,532.9202657807309
20250322,2025-03-22,2025,1,3,March,2024-2025,272.0,30.0,11.029411764705882,1324305.0,1.0,79522.0,6.004810070187759,562.0,35.83617747440273,3.412811387900356,551.2316176470588
20250323,2025-03-23,2025,1,3,March,2024-2025,243.0,31.0,12.757201646090536,1188764.0,0.0,0.0,0.0,543.0,40.520446096654275,3.2523020257826887,552.1234567901234
20250324,2025-03-24,2025,1,3,March,2024-2025,277.0,31.0,11.191335740072201,1342037.0,0.0,0.0,0.0,548.0,33.687943262411345,3.375912408759124,554.2238267148015
20250325,2025-03-25,2025,1,3,March,2024-2025,240.0,28.0,11.666666666666666,1155555.0,0.0,0.0,0.0,510.0,35.471698113207545,3.215686274509804,582.15
20250326,2025-03-26,2025,1,3,March,2024-2025,267.0,21.0,7.865168539325842,1298265.0,1.0,77077.0,5.936923509453001,515.0,36.84210526315789,3.3398058252427183,552.3183520599251
20250327,2025-03-27,2025,1,3,March,2024-2025,259.0,28.0,10.81081081081081,1265542.0,1.0,115462.0,9.123521779601152,520.0,36.693548387096776,3.419230769230769,546.8146718146718
20250328,2025-03-28,2025,1,3,March,2024-2025,278.0,31.0,11.151079136690647,1350577.0,3.0,216130.0,16.002789918679202,526.0,37.97909407665505,3.5722433460076046,537.0719424460432
20250329,2025-03-29,2025,1,3,March,2024-2025,249.0,27.0,10.843373493975903,1204709.0,0.0,0.0,0.0,525.0,32.72727272727273,3.3676190476190477,539.9799196787149
20250330,2025-03-30,2025,1,3,March,2024-2025,294.0,35.0,11.904761904761903,1418450.0,0.0,0.0,0.0,559.0,37.234042553191486,3.3166368515205726,544.9421768707483
20250331,2025-03-31,2025,1,3,March,2024-2025,259.0,24.0,9.266409266409266,1259517.0,0.0,0.0,0.0,550.0,37.24137931034483,3.2636363636363637,541.0694980694981
20250401,2025-04-01,2025,2,4,April,2025-2026,293.0,29.0,9.897610921501707,1395657.0,1.0,64335.0,4.609656957260989,597.0,40.43321299638989,3.2144053601340032,545.0546075085324
20250402,2025-04-02,2025,2,4,April,2025-2026,265.0,25.0,9.433962264150944,1274062.0,1.0,56736.0,4.4531584805135065,523.0,33.46303501945525,3.3097514340344167,530.6339622641509
20250403,2025-04-03,2025,2,4,April,2025-2026,289.0,20.0,6.920415224913495,1404522.0,0.0,0.0,0.0,545.0,39.55223880597015,3.3688073394495412,537.9204152249135
20250404,2025-04-04,2025,2,4,April,2025-2026,265.0,35.0,13.20754716981132,1294358.0,1.0,65379.0,5.051075513884103,537.0,32.17993079584775,3.3202979515828677,551.4566037735849
20250405,2025-04-05,2025,2,4,April,2025-2026,277.0,15.0,5.415162454873646,1335335.0,0.0,0.0,0.0,531.0,36.271186440677965,3.3201506591337098,513.2454873646209
20250406,2025-04-06,2025,2,4,April,2025-2026,295.0,29.0,9.830508474576272,1423627.0,0.0,0.0,0.0,566.0,34.46969696969697,3.224381625441696,537.335593220339
20250407,2025-04-07,2025,2,4,April,2025-2026,266.0,18.0,6.7669172932330826,1302253.0,2.0,226917.0,17.424955058656035,585.0,38.582677165354326,3.3213675213675216,528.7105263157895
20250408,2025-04-08,2025,2,4,April,2025-2026,266.0,26.0,9.774436090225564,1286885.0,0.0,0.0,0.0,492.0,38.18181818181819,3.2154471544715446,543.1654135338346
20250409,2025-04-09,2025,2,4,April,2025-2026,277.0,31.0,11.191335740072201,1333913.0,0.0,0.0,0.0,559.0,38.74538745387454,3.2772808586762077,533.3249097472924
20250410,2025-04-10,2025,2,4,April,2025-2026,262.0,25.0,9.541984732824428,1266067.0,1.0,130212.0,10.284763760527682,537.0,33.65384615384615,3.357541899441341,522.324427480916
20250411,2025-04-11,2025,2,4,April,2025-2026,261.0,24.0,9.195402298850574,1280137.0,1.0,61047.0,4.768786465823579,515.0,35.199999999999996,3.349514563106796,519.4061302681993
20250412,2025-04-12,2025,2,4,April,2025-2026,294.0,39.0,13.26530612244898,1436737.0,4.0,294749.0,20.515167354916038,550.0,37.45173745173745,3.3163636363636364,544.078231292517
20250413,2025-04-13,2025,2,4,April,2025-2026,281.0,29.0,10.320284697508896,1365759.0,1.0,38384.0,2.8104519172123337,554.0,33.89261744966443,3.283393501805054,544.9857651245552
20250414,2025-04-14,2025,2,4,April,2025-2026,275.0,27.0,9.818181818181818,1336669.0,0.0,0.0,0.0,550.0,37.30769230769231,3.3363636363636364,546.3709090909091
20250415,2025-04-15,2025,2,4,April,2025-2026,276.0,24.0,8.695652173913043,1337105.0,3.0,245316.0,18.34680148529846,549.0,40.61433447098976,3.384335154826958,554.963768115942
20250416,2025-04-16,2025,2,4,April,2025-2026,254.0,26.0,10.236220472440944,1230190.0,0.0,0.0,0.0,528.0,38.94736842105263,3.340909090909091,543.0866141732283
20250417,2025-04-17,2025,2,4,April,2025-2026,269.0,31.0,11.524163568773234,1291885.0,2.0,221306.0,17.130472139548026,537.0,32.945736434108525,3.303538175046555,543.2304832713754
20250418,2025-04-18,2025,2,4,April,2025-2026,261.0,25.0,9.578544061302683,1274862.0,2.0,121767.0,9.551386738329324,546.0,40.316205533596836,3.41025641025641,540.9540229885057
20250419,2025-04-19,2025,2,4,April,2025-2026,267.0,27.0,10.112359550561797,1288241.0,0.0,0.0,0.0,540.0,40.22140221402214,3.35,537.2471910112359
20250420,2025-04-20,2025,2,4,April,2025-2026,253.0,25.0,9.881422924901186,1216275.0,2.0,248149.0,20.402376107377034,524.0,36.04651162790697,3.3244274809160306,535.695652173913
20250421,2025-04-21,2025,2,4,April,2025-2026,262.0,24.0,9.16030534351145,1273344.0,1.0,142800.0,11.21456574185766,522.0,37.755102040816325,3.281609195402299,555.9465648854962
20250422,2025-04-22,2025,2,4,April,2025-2026,287.0,23.0,8.013937282229964,1372986.0,1.0,63023.0,4.590214321194827,523.0,35.63218390804598,3.3346080305927344,544.5400696864111
20250423,2025-04-23,2025,2,4,April,2025-2026,270.0,27.0,10.0,1303511.0,0.0,0.0,0.0,564.0,33.201581027667984,3.425531914893617,527.4814814814815
20250424,2025-04-24,2025,2,4,April,2025-2026,288.0,31.0,10.76388888888889,1404144.0,0.0,0.0,0.0,562.0,32.592592592592595,3.304270462633452,556.3819444444445
20250425,2025-04-25,2025,2,4,April,2025-2026,261.0,22.0,8.42911877394636,1254379.0,2.0,109799.0,8.753255594999597,533.0,34.57627118644068,3.403377110694184,535.9578544061303
20250426,2025-04-26,2025,2,4,April,2025-2026,278.0,37.0,13.309352517985612,1355971.0,0.0,0.0,0.0,568.0,42.857142857142854,3.3204225352112675,549.773381294964
20250427,2025-04-27,2025,2,4,April,2025-2026,260.0,23.0,8.846153846153847,1255915.0,2.0,192016.0,15.288932770131735,516.0,38.18181818181819,3.248062015503876,529.1038461538461
20250428,2025-04-28,2025,2,4,April,2025-2026,265.0,19.0,7.169811320754717,1261983.0,0.0,0.0,0.0,580.0,35.63636363636364,3.303448275862069,567.7094339622641
20250429,2025-04-29,2025,2,4,April,2025-2026,291.0,30.0,10.309278350515463,1409453.0,0.0,0.0,0.0,558.0,35.684647302904565,3.2795698924731185,531.2233676975945
20250430,2025-04-30,2025,2,4,April,2025-2026,255.0,23.0,9.019607843137255,1240719.0,1.0,104380.0,8.412863831375194,523.0,38.079470198675494,3.2772466539196943,543.0470588235294
20250501,2025-05-01,2025,2,5,May,2025-2026,266.0,27.0,10.150375939849624,1299704.0,1.0,130429.0,10.035284957190251,567.0,33.935018050541515,3.2821869488536155,526.1842105263158
20250502,2025-05-02,2025,2,5,May,2025-2026,278.0,23.0,8.273381294964029,1332827.0,3.0,268816.0,20.168859124252435,539.0,40.57971014492754,3.302411873840445,541.5179856115108
20250503,2025-05-03,2025,2,5,May,2025-2026,257.0,28.0,10.894941634241246,1252261.0,2.0,174650.0,13.946773076858578,542.0,40.21739130434783,3.3819188191881917,535.2412451361868
20250504,2025-05-04,2025,2,5,May,2025-2026,270.0,21.0,7.777777777777778,1313301.0,0.0,0.0,0.0,521.0,37.121212121212125,3.4241842610364683,523.8592592592593
20250505,2025-05-05,2025,2,5,May,2025-2026,287.0,26.0,9.059233449477352,1394343.0,2.0,222393.0,15.949662314079106,554.0,36.971830985915496,3.3194945848375452,527.0836236933798
20250506,2025-05-06,2025,2,5,May,2025-2026,266.0,26.0,9.774436090225564,1291166.0,2.0,103339.0,8.00354098543487,539.0,34.59915611814346,3.207792207792208,543.3082706766917
20250507,2025-05-07,2025,2,5,May,2025-2026,257.0,26.0,10.116731517509727,1238127.0,0.0,0.0,0.0,548.0,40.8,3.2572992700729926,559.3190661478599
20250508,2025-05-08,2025,2,5,May,2025-2026,292.0,30.0,10.273972602739725,1414075.0,1.0,5334.0,0.3772077152909145,529.0,34.41558441558442,3.3232514177693764,546.068493150685
20250509,2025-05-09,2025,2,5,May,2025-2026,268.0,28.0,10.44776119402985,1291585.0,1.0,134530.0,10.415884359140126,531.0,37.86764705882353,3.3069679849340865,551.679104477612
20250510,2025-05-10,2025,2,5,May,2025-2026,264.0,29.0,10.984848484848484,1281825.0,1.0,62169.0,4.8500380317125975,516.0,38.49056603773585,3.4050387596899223,539.4090909090909
20250511,2025-05-11,2025,2,5,May,2025-2026,296.0,30.0,10.135135135135135,1436228.0,0.0,0.0,0.0,553.0,39.849624060150376,3.3182640144665463,567.9391891891892
20250512,2025-05-12,2025,2,5,May,2025-2026,250.0,21.0,8.4,1196859.0,0.0,0.0,0.0,544.0,36.029411764705884,3.261029411764706,522.444
20250513,2025-05-13,2025,2,5,May,2025-2026,266.0,20.0,7.518796992481203,1285933.0,0.0,0.0,0.0,548.0,41.04477611940299,3.45985401459854,542.124060150376
20250514,2025-05-14,2025,2,5,May,2025-2026,300.0,31.0,10.333333333333334,1466272.0,1.0,38859.0,2.6501904148752757,564.0,31.186440677966104,3.382978723404255,531.28
20250515,2025-05-15,2025,2,5,May,2025-2026,262.0,29.0,11.068702290076336,1278042.0,0.0,0.0,0.0,536.0,35.587188612099645,3.283582089552239,545.7824427480916
20250516,2025-05-16,2025,2,5,May,2025-2026,264.0,21.0,7.954545454545454,1273136.0,5.0,446431.0,35.06546040642948,579.0,36.15384615384615,3.305699481865285,559.3598484848485
20250517,2025-05-17,2025,2,5,May,2025-2026,247.0,21.0,8.502024291497975,1193981.0,0.0,0.0,0.0,507.0,33.0,3.26232741617357,568.3238866396761
20250518,2025-05-18,2025,2,5,May,2025-2026,256.0,27.0,10.546875,1251069.0,1.0,29578.0,2.364218120663209,551.0,30.735930735930733,3.2558983666061705,538.78515625
20250519,2025-05-19,2025,2,5,May,2025-2026,279.0,33.0,11.827956989247312,1349174.0,3.0,293505.0,21.754421594249518,536.0,38.01652892561984,3.2593283582089554,557.4659498207885
20250520,2025-05-20,2025,2,5,May,2025-2026,251.0,18.0,7.171314741035857,1219711.0,1.0,145115.0,11.8974904711034,492.0,37.54940711462451,3.3272357723577235,531.5577689243028
20250521,2025-05-21,2025,2,5,May,2025-2026,264.0,21.0,7.954545454545454,1268624.0,3.0,268550.0,21.168604724488898,533.0,38.66171003717472,3.324577861163227,555.8181818181819
20250522,2025-05-22,2025,2,5,May,2025-2026,256.0,23.0,8.984375,1241760.0,2.0,166900.0,13.440600438087873,556.0,33.691756272401435,3.327338129496403,515.6171875
20250523,2025-05-23,2025,2,5,May,2025-2026,296.0,26.0,8.783783783783784,1433997.0,1.0,125207.0,8.731329284510359,535.0,40.16393442622951,3.34392523364486,529.7702702702703
20250524,2025-05-24,2025,2,5,May,2025-2026,268.0,28.0,10.44776119402985,1291516.0,3.0,73589.0,5.697877533069664,548.0,37.79264214046823,3.2974452554744524,527.9328358208955
20250525,2025-05-25,2025,2,5,May,2025-2026,274.0,30.0,10.948905109489052,1339154.0,1.0,139103.0,10.387378897423298,556.0,34.23076923076923,3.2949640287769784,566.1678832116788
20250526,2025-05-26,2025,2,5,May,2025-2026,256.0,24.0,9.375,1239066.0,3.0,198739.0,16.03942001475305,539.0,41.7624521072797,3.4230055658627085,542.8359375
20250527,2025-05-27,2025,2,5,May,2025-2026,265.0,25.0,9.433962264150944,1287429.0,0.0,0.0,0.0,505.0,36.90036900369004,3.368316831683168,533.9018867924528
20250528,2025-05-28,2025,2,5,May,2025-2026,260.0,24.0,9.230769230769232,1260048.0,3.0,232195.0,18.427472604218252,496.0,37.83783783783784,3.2983870967741935,538.9615384615385
20250529,2025-05-29,2025,2,5,May,2025-2026,265.0,21.0,7.9245283018867925,1283836.0,1.0,11981.0,0.9332188846550494,535.0,39.7887323943662,3.349532710280374,547.3169811320755
20250530,2025-05-30,2025,2,5,May,2025-2026,282.0,20.0,7.092198581560284,1348779.0,1.0,82409.0,6.109896432254654,528.0,33.97683397683397,3.3390151515151514,534.7021276595744
20250531,2025-05-31,2025,2,5,May,2025-2026,278.0,17.0,6.115107913669065,1333461.0,0.0,0.0,0.0,548.0,32.340425531914896,3.374087591240876,545.6258992805756
20250601,2025-06-01,2025,2,6,June,2025-2026,268.0,28.0,10.44776119402985,1300969.0,1.0,122177.0,9.391230690354652,590.0,38.489208633093526,3.2796610169491527,557.5895522388059
20250602,2025-06-02,2025,2,6,June,2025-2026,252.0,27.0,10.714285714285714,1207347.0,2.0,228773.0,18.948405056706978,519.0,42.1455938697318,3.296724470134875,561.0833333333334
20250603,2025-06-03,2025,2,6,June,2025-2026,231.0,24.0,10.38961038961039,1132202.0,3.0,281924.0,24.900503620378693,479.0,41.75824175824176,3.396659707724426,538.9177489177489
