quote_sk,quote_id,customer_sk,vehicle_sk,quoted_premium,sales_channel,days_since_last_contact,accepted_offer,conversion_flag,quote_status,quote_stage,device_type,quote_source,quote_date,load_date,source_system
26,Q100025,26,26,4063.0,160.0,243,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-03-06,2026-08-01 17:22:07.213201,Vehicle Insurance
27,Q100026,27,27,4455.0,160.0,88,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-02-08,2026-08-01 17:22:07.213201,Vehicle Insurance
28,Q100027,28,28,4035.0,160.0,114,0,0,Abandoned,Document Upload,Mobile,Website,2025-02-18,2026-08-01 17:22:07.213201,Vehicle Insurance
29,Q100028,29,29,3841.0,160.0,80,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-01-18,2026-08-01 17:22:07.213201,Vehicle Insurance
30,Q100029,30,30,4605.0,160.0,232,0,0,Abandoned,Document Upload,Desktop,Website,2025-09-21,2026-08-01 17:22:07.213201,Vehicle Insurance
31,Q100030,31,31,3926.0,160.0,161,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-08-08,2026-08-01 17:22:07.213201,Vehicle Insurance
32,Q100031,32,32,3810.0,160.0,237,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-11-07,2026-08-01 17:22:07.213201,Vehicle Insurance
33,Q100032,33,33,4109.0,160.0,111,0,0,Abandoned,Document Upload,Desktop,Aggregator,2025-12-17,2026-08-01 17:22:07.213201,Vehicle Insurance
34,Q100033,34,34,3963.0,160.0,292,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-12-13,2026-08-01 17:22:07.213201,Vehicle Insurance
35,Q100034,35,35,3671.0,160.0,93,0,0,Abandoned,Premium Calculation,Tablet,Mobile App,2025-03-11,2026-08-01 17:22:07.213201,Vehicle Insurance
36,Q100035,36,36,3902.0,156.0,255,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-06-24,2026-08-01 17:22:07.213201,Vehicle Insurance
37,Q100036,37,37,4397.0,160.0,165,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-06-23,2026-08-01 17:22:07.213201,Vehicle Insurance
38,Q100037,38,38,4506.0,160.0,172,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-09-13,2026-08-01 17:22:07.213201,Vehicle Insurance
39,Q100038,39,39,4210.0,160.0,237,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-04-10,2026-08-01 17:22:07.213201,Vehicle Insurance
40,Q100039,40,40,4124.0,160.0,262,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-11-10,2026-08-01 17:22:07.213201,Vehicle Insurance
41,Q100040,41,41,3708.0,160.0,139,0,0,Abandoned,Document Upload,Desktop,Mobile App,2025-07-01,2026-08-01 17:22:07.213201,Vehicle Insurance
42,Q100041,42,42,4160.0,160.0,204,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-09-20,2026-08-01 17:22:07.213201,Vehicle Insurance
43,Q100042,43,43,4331.0,160.0,162,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-03-09,2026-08-01 17:22:07.213201,Vehicle Insurance
44,Q100043,44,44,4125.0,160.0,247,0,0,Abandoned,Premium Calculation,Desktop,Website,2025-07-12,2026-08-01 17:22:07.213201,Vehicle Insurance
45,Q100044,45,45,4349.0,160.0,102,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-03-06,2026-08-01 17:22:07.213201,Vehicle Insurance
46,Q100045,46,46,4625.0,160.0,115,0,0,Abandoned,Document Upload,Tablet,Website,2025-04-13,2026-08-01 17:22:07.213201,Vehicle Insurance
47,Q100046,47,47,4432.0,160.0,128,0,0,Abandoned,Document Upload,Mobile,Agent,2025-10-08,2026-08-01 17:22:07.213201,Vehicle Insurance
48,Q100047,48,48,3839.0,124.0,60,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-02-16,2026-08-01 17:22:07.213201,Vehicle Insurance
49,Q100048,49,49,5107.0,156.0,168,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-03-03,2026-08-01 17:22:07.213201,Vehicle Insurance
50,Q100049,50,50,4336.0,160.0,205,1,0,Abandoned,Payment,Desktop,Agent,2025-01-31,2026-08-01 17:22:07.213201,Vehicle Insurance
51,Q100050,51,51,4607.0,160.0,206,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-11-06,2026-08-01 17:22:07.213201,Vehicle Insurance
52,Q100051,52,52,4212.0,160.0,56,0,0,Abandoned,Document Upload,Mobile,Website,2025-11-17,2026-08-01 17:22:07.213201,Vehicle Insurance
53,Q100052,53,53,4525.0,160.0,142,0,0,Abandoned,Document Upload,Mobile,Website,2025-12-26,2026-08-01 17:22:07.213201,Vehicle Insurance
54,Q100053,54,54,4216.0,160.0,103,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-03-23,2026-08-01 17:22:07.213201,Vehicle Insurance
55,Q100054,55,55,4393.0,26.0,219,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-05-16,2026-08-01 17:22:07.213201,Vehicle Insurance
56,Q100055,56,56,4481.0,160.0,35,0,0,Abandoned,Document Upload,Desktop,Aggregator,2025-03-27,2026-08-01 17:22:07.213201,Vehicle Insurance
57,Q100056,57,57,4154.0,160.0,161,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-12-04,2026-08-01 17:22:07.213201,Vehicle Insurance
58,Q100057,58,58,3780.0,156.0,41,0,0,Abandoned,Premium Calculation,Desktop,Website,2025-10-26,2026-08-01 17:22:07.213201,Vehicle Insurance
59,Q100058,59,59,4134.0,160.0,100,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-10-29,2026-08-01 17:22:07.213201,Vehicle Insurance
60,Q100059,60,60,4968.0,163.0,113,0,0,Abandoned,Document Upload,Mobile,Agent,2025-03-20,2026-08-01 17:22:07.213201,Vehicle Insurance
61,Q100060,61,61,4296.0,160.0,148,0,0,Abandoned,Document Upload,Tablet,Agent,2025-06-12,2026-08-01 17:22:07.213201,Vehicle Insurance
62,Q100061,62,62,4170.0,156.0,142,0,0,Abandoned,Document Upload,Mobile,Website,2025-09-10,2026-08-01 17:22:07.213201,Vehicle Insurance
63,Q100062,63,63,4490.0,157.0,298,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-10-22,2026-08-01 17:22:07.213201,Vehicle Insurance
64,Q100063,64,64,3816.0,160.0,255,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-06-16,2026-08-01 17:22:07.213201,Vehicle Insurance
65,Q100064,65,65,3923.0,160.0,49,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-08-19,2026-08-01 17:22:07.213201,Vehicle Insurance
66,Q100065,66,66,4037.0,160.0,20,0,0,Abandoned,Document Upload,Tablet,Mobile App,2025-08-11,2026-08-01 17:22:07.213201,Vehicle Insurance
67,Q100066,67,67,4250.0,160.0,28,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-10-01,2026-08-01 17:22:07.213201,Vehicle Insurance
68,Q100067,68,68,3965.0,160.0,121,0,0,Abandoned,Document Upload,Desktop,Website,2025-10-13,2026-08-01 17:22:07.213201,Vehicle Insurance
69,Q100068,69,69,3663.0,160.0,258,0,0,Abandoned,Document Upload,Mobile,Website,2025-11-01,2026-08-01 17:22:07.213201,Vehicle Insurance
70,Q100069,70,70,3891.0,160.0,287,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-12-24,2026-08-01 17:22:07.213201,Vehicle Insurance
71,Q100070,71,71,4426.0,160.0,51,0,0,Abandoned,Document Upload,Mobile,Agent,2025-06-03,2026-08-01 17:22:07.213201,Vehicle Insurance
72,Q100071,72,72,3995.0,160.0,201,0,0,Abandoned,Document Upload,Desktop,Mobile App,2025-02-11,2026-08-01 17:22:07.213201,Vehicle Insurance
73,Q100072,73,73,4714.0,157.0,272,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-02-24,2026-08-01 17:22:07.213201,Vehicle Insurance
74,Q100073,74,74,4547.0,160.0,247,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-10-22,2026-08-01 17:22:07.213201,Vehicle Insurance
75,Q100074,75,75,3989.0,160.0,118,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-06-14,2026-08-01 17:22:07.213201,Vehicle Insurance
76,Q100075,76,76,4241.0,163.0,226,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-08-18,2026-08-01 17:22:07.213201,Vehicle Insurance
77,Q100076,77,77,4016.0,160.0,67,0,0,Abandoned,Document Upload,Desktop,Agent,2025-08-16,2026-08-01 17:22:07.213201,Vehicle Insurance
78,Q100077,78,78,4605.0,160.0,31,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-02-14,2026-08-01 17:22:07.213201,Vehicle Insurance
79,Q100078,79,79,4104.0,160.0,209,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-01-24,2026-08-01 17:22:07.213201,Vehicle Insurance
80,Q100079,80,80,4077.0,160.0,20,0,0,Abandoned,Document Upload,Desktop,Aggregator,2025-09-14,2026-08-01 17:22:07.213201,Vehicle Insurance
81,Q100080,81,81,4158.0,160.0,139,0,0,Abandoned,Document Upload,Mobile,Website,2025-02-28,2026-08-01 17:22:07.213201,Vehicle Insurance
82,Q100081,82,82,4425.0,160.0,108,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-06-01,2026-08-01 17:22:07.213201,Vehicle Insurance
83,Q100082,83,83,4592.0,160.0,223,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-06-22,2026-08-01 17:22:07.213201,Vehicle Insurance
84,Q100083,84,84,3684.0,160.0,98,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-12-31,2026-08-01 17:22:07.213201,Vehicle Insurance
85,Q100084,85,85,3855.0,160.0,60,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-10-02,2026-08-01 17:22:07.213201,Vehicle Insurance
86,Q100085,86,86,4230.0,26.0,105,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-09-24,2026-08-01 17:22:07.213201,Vehicle Insurance
87,Q100086,87,87,4581.0,160.0,197,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-07-07,2026-08-01 17:22:07.213201,Vehicle Insurance
88,Q100087,88,88,4211.0,160.0,111,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-04-25,2026-08-01 17:22:07.213201,Vehicle Insurance
89,Q100088,89,89,4521.0,160.0,134,0,0,Abandoned,Document Upload,Mobile,Website,2025-02-28,2026-08-01 17:22:07.213201,Vehicle Insurance
90,Q100089,90,90,4037.0,160.0,133,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-04-03,2026-08-01 17:22:07.213201,Vehicle Insurance
91,Q100090,91,91,3651.0,160.0,169,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-07-19,2026-08-01 17:22:07.213201,Vehicle Insurance
92,Q100091,92,92,4039.0,160.0,215,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-12-01,2026-08-01 17:22:07.213201,Vehicle Insurance
93,Q100092,93,93,4215.0,160.0,251,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-08-18,2026-08-01 17:22:07.213201,Vehicle Insurance
94,Q100093,94,94,3755.0,160.0,292,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-12-30,2026-08-01 17:22:07.213201,Vehicle Insurance
95,Q100094,95,95,4421.0,160.0,265,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-07-27,2026-08-01 17:22:07.213201,Vehicle Insurance
96,Q100095,96,96,4471.0,160.0,252,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-07-25,2026-08-01 17:22:07.213201,Vehicle Insurance
97,Q100096,97,97,4126.0,160.0,79,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-09-25,2026-08-01 17:22:07.213201,Vehicle Insurance
98,Q100097,98,98,4352.0,160.0,257,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-10-17,2026-08-01 17:22:07.213201,Vehicle Insurance
99,Q100098,99,99,4051.0,160.0,88,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-08-31,2026-08-01 17:22:07.213201,Vehicle Insurance
100,Q100099,100,100,4379.0,160.0,130,0,0,Abandoned,Document Upload,Desktop,Agent,2025-10-29,2026-08-01 17:22:07.213201,Vehicle Insurance
101,Q100100,101,101,4205.0,160.0,88,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-04-14,2026-08-01 17:22:07.213201,Vehicle Insurance
102,Q100101,102,102,4311.0,156.0,188,0,0,Abandoned,Premium Calculation,Desktop,Website,2025-02-10,2026-08-01 17:22:07.213201,Vehicle Insurance
103,Q100102,103,103,3851.0,156.0,272,0,0,Abandoned,Document Upload,Tablet,Mobile App,2025-12-14,2026-08-01 17:22:07.213201,Vehicle Insurance
104,Q100103,104,104,4607.0,160.0,145,1,1,Converted,Policy Issued,Desktop,Agent,2025-07-06,2026-08-01 17:22:07.213201,Vehicle Insurance
105,Q100104,105,105,4645.0,160.0,99,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-08-23,2026-08-01 17:22:07.213201,Vehicle Insurance
106,Q100105,106,106,3919.0,160.0,292,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-03-08,2026-08-01 17:22:07.213201,Vehicle Insurance
107,Q100106,107,107,4512.0,160.0,94,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-11-23,2026-08-01 17:22:07.213201,Vehicle Insurance
108,Q100107,108,108,4465.0,160.0,35,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-02-21,2026-08-01 17:22:07.213201,Vehicle Insurance
109,Q100108,109,109,3920.0,160.0,57,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-10-11,2026-08-01 17:22:07.213201,Vehicle Insurance
110,Q100109,110,110,4105.0,152.0,13,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-01-17,2026-08-01 17:22:07.213201,Vehicle Insurance
111,Q100110,111,111,4111.0,160.0,137,0,0,Abandoned,Premium Calculation,Desktop,Agent,2025-11-30,2026-08-01 17:22:07.213201,Vehicle Insurance
112,Q100111,112,112,4876.0,124.0,127,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-07-22,2026-08-01 17:22:07.213201,Vehicle Insurance
113,Q100112,113,113,3901.0,160.0,39,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-09-28,2026-08-01 17:22:07.213201,Vehicle Insurance
114,Q100113,114,114,4351.0,160.0,153,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-07-16,2026-08-01 17:22:07.213201,Vehicle Insurance
115,Q100114,115,115,4445.0,156.0,77,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-07-21,2026-08-01 17:22:07.213201,Vehicle Insurance
116,Q100115,116,116,4374.0,160.0,241,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-11-22,2026-08-01 17:22:07.213201,Vehicle Insurance
117,Q100116,117,117,4369.0,160.0,103,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-03-13,2026-08-01 17:22:07.213201,Vehicle Insurance
118,Q100117,118,118,4398.0,160.0,193,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-09-04,2026-08-01 17:22:07.213201,Vehicle Insurance
119,Q100118,119,119,3987.0,160.0,68,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-09-23,2026-08-01 17:22:07.213201,Vehicle Insurance
120,Q100119,120,120,4528.0,160.0,47,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-12-05,2026-08-01 17:22:07.213201,Vehicle Insurance
121,Q100120,121,121,3702.0,160.0,71,0,0,Abandoned,Document Upload,Desktop,Agent,2025-03-25,2026-08-01 17:22:07.213201,Vehicle Insurance
122,Q100121,122,122,4441.0,160.0,122,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-02-09,2026-08-01 17:22:07.213201,Vehicle Insurance
123,Q100122,123,123,4571.0,160.0,285,0,0,Abandoned,Document Upload,Desktop,Website,2025-03-15,2026-08-01 17:22:07.213201,Vehicle Insurance
124,Q100123,124,124,3866.0,160.0,134,0,0,Abandoned,Document Upload,Desktop,Website,2025-04-22,2026-08-01 17:22:07.213201,Vehicle Insurance
125,Q100124,125,125,4413.0,160.0,46,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-01-17,2026-08-01 17:22:07.213201,Vehicle Insurance
126,Q100125,126,126,3837.0,160.0,265,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-01-13,2026-08-01 17:22:07.213201,Vehicle Insurance
127,Q100126,127,127,4029.0,160.0,184,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-06-06,2026-08-01 17:22:07.213201,Vehicle Insurance
128,Q100127,128,128,4142.0,160.0,107,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-05-29,2026-08-01 17:22:07.213201,Vehicle Insurance
129,Q100128,129,129,3690.0,160.0,104,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-10-03,2026-08-01 17:22:07.213201,Vehicle Insurance
130,Q100129,130,130,3806.0,160.0,92,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-11-15,2026-08-01 17:22:07.213201,Vehicle Insurance
131,Q100130,131,131,3664.0,160.0,277,0,0,Abandoned,Document Upload,Desktop,Mobile App,2025-10-21,2026-08-01 17:22:07.213201,Vehicle Insurance
132,Q100131,132,132,4462.0,160.0,292,0,0,Abandoned,Document Upload,Mobile,Website,2025-05-08,2026-08-01 17:22:07.213201,Vehicle Insurance
133,Q100132,133,133,3714.0,160.0,259,0,0,Abandoned,Document Upload,Desktop,Aggregator,2025-03-03,2026-08-01 17:22:07.213201,Vehicle Insurance
134,Q100133,134,134,4506.0,160.0,43,0,0,Abandoned,Premium Calculation,Tablet,Agent,2025-04-28,2026-08-01 17:22:07.213201,Vehicle Insurance
135,Q100134,135,135,4488.0,160.0,247,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-02-26,2026-08-01 17:22:07.213201,Vehicle Insurance
136,Q100135,136,136,4170.0,160.0,291,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-06-25,2026-08-01 17:22:07.213201,Vehicle Insurance
137,Q100136,137,137,3993.0,163.0,32,0,0,Abandoned,Premium Calculation,Tablet,Agent,2025-03-27,2026-08-01 17:22:07.213201,Vehicle Insurance
138,Q100137,138,138,4278.0,156.0,143,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-05-15,2026-08-01 17:22:07.213201,Vehicle Insurance
139,Q100138,139,139,4297.0,160.0,100,0,0,Abandoned,Document Upload,Mobile,Website,2025-08-10,2026-08-01 17:22:07.213201,Vehicle Insurance
140,Q100139,140,140,4121.0,160.0,206,0,0,Abandoned,Document Upload,Mobile,Website,2025-03-27,2026-08-01 17:22:07.213201,Vehicle Insurance
141,Q100140,141,141,3712.0,160.0,53,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-12-21,2026-08-01 17:22:07.213201,Vehicle Insurance
142,Q100141,142,142,3788.0,160.0,290,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-09-23,2026-08-01 17:22:07.213201,Vehicle Insurance
143,Q100142,143,143,4148.0,160.0,215,0,0,Abandoned,Document Upload,Mobile,Agent,2025-09-06,2026-08-01 17:22:07.213201,Vehicle Insurance
144,Q100143,144,144,4242.0,156.0,19,0,0,Abandoned,Premium Calculation,Tablet,Mobile App,2025-08-02,2026-08-01 17:22:07.213201,Vehicle Insurance
145,Q100144,145,145,4041.0,160.0,208,0,0,Abandoned,Document Upload,Desktop,Website,2025-07-22,2026-08-01 17:22:07.213201,Vehicle Insurance
146,Q100145,146,146,4324.0,160.0,44,0,0,Abandoned,Premium Calculation,Desktop,Website,2025-03-08,2026-08-01 17:22:07.213201,Vehicle Insurance
147,Q100146,147,147,4068.0,160.0,137,0,0,Abandoned,Document Upload,Desktop,Agent,2025-07-05,2026-08-01 17:22:07.213201,Vehicle Insurance
148,Q100147,148,148,3938.0,160.0,205,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-04-08,2026-08-01 17:22:07.213201,Vehicle Insurance
149,Q100148,149,149,4028.0,160.0,145,0,0,Abandoned,Document Upload,Desktop,Agent,2025-12-17,2026-08-01 17:22:07.213201,Vehicle Insurance
150,Q100149,150,150,4422.0,160.0,17,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-09-17,2026-08-01 17:22:07.213201,Vehicle Insurance
151,Q100150,151,151,4139.0,160.0,262,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-06-10,2026-08-01 17:22:07.213201,Vehicle Insurance
152,Q100151,152,152,3880.0,160.0,74,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-08-14,2026-08-01 17:22:07.213201,Vehicle Insurance
153,Q100152,153,153,4190.0,124.0,149,0,0,Abandoned,Document Upload,Desktop,Agent,2025-09-18,2026-08-01 17:22:07.213201,Vehicle Insurance
154,Q100153,154,154,3677.0,160.0,43,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-04-20,2026-08-01 17:22:07.213201,Vehicle Insurance
155,Q100154,155,155,3784.0,160.0,156,0,0,Abandoned,Document Upload,Desktop,Aggregator,2025-07-01,2026-08-01 17:22:07.213201,Vehicle Insurance
156,Q100155,156,156,3850.0,160.0,159,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-08-16,2026-08-01 17:22:07.213201,Vehicle Insurance
157,Q100156,157,157,4989.0,160.0,167,0,0,Abandoned,Premium Calculation,Desktop,Agent,2025-06-01,2026-08-01 17:22:07.213201,Vehicle Insurance
158,Q100157,158,158,4429.0,160.0,207,0,0,Abandoned,Document Upload,Mobile,Agent,2025-04-11,2026-08-01 17:22:07.213201,Vehicle Insurance
159,Q100158,159,159,4579.0,160.0,115,0,0,Abandoned,Premium Calculation,Tablet,Mobile App,2025-03-21,2026-08-01 17:22:07.213201,Vehicle Insurance
160,Q100159,160,160,3682.0,160.0,281,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-08-08,2026-08-01 17:22:07.213201,Vehicle Insurance
161,Q100160,161,161,3697.0,160.0,262,0,0,Abandoned,Premium Calculation,Tablet,Website,2025-05-03,2026-08-01 17:22:07.213201,Vehicle Insurance
162,Q100161,162,162,4152.0,160.0,55,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-02-23,2026-08-01 17:22:07.213201,Vehicle Insurance
163,Q100162,163,163,4056.0,160.0,234,0,0,Abandoned,Document Upload,Desktop,Aggregator,2025-06-05,2026-08-01 17:22:07.213201,Vehicle Insurance
164,Q100163,164,164,4223.0,160.0,239,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-04-06,2026-08-01 17:22:07.213201,Vehicle Insurance
165,Q100164,165,165,4377.0,160.0,256,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-07-01,2026-08-01 17:22:07.213201,Vehicle Insurance
166,Q100165,166,166,4454.0,124.0,103,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-07-05,2026-08-01 17:22:07.213201,Vehicle Insurance
167,Q100166,167,167,3748.0,160.0,158,0,0,Abandoned,Document Upload,Mobile,Website,2025-11-03,2026-08-01 17:22:07.213201,Vehicle Insurance
168,Q100167,168,168,4333.0,160.0,125,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-07-04,2026-08-01 17:22:07.213201,Vehicle Insurance
