vehicle_sk,policy_id,vehicle_age,make,model,fuel_type,segment,engine_type,displacement,cylinder,transmission,steering,length,width,height,gross_weight
39,ID50350,0.15,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
40,ID49615,0.04,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
41,ID49631,0.1,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
42,ID18366,0.07,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
43,ID82561,0.17,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
44,ID00105,0.01,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
45,ID00087,0.01,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
46,ID88517,0.15,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
47,ID88529,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
48,ID88521,0.02,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
49,ID18852,0.04,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
50,ID18212,0.04,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
51,ID18225,0.13,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
52,ID88458,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
53,ID50559,0.09,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
54,ID50557,0.06,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
55,ID50555,0.04,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
56,ID18239,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
57,ID82507,0.13,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
58,ID82529,0.1,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
59,ID82519,0.18,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
60,ID30142,0.19,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
61,ID49529,0.19,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
62,ID18811,0.02,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
63,ID50463,0.14,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
64,ID18784,0.13,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
65,ID50929,0.15,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
66,ID18985,0.09,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
67,ID50873,0.05,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
68,ID50822,0.05,4,M5,Diesel,B2,1.5 Turbocharged Revotorq,1497,4,Manual,Electric,3990,1755,1523,1490
69,ID49238,0.02,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
70,ID49260,0.09,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
71,ID49251,0.18,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
72,ID50774,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
73,ID50772,0.12,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
74,ID49269,0.03,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
75,ID18916,0.12,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
76,ID18123,0.07,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
77,ID88435,0.15,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
78,ID18115,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
79,ID50627,0.07,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
80,ID50585,0.1,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
81,ID51075,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
82,ID17905,0.01,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
83,ID49070,0.11,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
84,ID49094,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
85,ID19050,0.14,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
86,ID51056,0.08,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
87,ID19020,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
88,ID51044,0.15,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
89,ID82451,0.04,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
90,ID82703,0.1,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
91,ID82472,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
92,ID50993,0.05,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
93,ID17967,0.02,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
94,ID88383,0.07,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
95,ID51023,0.12,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
96,ID50940,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
97,ID19149,0.12,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
98,ID51401,0.11,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
99,ID51423,0.03,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
100,ID51359,0.1,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
101,ID51308,0.17,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
102,ID88319,0.03,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
103,ID88329,0.02,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
104,ID88750,0.13,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
105,ID51225,0.3,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
106,ID51179,0.01,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
107,ID17872,0.11,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
108,ID17853,0.09,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
109,ID82410,0.0,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
110,ID00170,0.03,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
111,ID49055,0.11,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
112,ID17895,0.12,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
113,ID19209,0.09,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
114,ID17700,0.12,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
115,ID17697,0.17,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
116,ID51567,0.05,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
117,ID51555,0.12,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
118,ID17723,0.07,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
119,ID48888,0.03,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
120,ID94102,0.0,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
121,ID51441,0.06,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
122,ID51464,0.06,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
123,ID48934,0.09,4,M5,Diesel,B2,1.5 Turbocharged Revotorq,1497,4,Manual,Electric,3990,1755,1523,1490
124,ID82386,0.0,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
125,ID30201,0.07,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
126,ID88303,0.1,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
127,ID17745,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
128,ID88757,0.05,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
129,ID88796,0.06,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
130,ID17597,0.2,4,M5,Diesel,B2,1.5 Turbocharged Revotorq,1497,4,Manual,Electric,3990,1755,1523,1490
131,ID48788,0.02,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
132,ID48817,0.06,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
133,ID48836,0.04,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
134,ID19225,0.03,4,M11,Petrol,C1,1.5 Turbocharged Revotron,1199,3,Manual,Power,3993,1811,1606,1660
135,ID17609,0.15,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
136,ID17604,0.14,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
137,ID51681,0.03,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
138,ID51677,0.08,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
139,ID30226,0.04,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
140,ID82380,0.12,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
141,ID51635,0.09,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
142,ID17644,0.1,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
143,ID88258,0.04,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
144,ID17635,0.04,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
145,ID94396,0.07,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
146,ID19344,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
147,ID19341,0.01,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
148,ID51905,0.09,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
149,ID51916,0.11,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
150,ID19307,0.07,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
151,ID51819,0.08,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
152,ID17503,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
153,ID51806,0.07,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
154,ID51799,0.14,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
155,ID82296,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
156,ID82344,0.0,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
157,ID00209,0.04,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
158,ID51775,0.05,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
159,ID51785,0.13,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
160,ID51726,0.1,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
161,ID19423,0.1,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
162,ID19418,0.14,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
163,ID52085,0.05,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
164,ID94411,0.13,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
165,ID48491,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
166,ID52052,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
167,ID51992,0.03,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
168,ID17415,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
169,ID52049,0.05,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
170,ID88836,0.11,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
171,ID17432,0.02,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
172,ID30270,0.05,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
173,ID30267,0.05,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
174,ID94082,0.1,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
175,ID48600,0.1,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
176,ID51943,0.13,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
177,ID17266,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
178,ID19460,0.14,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
179,ID48419,0.03,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
180,ID48414,0.14,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
181,ID52284,0.0,1,M10,CNG,Utility,G12B,1196,4,Manual,Manual,3675,1475,1825,1510
182,ID88122,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
183,ID52204,0.07,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
184,ID48468,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
185,ID52196,0.06,5,M9,Diesel,C1,i-DTEC,1498,4,Manual,Electric,3995,1695,1501,1051
186,ID52167,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
187,ID52159,0.04,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
188,ID48504,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
189,ID88146,0.0,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
190,ID88140,0.08,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
191,ID88138,0.12,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
192,ID52126,0.16,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
193,ID52430,0.06,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
194,ID48352,0.06,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
195,ID52381,0.18,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
196,ID52380,0.01,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
197,ID88111,0.01,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
198,ID17194,0.1,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
199,ID17189,0.09,2,M3,Petrol,A,1.0 SCe,999,3,Automatic,Electric,3731,1579,1490,1155
200,ID19524,0.02,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
201,ID19513,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
202,ID48364,0.03,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
203,ID48394,0.08,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
204,ID00257,0.03,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
205,ID30335,0.07,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
206,ID52311,0.01,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
207,ID52329,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
208,ID19484,0.19,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
209,ID88043,0.1,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
210,ID52597,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
211,ID17079,0.07,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
212,ID17077,0.02,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
213,ID52583,0.06,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
214,ID48304,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
215,ID19546,0.18,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
216,ID94044,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
217,ID17120,0.09,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
218,ID94039,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
219,ID82178,0.13,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
220,ID82176,0.02,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
221,ID82175,0.1,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
222,ID82232,0.04,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
223,ID94449,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
224,ID52432,0.12,1,M8,CNG,B1,K10C,998,3,Manual,Power,3655,1620,1675,1340
225,ID52888,0.02,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
226,ID48068,0.0,1,M2,Petrol,C1,1.2 L K12N Dualjet,1197,4,Automatic,Electric,3995,1735,1515,1335
227,ID16930,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
228,ID16928,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
229,ID52855,0.09,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
230,ID52779,0.15,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
231,ID16958,0.06,1,M7,Petrol,B2,1.2 L K Series Engine,1197,4,Automatic,Electric,3990,1745,1500,1410
232,ID48101,0.11,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
233,ID88030,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
234,ID82162,0.01,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
235,ID29859,0.13,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
236,ID92104,0.04,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
237,ID94027,0.11,3,M4,Diesel,C2,1.5 L U2 CRDi,1493,4,Automatic,Power,4300,1790,1635,1720
238,ID52712,0.0,1,M1,CNG,A,F8D Petrol Engine,796,3,Manual,Power,3445,1515,1475,1185
239,ID19627,0.05,1,M6,Petrol,B2,K Series Dual jet,1197,4,Manual,Electric,3845,1735,1530,1335
