policy_id,airbags,is_esc,is_tpms,is_parking_sensors,is_parking_camera,is_brake_assist,is_power_steering,is_speed_alert,ncap_rating,safety_score
ID17609,2,0,0,1,1,0,1,1,4,56.9
ID17604,6,1,1,1,1,1,1,1,3,88.0
ID51681,6,1,1,1,1,1,1,1,3,88.0
ID51677,6,1,1,1,1,1,1,1,3,88.0
ID30226,2,0,0,1,0,0,1,1,2,39.1
ID82380,2,0,0,1,0,0,1,1,2,39.1
ID51635,2,0,0,1,0,0,1,1,2,39.1
ID17644,6,1,0,1,1,1,1,1,0,64.3
ID88258,6,1,1,1,1,1,1,1,3,88.0
ID17635,2,0,0,1,0,0,1,1,0,27.1
ID94396,6,1,0,1,1,1,1,1,0,64.3
ID19344,2,0,0,1,0,0,1,1,0,27.1
ID19341,2,0,0,0,1,0,1,1,2,39.1
ID51905,6,1,0,1,1,1,1,1,0,64.3
ID51916,2,0,0,1,0,1,1,1,2,44.9
ID19307,2,0,0,0,1,0,1,1,2,39.1
ID51819,6,1,1,1,1,1,1,1,3,88.0
ID17503,2,0,0,1,0,0,1,1,0,27.1
ID51806,6,1,1,1,1,1,1,1,3,88.0
ID51799,1,0,0,1,0,0,0,1,0,16.4
ID82296,2,0,0,1,0,0,1,1,0,27.1
ID82344,2,0,0,1,0,1,1,1,2,44.9
ID00209,2,1,0,1,1,1,1,1,2,56.3
ID51775,1,0,0,1,0,0,0,1,0,16.4
ID51785,6,1,1,1,1,1,1,1,3,88.0
ID51726,2,0,0,1,0,1,1,1,2,44.9
ID19423,6,1,0,1,1,1,1,1,0,64.3
ID19418,6,1,1,1,1,1,1,1,3,88.0
ID52085,2,0,0,1,0,0,1,1,2,39.1
ID94411,6,1,1,1,1,1,1,1,3,88.0
ID48491,2,0,0,1,0,0,1,1,0,27.1
ID52052,2,0,0,1,0,0,1,1,0,27.1
ID51992,1,0,0,1,0,0,0,1,0,16.4
ID17415,2,0,0,1,0,0,1,1,0,27.1
ID52049,2,0,0,1,0,0,1,1,0,27.1
ID88836,2,0,0,1,0,0,1,1,0,27.1
ID17432,6,1,1,1,1,1,1,1,3,88.0
ID30270,2,0,0,1,0,0,1,1,0,27.1
ID30267,6,1,1,1,1,1,1,1,3,88.0
ID94082,6,1,0,1,1,1,1,1,0,64.3
ID48600,2,0,0,0,1,0,1,1,2,39.1
ID51943,2,0,0,1,0,1,1,1,2,44.9
ID17266,2,0,0,1,0,0,1,1,0,27.1
ID19460,2,0,0,1,0,1,1,1,2,44.9
ID48419,2,0,0,1,0,0,1,1,0,27.1
ID48414,6,1,1,1,1,1,1,1,3,88.0
ID52284,1,0,0,1,0,0,0,1,0,16.4
ID88122,2,0,0,1,0,0,1,1,0,27.1
ID52204,6,1,1,1,1,1,1,1,3,88.0
ID48468,2,0,0,1,0,0,1,1,0,27.1
ID52196,2,0,0,1,1,0,1,1,4,56.9
ID52167,2,0,0,1,0,0,1,1,0,27.1
ID52159,2,0,0,1,0,0,1,1,0,27.1
ID48504,2,0,0,1,0,0,1,1,0,27.1
ID88146,2,0,0,1,0,0,1,1,2,39.1
ID88140,2,0,0,1,0,1,1,1,2,44.9
ID88138,6,1,1,1,1,1,1,1,3,88.0
ID52126,2,0,0,0,1,0,1,1,2,39.1
ID52430,2,0,0,1,0,0,1,1,2,39.1
ID48352,6,1,1,1,1,1,1,1,3,88.0
ID52381,2,0,0,0,1,0,1,1,2,39.1
ID52380,6,1,1,1,1,1,1,1,3,88.0
ID88111,2,0,0,0,1,0,1,1,2,39.1
ID17194,2,0,0,1,0,1,1,1,2,44.9
ID17189,2,0,0,0,1,0,1,1,2,39.1
ID19524,2,0,0,1,0,1,1,1,2,44.9
ID19513,2,0,0,1,0,0,1,1,0,27.1
ID48364,6,1,1,1,1,1,1,1,3,88.0
ID48394,2,0,0,1,0,0,1,1,2,39.1
ID00257,2,0,0,1,0,0,1,1,0,27.1
ID30335,6,1,0,1,1,1,1,1,0,64.3
ID52311,2,0,0,1,0,1,1,1,2,44.9
ID52329,2,0,0,1,0,0,1,1,0,27.1
ID19484,6,1,1,1,1,1,1,1,3,88.0
ID88043,2,1,0,1,1,1,1,1,2,56.3
ID52597,2,0,0,1,0,0,1,1,0,27.1
ID17079,2,0,0,1,0,0,1,1,2,39.1
ID17077,2,0,0,1,0,0,1,1,0,27.1
ID52583,2,0,0,1,0,1,1,1,2,44.9
ID48304,2,0,0,1,0,0,1,1,0,27.1
ID19546,6,1,1,1,1,1,1,1,3,88.0
ID94044,2,0,0,1,0,0,1,1,0,27.1
ID17120,2,0,0,1,0,1,1,1,2,44.9
ID94039,2,0,0,1,0,0,1,1,0,27.1
ID82178,2,0,0,1,0,1,1,1,2,44.9
ID82176,6,1,1,1,1,1,1,1,3,88.0
ID82175,2,0,0,1,0,0,1,1,0,27.1
ID82232,2,0,0,1,0,0,1,1,0,27.1
ID94449,2,0,0,1,0,0,1,1,0,27.1
ID52432,2,0,0,1,0,0,1,1,2,39.1
ID52888,2,1,0,1,1,1,1,1,2,56.3
ID48068,2,1,0,1,1,1,1,1,2,56.3
ID16930,2,0,0,1,0,0,1,1,0,27.1
ID16928,2,0,0,1,0,0,1,1,0,27.1
ID52855,6,1,1,1,1,1,1,1,3,88.0
ID52779,2,0,0,1,0,1,1,1,2,44.9
ID16958,6,1,0,1,1,1,1,1,0,64.3
ID48101,2,0,0,1,0,1,1,1,2,44.9
ID88030,2,0,0,1,0,0,1,1,0,27.1
ID82162,2,0,0,1,0,0,1,1,0,27.1
ID29859,6,1,1,1,1,1,1,1,3,88.0
ID92104,6,1,1,1,1,1,1,1,3,88.0
ID94027,6,1,1,1,1,1,1,1,3,88.0
ID52712,2,0,0,1,0,0,1,1,0,27.1
ID19627,2,0,0,1,0,1,1,1,2,44.9
ID88890,6,1,1,1,1,1,1,1,3,88.0
ID53088,2,0,0,1,0,1,1,1,2,44.9
ID47977,2,0,0,1,0,0,1,1,0,27.1
ID87984,2,0,0,1,0,1,1,1,2,44.9
ID88932,2,0,0,1,0,0,1,1,0,27.1
ID48019,2,0,0,1,0,0,1,1,0,27.1
ID52955,2,0,0,0,1,0,1,1,2,39.1
ID52983,6,1,0,1,1,1,1,1,0,64.3
ID94499,2,0,0,1,0,1,1,1,2,44.9
ID94495,6,1,1,1,1,1,1,1,3,88.0
ID52959,2,1,0,1,1,1,1,1,2,56.3
ID48036,2,0,0,1,0,1,1,1,2,44.9
ID29825,1,0,0,1,0,0,0,1,0,16.4
ID52908,2,0,0,1,0,0,1,1,0,27.1
ID87998,2,1,0,1,1,1,1,1,2,56.3
ID87991,2,0,0,1,0,0,1,1,0,27.1
ID52942,2,0,0,1,0,1,1,1,2,44.9
ID53235,2,0,0,1,0,1,1,1,2,44.9
ID16729,2,0,0,1,0,1,1,1,2,44.9
ID47908,2,0,0,1,1,0,1,1,4,56.9
ID47905,2,0,0,1,0,0,1,1,0,27.1
ID19769,6,1,0,1,1,1,1,1,0,64.3
ID87963,6,1,1,1,1,1,1,1,3,88.0
ID19755,2,0,0,1,0,0,1,1,2,39.1
ID53118,2,0,0,1,1,0,1,1,4,56.9
ID53110,2,0,0,1,0,1,1,1,2,44.9
ID16779,2,0,0,1,0,1,1,1,2,44.9
ID53131,6,1,1,1,1,1,1,1,3,88.0
ID53144,6,1,1,1,1,1,1,1,3,88.0
ID97581,2,0,0,1,0,1,1,1,2,44.9
ID53104,2,0,0,1,0,0,1,1,2,39.1
ID47970,2,0,0,1,0,0,1,1,0,27.1
ID19732,2,0,0,1,0,0,1,1,2,39.1
ID47779,2,0,0,1,0,1,1,1,2,44.9
ID19849,2,0,0,1,0,0,1,1,0,27.1
ID47810,2,0,0,1,0,0,1,1,0,27.1
ID53396,2,0,0,1,0,0,1,1,2,39.1
ID53353,2,0,0,1,0,0,1,1,0,27.1
ID16654,2,0,0,1,0,1,1,1,2,44.9
ID53373,2,0,0,1,0,0,1,1,0,27.1
ID53362,2,0,0,1,0,0,1,1,0,27.1
ID53384,2,0,0,1,0,0,1,1,0,27.1
ID53341,2,0,0,1,0,1,1,1,2,44.9
ID88951,2,0,0,1,0,1,1,1,2,44.9
ID30392,2,0,0,1,0,0,1,1,0,27.1
ID29818,2,0,0,1,0,0,1,1,0,27.1
ID47855,2,0,0,1,0,1,1,1,2,44.9
ID87930,2,0,0,1,0,0,1,1,5,57.1
ID16697,6,1,0,1,1,1,1,1,0,64.3
ID47743,2,0,0,1,0,0,1,1,0,27.1
ID53509,2,0,0,1,0,0,1,1,0,27.1
ID16557,6,1,1,1,1,1,1,1,3,88.0
ID47750,2,0,0,1,0,0,1,1,0,27.1
ID47769,2,0,0,1,0,1,1,1,2,44.9
ID47757,6,1,1,1,1,1,1,1,3,88.0
ID19859,2,0,0,1,0,1,1,1,2,44.9
ID53500,2,0,0,1,0,0,1,1,2,39.1
ID87893,2,0,0,1,0,0,1,1,0,27.1
ID53420,2,0,0,1,0,0,1,1,2,39.1
ID53419,2,0,0,0,1,0,1,1,2,39.1
ID87920,2,0,0,1,0,0,1,1,0,27.1
ID00356,2,0,0,1,0,0,1,1,0,27.1
ID16629,2,0,0,1,0,1,1,1,2,44.9
ID47783,6,1,1,1,1,1,1,1,3,88.0
ID47781,2,0,0,1,0,1,1,1,2,44.9
ID94566,2,0,0,1,0,0,1,1,2,39.1
ID16434,2,0,0,1,0,0,1,1,2,39.1
ID16425,2,0,0,1,0,0,1,1,2,39.1
ID16407,6,1,1,1,1,1,1,1,3,88.0
ID53752,6,1,0,1,1,1,1,1,0,64.3
ID16458,6,1,1,1,1,1,1,1,3,88.0
ID47635,6,1,1,1,1,1,1,1,3,88.0
ID16485,6,1,0,1,1,1,1,1,0,64.3
ID16484,2,0,0,1,0,1,1,1,2,44.9
ID93966,2,0,0,1,0,0,1,1,2,39.1
ID16514,2,0,0,1,0,0,1,1,0,27.1
ID53631,6,1,1,1,1,1,1,1,3,88.0
ID53625,6,1,1,1,1,1,1,1,3,88.0
ID16517,6,1,1,1,1,1,1,1,3,88.0
ID19906,2,0,0,1,0,1,1,1,2,44.9
ID53540,2,0,0,1,0,1,1,1,2,44.9
ID47479,2,0,0,1,0,0,1,1,0,27.1
ID47503,2,0,0,1,1,0,1,1,4,56.9
ID16315,2,0,0,1,0,0,1,1,0,27.1
ID53947,2,0,0,1,0,0,1,1,2,39.1
ID89000,6,1,1,1,1,1,1,1,3,88.0
ID53864,2,0,0,1,0,1,1,1,2,44.9
ID53856,2,0,0,1,0,0,1,1,0,27.1
ID53803,2,0,0,1,0,1,1,1,2,44.9
ID82015,2,0,0,1,0,0,1,1,0,27.1
ID00398,6,1,1,1,1,1,1,1,3,88.0
ID00393,2,1,0,1,1,1,1,1,2,56.3
ID97561,6,1,0,1,1,1,1,1,0,64.3
ID53786,2,0,0,1,0,0,1,1,0,27.1
ID53783,2,0,0,1,0,1,1,1,2,44.9
ID89005,2,0,0,1,0,1,1,1,2,44.9
ID19988,2,0,0,1,0,0,1,1,0,27.1
ID47306,2,0,0,1,0,1,1,1,2,44.9
ID93930,2,0,0,1,0,0,1,1,0,27.1
ID54172,2,0,0,1,0,1,1,1,2,44.9
ID54188,2,0,0,1,0,1,1,1,2,44.9
ID94623,2,0,0,1,0,0,1,1,0,27.1
ID47407,2,0,0,1,0,0,1,1,2,39.1
ID47430,2,0,0,1,0,1,1,1,2,44.9
ID54089,2,0,0,0,1,0,1,1,2,39.1
ID30431,2,0,0,1,0,0,1,1,2,39.1
ID29793,2,0,0,1,0,0,1,1,0,27.1
ID29790,6,1,0,1,1,1,1,1,0,64.3
ID16264,2,0,0,1,0,0,1,1,2,39.1
ID47453,2,0,0,1,0,0,1,1,0,27.1
ID47443,2,0,0,1,0,0,1,1,0,27.1
ID47468,6,1,1,1,1,1,1,1,3,88.0
ID54027,1,0,0,1,0,0,0,1,0,16.4
ID47259,2,0,0,1,0,0,1,1,0,27.1
ID47251,2,0,0,1,0,1,1,1,2,44.9
ID87746,2,0,0,1,0,1,1,1,2,44.9
ID54308,2,0,0,1,0,0,1,1,0,27.1
ID47267,1,0,0,1,0,0,0,1,0,16.4
ID20154,2,0,0,1,0,0,1,1,0,27.1
ID20140,2,0,0,1,0,0,1,1,0,27.1
ID93932,2,0,0,1,0,0,1,1,0,27.1
ID81919,2,0,0,0,1,0,1,1,2,39.1
ID82796,2,0,0,1,1,0,1,1,4,56.9
ID00434,6,1,1,1,1,1,1,1,3,88.0
ID00424,2,0,0,1,0,0,1,1,2,39.1
ID20120,6,1,0,1,1,1,1,1,0,64.3
ID54265,2,0,0,1,0,0,1,1,0,27.1
ID16152,2,0,0,1,0,1,1,1,2,44.9
ID16198,2,0,0,1,0,0,1,1,0,27.1
ID89079,2,0,0,1,0,1,1,1,2,44.9
ID20242,2,0,0,1,0,1,1,1,2,44.9
ID89089,2,0,0,1,0,0,1,1,2,39.1
ID16010,6,1,1,1,1,1,1,1,3,88.0
ID16043,2,0,0,1,0,0,1,1,0,27.1
ID87714,6,1,1,1,1,1,1,1,3,88.0
ID87711,2,0,0,1,0,1,1,1,2,44.9
ID47206,2,0,0,1,0,1,1,1,2,44.9
ID47204,2,1,0,1,1,1,1,1,2,56.3
ID47226,6,1,0,1,1,1,1,1,0,64.3
ID47225,2,0,0,1,0,0,1,1,0,27.1
ID54394,6,1,1,1,1,1,1,1,3,88.0
ID16083,6,1,1,1,1,1,1,1,3,88.0
ID81903,2,0,0,1,0,1,1,1,2,44.9
ID16109,2,0,0,1,0,0,1,1,2,39.1
ID47262,6,1,0,1,1,1,1,1,0,64.3
ID54760,2,0,0,1,0,0,1,1,0,27.1
ID20350,6,1,1,1,1,1,1,1,3,88.0
ID54776,2,0,0,1,0,1,1,1,2,44.9
ID46954,2,0,0,1,0,0,1,1,2,39.1
ID46983,6,1,1,1,1,1,1,1,3,88.0
ID93907,2,0,0,1,0,0,1,1,0,27.1
ID47025,2,0,0,1,0,1,1,1,2,44.9
ID87667,6,1,1,1,1,1,1,1,3,88.0
ID15894,1,0,0,1,0,0,0,1,0,16.4
ID15909,6,1,0,1,1,1,1,1,0,64.3
ID47050,2,0,0,1,0,0,1,1,0,27.1
ID54596,2,0,0,1,0,1,1,1,2,44.9
ID54625,2,0,0,1,0,0,1,1,2,39.1
ID54577,6,1,0,1,1,1,1,1,0,64.3
ID94673,6,1,1,1,1,1,1,1,3,88.0
ID47091,2,0,0,1,0,0,1,1,0,27.1
ID89128,2,0,0,1,0,1,1,1,2,44.9
ID54896,2,0,0,0,1,0,1,1,2,39.1
ID54891,6,1,1,1,1,1,1,1,3,88.0
ID54887,2,0,0,1,0,1,1,1,2,44.9
ID54858,2,0,0,1,0,0,1,1,0,27.1
ID54856,6,1,1,1,1,1,1,1,3,88.0
ID15771,6,1,1,1,1,1,1,1,3,88.0
ID15752,6,1,1,1,1,1,1,1,3,88.0
ID20379,6,1,1,1,1,1,1,1,3,88.0
ID46941,2,0,0,1,0,0,1,1,0,27.1
ID54810,2,0,0,1,0,0,1,1,0,27.1
ID87631,2,0,0,1,0,1,1,1,2,44.9
ID15803,6,1,1,1,1,1,1,1,3,88.0
ID81839,2,0,0,1,0,0,1,1,0,27.1
ID87622,6,1,1,1,1,1,1,1,3,88.0
ID46996,2,0,0,1,1,0,1,1,4,56.9
ID15582,2,0,0,1,0,0,1,1,0,27.1
ID55096,2,0,0,1,0,0,1,1,0,27.1
ID55041,2,0,0,1,0,0,1,1,0,27.1
ID87588,2,0,0,1,0,0,1,1,0,27.1
ID20453,2,0,0,1,0,1,1,1,2,44.9
ID20448,2,0,0,1,0,1,1,1,2,44.9
ID55042,1,0,0,1,0,0,0,1,0,16.4
ID94710,6,1,1,1,1,1,1,1,3,88.0
ID46799,2,0,0,1,1,0,1,1,4,56.9
ID20440,2,0,0,1,0,1,1,1,2,44.9
ID15716,2,0,0,1,0,1,1,1,2,44.9
ID15694,6,1,1,1,1,1,1,1,3,88.0
ID30560,6,1,1,1,1,1,1,1,3,88.0
ID92055,2,0,0,1,0,1,1,1,2,44.9
ID46872,6,1,1,1,1,1,1,1,3,88.0
ID54913,6,1,1,1,1,1,1,1,3,88.0
ID55454,2,0,0,1,0,0,1,1,0,27.1
ID55451,2,0,0,1,0,0,1,1,2,39.1
ID46527,2,0,0,1,0,0,1,1,2,39.1
ID46526,2,0,0,1,0,0,1,1,0,27.1
ID89190,2,0,0,1,0,1,1,1,2,44.9
ID55327,2,0,0,1,0,1,1,1,2,44.9
ID46591,2,0,0,1,0,0,1,1,0,27.1
ID93876,2,0,0,1,0,0,1,1,0,27.1
ID55277,2,0,0,1,1,0,1,1,4,56.9
ID55280,2,0,0,1,0,0,1,1,0,27.1
ID15562,2,0,0,1,0,0,1,1,0,27.1
ID15555,6,1,1,1,1,1,1,1,3,88.0
ID00492,2,0,0,1,0,1,1,1,2,44.9
ID46685,2,0,0,0,1,0,1,1,2,39.1
ID20512,2,0,0,1,0,0,1,1,2,39.1
ID94736,2,0,0,1,1,0,1,1,4,56.9
ID55644,6,1,1,1,1,1,1,1,3,88.0
ID46452,2,0,0,1,1,0,1,1,4,56.9
ID55570,6,1,1,1,1,1,1,1,3,88.0
ID55586,2,0,0,1,0,1,1,1,2,44.9
ID15354,2,0,0,1,0,1,1,1,2,44.9
ID15352,6,1,1,1,1,1,1,1,3,88.0
ID55487,2,0,0,1,0,0,1,1,2,39.1
ID55517,2,0,0,1,0,0,1,1,0,27.1
ID15399,2,0,0,1,1,0,1,1,4,56.9
ID46487,2,0,0,1,0,0,1,1,0,27.1
ID46515,6,1,1,1,1,1,1,1,3,88.0
ID20600,2,1,0,1,1,1,1,1,2,56.3
ID15423,2,0,0,0,1,0,1,1,2,39.1
ID15422,2,0,0,1,0,1,1,1,2,44.9
ID15416,6,1,0,1,1,1,1,1,0,64.3
ID55457,2,0,0,0,1,0,1,1,2,39.1
ID46221,2,0,0,1,1,0,1,1,4,56.9
ID94803,2,0,0,1,0,0,1,1,0,27.1
ID46248,6,1,0,1,1,1,1,1,0,64.3
ID93832,2,0,0,1,0,0,1,1,5,57.1
ID15212,2,0,0,1,0,0,1,1,0,27.1
ID55762,6,1,1,1,1,1,1,1,3,88.0
ID46331,2,0,0,1,0,0,1,1,0,27.1
ID89246,1,0,0,1,0,0,0,1,0,16.4
ID55714,2,0,0,0,1,0,1,1,2,39.1
ID55731,2,0,0,1,0,1,1,1,2,44.9
ID00538,2,0,0,1,0,0,1,1,2,39.1
ID00535,2,0,0,1,0,1,1,1,2,44.9
ID00530,6,1,1,1,1,1,1,1,3,88.0
ID15306,6,1,1,1,1,1,1,1,3,88.0
ID46370,6,1,1,1,1,1,1,1,3,88.0
ID15321,2,0,0,1,0,1,1,1,2,44.9
ID89294,2,0,0,1,0,0,1,1,5,57.1
ID93823,2,0,0,1,0,0,1,1,2,39.1
ID94812,6,1,0,1,1,1,1,1,0,64.3
ID56071,2,0,0,1,1,0,1,1,4,56.9
ID15140,6,1,1,1,1,1,1,1,3,88.0
ID56033,6,1,1,1,1,1,1,1,3,88.0
ID15170,6,1,0,1,1,1,1,1,0,64.3
ID87431,2,0,0,1,0,1,1,1,2,44.9
ID00549,6,1,1,1,1,1,1,1,3,88.0
ID30634,6,1,1,1,1,1,1,1,3,88.0
ID29690,2,0,0,1,0,1,1,1,2,44.9
ID81747,2,0,0,0,1,0,1,1,2,39.1
ID15185,2,0,0,0,1,0,1,1,2,39.1
ID46189,2,0,0,1,0,0,1,1,0,27.1
ID46180,6,1,0,1,1,1,1,1,0,64.3
ID46176,6,1,1,1,1,1,1,1,3,88.0
ID87393,2,0,0,1,1,0,1,1,4,56.9
ID87384,2,0,0,1,0,0,1,1,0,27.1
ID56279,2,0,0,1,1,0,1,1,4,56.9
ID15002,6,1,1,1,1,1,1,1,3,88.0
ID56297,2,0,0,1,0,0,1,1,0,27.1
ID56245,2,0,0,1,0,0,1,1,0,27.1
ID20866,6,1,1,1,1,1,1,1,3,88.0
ID94827,2,0,0,1,0,0,1,1,2,39.1
ID20838,2,0,0,1,1,0,1,1,4,56.9
ID30654,2,0,0,1,1,0,1,1,4,56.9
ID30651,2,0,0,1,1,0,1,1,4,56.9
ID15110,6,1,1,1,1,1,1,1,3,88.0
ID15097,2,0,0,1,0,0,1,1,2,39.1
ID15096,6,1,0,1,1,1,1,1,0,64.3
ID87422,6,1,1,1,1,1,1,1,3,88.0
ID15119,2,0,0,1,0,1,1,1,2,44.9
ID56456,1,0,0,1,0,0,0,1,0,16.4
