date_sk,date,year,quarter,quarter_name,month,month_name,month_short,week,week_of_month,day,day_name,day_of_week,day_of_year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,financial_year,financial_quarter
20220128,2022-01-28,2022,1,Q1,1,January,Jan,4,4,28,Friday,5,28,False,False,False,False,False,False,False,2021-2022,Q4
20220129,2022-01-29,2022,1,Q1,1,January,Jan,4,5,29,Saturday,6,29,True,False,False,False,False,False,False,2021-2022,Q4
20220130,2022-01-30,2022,1,Q1,1,January,Jan,4,5,30,Sunday,7,30,True,False,False,False,False,False,False,2021-2022,Q4
20220131,2022-01-31,2022,1,Q1,1,January,Jan,5,5,31,Monday,1,31,False,False,True,False,False,False,False,2021-2022,Q4
20220201,2022-02-01,2022,1,Q1,2,February,Feb,5,1,1,Tuesday,2,32,False,True,False,False,False,False,False,2021-2022,Q4
20220202,2022-02-02,2022,1,Q1,2,February,Feb,5,1,2,Wednesday,3,33,False,False,False,False,False,False,False,2021-2022,Q4
20220203,2022-02-03,2022,1,Q1,2,February,Feb,5,1,3,Thursday,4,34,False,False,False,False,False,False,False,2021-2022,Q4
20220204,2022-02-04,2022,1,Q1,2,February,Feb,5,1,4,Friday,5,35,False,False,False,False,False,False,False,2021-2022,Q4
20220205,2022-02-05,2022,1,Q1,2,February,Feb,5,1,5,Saturday,6,36,True,False,False,False,False,False,False,2021-2022,Q4
20220206,2022-02-06,2022,1,Q1,2,February,Feb,5,1,6,Sunday,7,37,True,False,False,False,False,False,False,2021-2022,Q4
20220207,2022-02-07,2022,1,Q1,2,February,Feb,6,1,7,Monday,1,38,False,False,False,False,False,False,False,2021-2022,Q4
20220208,2022-02-08,2022,1,Q1,2,February,Feb,6,2,8,Tuesday,2,39,False,False,False,False,False,False,False,2021-2022,Q4
20220209,2022-02-09,2022,1,Q1,2,February,Feb,6,2,9,Wednesday,3,40,False,False,False,False,False,False,False,2021-2022,Q4
20220210,2022-02-10,2022,1,Q1,2,February,Feb,6,2,10,Thursday,4,41,False,False,False,False,False,False,False,2021-2022,Q4
20220211,2022-02-11,2022,1,Q1,2,February,Feb,6,2,11,Friday,5,42,False,False,False,False,False,False,False,2021-2022,Q4
20220212,2022-02-12,2022,1,Q1,2,February,Feb,6,2,12,Saturday,6,43,True,False,False,False,False,False,False,2021-2022,Q4
20220213,2022-02-13,2022,1,Q1,2,February,Feb,6,2,13,Sunday,7,44,True,False,False,False,False,False,False,2021-2022,Q4
20220214,2022-02-14,2022,1,Q1,2,February,Feb,7,2,14,Monday,1,45,False,False,False,False,False,False,False,2021-2022,Q4
20220215,2022-02-15,2022,1,Q1,2,February,Feb,7,3,15,Tuesday,2,46,False,False,False,False,False,False,False,2021-2022,Q4
20220216,2022-02-16,2022,1,Q1,2,February,Feb,7,3,16,Wednesday,3,47,False,False,False,False,False,False,False,2021-2022,Q4
20220217,2022-02-17,2022,1,Q1,2,February,Feb,7,3,17,Thursday,4,48,False,False,False,False,False,False,False,2021-2022,Q4
20220218,2022-02-18,2022,1,Q1,2,February,Feb,7,3,18,Friday,5,49,False,False,False,False,False,False,False,2021-2022,Q4
20220219,2022-02-19,2022,1,Q1,2,February,Feb,7,3,19,Saturday,6,50,True,False,False,False,False,False,False,2021-2022,Q4
20220220,2022-02-20,2022,1,Q1,2,February,Feb,7,3,20,Sunday,7,51,True,False,False,False,False,False,False,2021-2022,Q4
20220221,2022-02-21,2022,1,Q1,2,February,Feb,8,3,21,Monday,1,52,False,False,False,False,False,False,False,2021-2022,Q4
20220222,2022-02-22,2022,1,Q1,2,February,Feb,8,4,22,Tuesday,2,53,False,False,False,False,False,False,False,2021-2022,Q4
20220223,2022-02-23,2022,1,Q1,2,February,Feb,8,4,23,Wednesday,3,54,False,False,False,False,False,False,False,2021-2022,Q4
20220224,2022-02-24,2022,1,Q1,2,February,Feb,8,4,24,Thursday,4,55,False,False,False,False,False,False,False,2021-2022,Q4
20220225,2022-02-25,2022,1,Q1,2,February,Feb,8,4,25,Friday,5,56,False,False,False,False,False,False,False,2021-2022,Q4
20220226,2022-02-26,2022,1,Q1,2,February,Feb,8,4,26,Saturday,6,57,True,False,False,False,False,False,False,2021-2022,Q4
20220227,2022-02-27,2022,1,Q1,2,February,Feb,8,4,27,Sunday,7,58,True,False,False,False,False,False,False,2021-2022,Q4
20220228,2022-02-28,2022,1,Q1,2,February,Feb,9,4,28,Monday,1,59,False,False,True,False,False,False,False,2021-2022,Q4
20220301,2022-03-01,2022,1,Q1,3,March,Mar,9,1,1,Tuesday,2,60,False,True,False,False,False,False,False,2021-2022,Q4
20220302,2022-03-02,2022,1,Q1,3,March,Mar,9,1,2,Wednesday,3,61,False,False,False,False,False,False,False,2021-2022,Q4
20220303,2022-03-03,2022,1,Q1,3,March,Mar,9,1,3,Thursday,4,62,False,False,False,False,False,False,False,2021-2022,Q4
20220304,2022-03-04,2022,1,Q1,3,March,Mar,9,1,4,Friday,5,63,False,False,False,False,False,False,False,2021-2022,Q4
20220305,2022-03-05,2022,1,Q1,3,March,Mar,9,1,5,Saturday,6,64,True,False,False,False,False,False,False,2021-2022,Q4
20220306,2022-03-06,2022,1,Q1,3,March,Mar,9,1,6,Sunday,7,65,True,False,False,False,False,False,False,2021-2022,Q4
20220307,2022-03-07,2022,1,Q1,3,March,Mar,10,1,7,Monday,1,66,False,False,False,False,False,False,False,2021-2022,Q4
20220308,2022-03-08,2022,1,Q1,3,March,Mar,10,2,8,Tuesday,2,67,False,False,False,False,False,False,False,2021-2022,Q4
20220309,2022-03-09,2022,1,Q1,3,March,Mar,10,2,9,Wednesday,3,68,False,False,False,False,False,False,False,2021-2022,Q4
20220310,2022-03-10,2022,1,Q1,3,March,Mar,10,2,10,Thursday,4,69,False,False,False,False,False,False,False,2021-2022,Q4
20220311,2022-03-11,2022,1,Q1,3,March,Mar,10,2,11,Friday,5,70,False,False,False,False,False,False,False,2021-2022,Q4
20220312,2022-03-12,2022,1,Q1,3,March,Mar,10,2,12,Saturday,6,71,True,False,False,False,False,False,False,2021-2022,Q4
20220313,2022-03-13,2022,1,Q1,3,March,Mar,10,2,13,Sunday,7,72,True,False,False,False,False,False,False,2021-2022,Q4
20220314,2022-03-14,2022,1,Q1,3,March,Mar,11,2,14,Monday,1,73,False,False,False,False,False,False,False,2021-2022,Q4
20220315,2022-03-15,2022,1,Q1,3,March,Mar,11,3,15,Tuesday,2,74,False,False,False,False,False,False,False,2021-2022,Q4
20220316,2022-03-16,2022,1,Q1,3,March,Mar,11,3,16,Wednesday,3,75,False,False,False,False,False,False,False,2021-2022,Q4
20220317,2022-03-17,2022,1,Q1,3,March,Mar,11,3,17,Thursday,4,76,False,False,False,False,False,False,False,2021-2022,Q4
20220318,2022-03-18,2022,1,Q1,3,March,Mar,11,3,18,Friday,5,77,False,False,False,False,False,False,False,2021-2022,Q4
20220319,2022-03-19,2022,1,Q1,3,March,Mar,11,3,19,Saturday,6,78,True,False,False,False,False,False,False,2021-2022,Q4
20220320,2022-03-20,2022,1,Q1,3,March,Mar,11,3,20,Sunday,7,79,True,False,False,False,False,False,False,2021-2022,Q4
20220321,2022-03-21,2022,1,Q1,3,March,Mar,12,3,21,Monday,1,80,False,False,False,False,False,False,False,2021-2022,Q4
20220322,2022-03-22,2022,1,Q1,3,March,Mar,12,4,22,Tuesday,2,81,False,False,False,False,False,False,False,2021-2022,Q4
20220323,2022-03-23,2022,1,Q1,3,March,Mar,12,4,23,Wednesday,3,82,False,False,False,False,False,False,False,2021-2022,Q4
20220324,2022-03-24,2022,1,Q1,3,March,Mar,12,4,24,Thursday,4,83,False,False,False,False,False,False,False,2021-2022,Q4
20220325,2022-03-25,2022,1,Q1,3,March,Mar,12,4,25,Friday,5,84,False,False,False,False,False,False,False,2021-2022,Q4
20220326,2022-03-26,2022,1,Q1,3,March,Mar,12,4,26,Saturday,6,85,True,False,False,False,False,False,False,2021-2022,Q4
20220327,2022-03-27,2022,1,Q1,3,March,Mar,12,4,27,Sunday,7,86,True,False,False,False,False,False,False,2021-2022,Q4
20220328,2022-03-28,2022,1,Q1,3,March,Mar,13,4,28,Monday,1,87,False,False,False,False,False,False,False,2021-2022,Q4
20220329,2022-03-29,2022,1,Q1,3,March,Mar,13,5,29,Tuesday,2,88,False,False,False,False,False,False,False,2021-2022,Q4
20220330,2022-03-30,2022,1,Q1,3,March,Mar,13,5,30,Wednesday,3,89,False,False,False,False,False,False,False,2021-2022,Q4
20220331,2022-03-31,2022,1,Q1,3,March,Mar,13,5,31,Thursday,4,90,False,False,True,False,True,False,False,2021-2022,Q4
20220401,2022-04-01,2022,2,Q2,4,April,Apr,13,1,1,Friday,5,91,False,True,False,True,False,False,False,2022-2023,Q1
20220402,2022-04-02,2022,2,Q2,4,April,Apr,13,1,2,Saturday,6,92,True,False,False,False,False,False,False,2022-2023,Q1
20220403,2022-04-03,2022,2,Q2,4,April,Apr,13,1,3,Sunday,7,93,True,False,False,False,False,False,False,2022-2023,Q1
20220404,2022-04-04,2022,2,Q2,4,April,Apr,14,1,4,Monday,1,94,False,False,False,False,False,False,False,2022-2023,Q1
20220405,2022-04-05,2022,2,Q2,4,April,Apr,14,1,5,Tuesday,2,95,False,False,False,False,False,False,False,2022-2023,Q1
20220406,2022-04-06,2022,2,Q2,4,April,Apr,14,1,6,Wednesday,3,96,False,False,False,False,False,False,False,2022-2023,Q1
20220407,2022-04-07,2022,2,Q2,4,April,Apr,14,1,7,Thursday,4,97,False,False,False,False,False,False,False,2022-2023,Q1
20220408,2022-04-08,2022,2,Q2,4,April,Apr,14,2,8,Friday,5,98,False,False,False,False,False,False,False,2022-2023,Q1
20220409,2022-04-09,2022,2,Q2,4,April,Apr,14,2,9,Saturday,6,99,True,False,False,False,False,False,False,2022-2023,Q1
20220410,2022-04-10,2022,2,Q2,4,April,Apr,14,2,10,Sunday,7,100,True,False,False,False,False,False,False,2022-2023,Q1
20220411,2022-04-11,2022,2,Q2,4,April,Apr,15,2,11,Monday,1,101,False,False,False,False,False,False,False,2022-2023,Q1
20220412,2022-04-12,2022,2,Q2,4,April,Apr,15,2,12,Tuesday,2,102,False,False,False,False,False,False,False,2022-2023,Q1
20220413,2022-04-13,2022,2,Q2,4,April,Apr,15,2,13,Wednesday,3,103,False,False,False,False,False,False,False,2022-2023,Q1
20220414,2022-04-14,2022,2,Q2,4,April,Apr,15,2,14,Thursday,4,104,False,False,False,False,False,False,False,2022-2023,Q1
20220415,2022-04-15,2022,2,Q2,4,April,Apr,15,3,15,Friday,5,105,False,False,False,False,False,False,False,2022-2023,Q1
20220416,2022-04-16,2022,2,Q2,4,April,Apr,15,3,16,Saturday,6,106,True,False,False,False,False,False,False,2022-2023,Q1
20220417,2022-04-17,2022,2,Q2,4,April,Apr,15,3,17,Sunday,7,107,True,False,False,False,False,False,False,2022-2023,Q1
20220418,2022-04-18,2022,2,Q2,4,April,Apr,16,3,18,Monday,1,108,False,False,False,False,False,False,False,2022-2023,Q1
20220419,2022-04-19,2022,2,Q2,4,April,Apr,16,3,19,Tuesday,2,109,False,False,False,False,False,False,False,2022-2023,Q1
20220420,2022-04-20,2022,2,Q2,4,April,Apr,16,3,20,Wednesday,3,110,False,False,False,False,False,False,False,2022-2023,Q1
20220421,2022-04-21,2022,2,Q2,4,April,Apr,16,3,21,Thursday,4,111,False,False,False,False,False,False,False,2022-2023,Q1
20220422,2022-04-22,2022,2,Q2,4,April,Apr,16,4,22,Friday,5,112,False,False,False,False,False,False,False,2022-2023,Q1
20220423,2022-04-23,2022,2,Q2,4,April,Apr,16,4,23,Saturday,6,113,True,False,False,False,False,False,False,2022-2023,Q1
20220424,2022-04-24,2022,2,Q2,4,April,Apr,16,4,24,Sunday,7,114,True,False,False,False,False,False,False,2022-2023,Q1
20220425,2022-04-25,2022,2,Q2,4,April,Apr,17,4,25,Monday,1,115,False,False,False,False,False,False,False,2022-2023,Q1
20220426,2022-04-26,2022,2,Q2,4,April,Apr,17,4,26,Tuesday,2,116,False,False,False,False,False,False,False,2022-2023,Q1
20220427,2022-04-27,2022,2,Q2,4,April,Apr,17,4,27,Wednesday,3,117,False,False,False,False,False,False,False,2022-2023,Q1
20220428,2022-04-28,2022,2,Q2,4,April,Apr,17,4,28,Thursday,4,118,False,False,False,False,False,False,False,2022-2023,Q1
20220429,2022-04-29,2022,2,Q2,4,April,Apr,17,5,29,Friday,5,119,False,False,False,False,False,False,False,2022-2023,Q1
20220430,2022-04-30,2022,2,Q2,4,April,Apr,17,5,30,Saturday,6,120,True,False,True,False,False,False,False,2022-2023,Q1
20220501,2022-05-01,2022,2,Q2,5,May,May,17,1,1,Sunday,7,121,True,True,False,False,False,False,False,2022-2023,Q1
20220502,2022-05-02,2022,2,Q2,5,May,May,18,1,2,Monday,1,122,False,False,False,False,False,False,False,2022-2023,Q1
20220503,2022-05-03,2022,2,Q2,5,May,May,18,1,3,Tuesday,2,123,False,False,False,False,False,False,False,2022-2023,Q1
20220504,2022-05-04,2022,2,Q2,5,May,May,18,1,4,Wednesday,3,124,False,False,False,False,False,False,False,2022-2023,Q1
20220505,2022-05-05,2022,2,Q2,5,May,May,18,1,5,Thursday,4,125,False,False,False,False,False,False,False,2022-2023,Q1
20220506,2022-05-06,2022,2,Q2,5,May,May,18,1,6,Friday,5,126,False,False,False,False,False,False,False,2022-2023,Q1
20220507,2022-05-07,2022,2,Q2,5,May,May,18,1,7,Saturday,6,127,True,False,False,False,False,False,False,2022-2023,Q1
20220508,2022-05-08,2022,2,Q2,5,May,May,18,2,8,Sunday,7,128,True,False,False,False,False,False,False,2022-2023,Q1
20220509,2022-05-09,2022,2,Q2,5,May,May,19,2,9,Monday,1,129,False,False,False,False,False,False,False,2022-2023,Q1
20220510,2022-05-10,2022,2,Q2,5,May,May,19,2,10,Tuesday,2,130,False,False,False,False,False,False,False,2022-2023,Q1
20220511,2022-05-11,2022,2,Q2,5,May,May,19,2,11,Wednesday,3,131,False,False,False,False,False,False,False,2022-2023,Q1
20220512,2022-05-12,2022,2,Q2,5,May,May,19,2,12,Thursday,4,132,False,False,False,False,False,False,False,2022-2023,Q1
20220513,2022-05-13,2022,2,Q2,5,May,May,19,2,13,Friday,5,133,False,False,False,False,False,False,False,2022-2023,Q1
20220514,2022-05-14,2022,2,Q2,5,May,May,19,2,14,Saturday,6,134,True,False,False,False,False,False,False,2022-2023,Q1
20220515,2022-05-15,2022,2,Q2,5,May,May,19,3,15,Sunday,7,135,True,False,False,False,False,False,False,2022-2023,Q1
20220516,2022-05-16,2022,2,Q2,5,May,May,20,3,16,Monday,1,136,False,False,False,False,False,False,False,2022-2023,Q1
20220517,2022-05-17,2022,2,Q2,5,May,May,20,3,17,Tuesday,2,137,False,False,False,False,False,False,False,2022-2023,Q1
20220518,2022-05-18,2022,2,Q2,5,May,May,20,3,18,Wednesday,3,138,False,False,False,False,False,False,False,2022-2023,Q1
20220519,2022-05-19,2022,2,Q2,5,May,May,20,3,19,Thursday,4,139,False,False,False,False,False,False,False,2022-2023,Q1
20220520,2022-05-20,2022,2,Q2,5,May,May,20,3,20,Friday,5,140,False,False,False,False,False,False,False,2022-2023,Q1
20220521,2022-05-21,2022,2,Q2,5,May,May,20,3,21,Saturday,6,141,True,False,False,False,False,False,False,2022-2023,Q1
20220522,2022-05-22,2022,2,Q2,5,May,May,20,4,22,Sunday,7,142,True,False,False,False,False,False,False,2022-2023,Q1
20220523,2022-05-23,2022,2,Q2,5,May,May,21,4,23,Monday,1,143,False,False,False,False,False,False,False,2022-2023,Q1
20220524,2022-05-24,2022,2,Q2,5,May,May,21,4,24,Tuesday,2,144,False,False,False,False,False,False,False,2022-2023,Q1
20220525,2022-05-25,2022,2,Q2,5,May,May,21,4,25,Wednesday,3,145,False,False,False,False,False,False,False,2022-2023,Q1
20220526,2022-05-26,2022,2,Q2,5,May,May,21,4,26,Thursday,4,146,False,False,False,False,False,False,False,2022-2023,Q1
20220527,2022-05-27,2022,2,Q2,5,May,May,21,4,27,Friday,5,147,False,False,False,False,False,False,False,2022-2023,Q1
20220528,2022-05-28,2022,2,Q2,5,May,May,21,4,28,Saturday,6,148,True,False,False,False,False,False,False,2022-2023,Q1
20220529,2022-05-29,2022,2,Q2,5,May,May,21,5,29,Sunday,7,149,True,False,False,False,False,False,False,2022-2023,Q1
20220530,2022-05-30,2022,2,Q2,5,May,May,22,5,30,Monday,1,150,False,False,False,False,False,False,False,2022-2023,Q1
20220531,2022-05-31,2022,2,Q2,5,May,May,22,5,31,Tuesday,2,151,False,False,True,False,False,False,False,2022-2023,Q1
20220601,2022-06-01,2022,2,Q2,6,June,Jun,22,1,1,Wednesday,3,152,False,True,False,False,False,False,False,2022-2023,Q1
20220602,2022-06-02,2022,2,Q2,6,June,Jun,22,1,2,Thursday,4,153,False,False,False,False,False,False,False,2022-2023,Q1
20220603,2022-06-03,2022,2,Q2,6,June,Jun,22,1,3,Friday,5,154,False,False,False,False,False,False,False,2022-2023,Q1
20220604,2022-06-04,2022,2,Q2,6,June,Jun,22,1,4,Saturday,6,155,True,False,False,False,False,False,False,2022-2023,Q1
20220605,2022-06-05,2022,2,Q2,6,June,Jun,22,1,5,Sunday,7,156,True,False,False,False,False,False,False,2022-2023,Q1
20220606,2022-06-06,2022,2,Q2,6,June,Jun,23,1,6,Monday,1,157,False,False,False,False,False,False,False,2022-2023,Q1
20220607,2022-06-07,2022,2,Q2,6,June,Jun,23,1,7,Tuesday,2,158,False,False,False,False,False,False,False,2022-2023,Q1
20220608,2022-06-08,2022,2,Q2,6,June,Jun,23,2,8,Wednesday,3,159,False,False,False,False,False,False,False,2022-2023,Q1
20220609,2022-06-09,2022,2,Q2,6,June,Jun,23,2,9,Thursday,4,160,False,False,False,False,False,False,False,2022-2023,Q1
20220610,2022-06-10,2022,2,Q2,6,June,Jun,23,2,10,Friday,5,161,False,False,False,False,False,False,False,2022-2023,Q1
20220611,2022-06-11,2022,2,Q2,6,June,Jun,23,2,11,Saturday,6,162,True,False,False,False,False,False,False,2022-2023,Q1
20220612,2022-06-12,2022,2,Q2,6,June,Jun,23,2,12,Sunday,7,163,True,False,False,False,False,False,False,2022-2023,Q1
20220613,2022-06-13,2022,2,Q2,6,June,Jun,24,2,13,Monday,1,164,False,False,False,False,False,False,False,2022-2023,Q1
20220614,2022-06-14,2022,2,Q2,6,June,Jun,24,2,14,Tuesday,2,165,False,False,False,False,False,False,False,2022-2023,Q1
20220615,2022-06-15,2022,2,Q2,6,June,Jun,24,3,15,Wednesday,3,166,False,False,False,False,False,False,False,2022-2023,Q1
20220616,2022-06-16,2022,2,Q2,6,June,Jun,24,3,16,Thursday,4,167,False,False,False,False,False,False,False,2022-2023,Q1
20220617,2022-06-17,2022,2,Q2,6,June,Jun,24,3,17,Friday,5,168,False,False,False,False,False,False,False,2022-2023,Q1
20220618,2022-06-18,2022,2,Q2,6,June,Jun,24,3,18,Saturday,6,169,True,False,False,False,False,False,False,2022-2023,Q1
20220619,2022-06-19,2022,2,Q2,6,June,Jun,24,3,19,Sunday,7,170,True,False,False,False,False,False,False,2022-2023,Q1
20220620,2022-06-20,2022,2,Q2,6,June,Jun,25,3,20,Monday,1,171,False,False,False,False,False,False,False,2022-2023,Q1
20220621,2022-06-21,2022,2,Q2,6,June,Jun,25,3,21,Tuesday,2,172,False,False,False,False,False,False,False,2022-2023,Q1
20220622,2022-06-22,2022,2,Q2,6,June,Jun,25,4,22,Wednesday,3,173,False,False,False,False,False,False,False,2022-2023,Q1
20220623,2022-06-23,2022,2,Q2,6,June,Jun,25,4,23,Thursday,4,174,False,False,False,False,False,False,False,2022-2023,Q1
20220624,2022-06-24,2022,2,Q2,6,June,Jun,25,4,24,Friday,5,175,False,False,False,False,False,False,False,2022-2023,Q1
20220625,2022-06-25,2022,2,Q2,6,June,Jun,25,4,25,Saturday,6,176,True,False,False,False,False,False,False,2022-2023,Q1
20220626,2022-06-26,2022,2,Q2,6,June,Jun,25,4,26,Sunday,7,177,True,False,False,False,False,False,False,2022-2023,Q1
20220627,2022-06-27,2022,2,Q2,6,June,Jun,26,4,27,Monday,1,178,False,False,False,False,False,False,False,2022-2023,Q1
20220628,2022-06-28,2022,2,Q2,6,June,Jun,26,4,28,Tuesday,2,179,False,False,False,False,False,False,False,2022-2023,Q1
20220629,2022-06-29,2022,2,Q2,6,June,Jun,26,5,29,Wednesday,3,180,False,False,False,False,False,False,False,2022-2023,Q1
20220630,2022-06-30,2022,2,Q2,6,June,Jun,26,5,30,Thursday,4,181,False,False,True,False,True,False,False,2022-2023,Q1
20220701,2022-07-01,2022,3,Q3,7,July,Jul,26,1,1,Friday,5,182,False,True,False,True,False,False,False,2022-2023,Q2
20220702,2022-07-02,2022,3,Q3,7,July,Jul,26,1,2,Saturday,6,183,True,False,False,False,False,False,False,2022-2023,Q2
20220703,2022-07-03,2022,3,Q3,7,July,Jul,26,1,3,Sunday,7,184,True,False,False,False,False,False,False,2022-2023,Q2
20220704,2022-07-04,2022,3,Q3,7,July,Jul,27,1,4,Monday,1,185,False,False,False,False,False,False,False,2022-2023,Q2
20220705,2022-07-05,2022,3,Q3,7,July,Jul,27,1,5,Tuesday,2,186,False,False,False,False,False,False,False,2022-2023,Q2
20220706,2022-07-06,2022,3,Q3,7,July,Jul,27,1,6,Wednesday,3,187,False,False,False,False,False,False,False,2022-2023,Q2
20220707,2022-07-07,2022,3,Q3,7,July,Jul,27,1,7,Thursday,4,188,False,False,False,False,False,False,False,2022-2023,Q2
20220708,2022-07-08,2022,3,Q3,7,July,Jul,27,2,8,Friday,5,189,False,False,False,False,False,False,False,2022-2023,Q2
20220709,2022-07-09,2022,3,Q3,7,July,Jul,27,2,9,Saturday,6,190,True,False,False,False,False,False,False,2022-2023,Q2
20220710,2022-07-10,2022,3,Q3,7,July,Jul,27,2,10,Sunday,7,191,True,False,False,False,False,False,False,2022-2023,Q2
20220711,2022-07-11,2022,3,Q3,7,July,Jul,28,2,11,Monday,1,192,False,False,False,False,False,False,False,2022-2023,Q2
20220712,2022-07-12,2022,3,Q3,7,July,Jul,28,2,12,Tuesday,2,193,False,False,False,False,False,False,False,2022-2023,Q2
20220713,2022-07-13,2022,3,Q3,7,July,Jul,28,2,13,Wednesday,3,194,False,False,False,False,False,False,False,2022-2023,Q2
20220714,2022-07-14,2022,3,Q3,7,July,Jul,28,2,14,Thursday,4,195,False,False,False,False,False,False,False,2022-2023,Q2
20220715,2022-07-15,2022,3,Q3,7,July,Jul,28,3,15,Friday,5,196,False,False,False,False,False,False,False,2022-2023,Q2
20220716,2022-07-16,2022,3,Q3,7,July,Jul,28,3,16,Saturday,6,197,True,False,False,False,False,False,False,2022-2023,Q2
20220717,2022-07-17,2022,3,Q3,7,July,Jul,28,3,17,Sunday,7,198,True,False,False,False,False,False,False,2022-2023,Q2
20220718,2022-07-18,2022,3,Q3,7,July,Jul,29,3,18,Monday,1,199,False,False,False,False,False,False,False,2022-2023,Q2
20220719,2022-07-19,2022,3,Q3,7,July,Jul,29,3,19,Tuesday,2,200,False,False,False,False,False,False,False,2022-2023,Q2
20220720,2022-07-20,2022,3,Q3,7,July,Jul,29,3,20,Wednesday,3,201,False,False,False,False,False,False,False,2022-2023,Q2
20220721,2022-07-21,2022,3,Q3,7,July,Jul,29,3,21,Thursday,4,202,False,False,False,False,False,False,False,2022-2023,Q2
20220722,2022-07-22,2022,3,Q3,7,July,Jul,29,4,22,Friday,5,203,False,False,False,False,False,False,False,2022-2023,Q2
20220723,2022-07-23,2022,3,Q3,7,July,Jul,29,4,23,Saturday,6,204,True,False,False,False,False,False,False,2022-2023,Q2
20220724,2022-07-24,2022,3,Q3,7,July,Jul,29,4,24,Sunday,7,205,True,False,False,False,False,False,False,2022-2023,Q2
20220725,2022-07-25,2022,3,Q3,7,July,Jul,30,4,25,Monday,1,206,False,False,False,False,False,False,False,2022-2023,Q2
